"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"17","g19229",4.349268417401,6.8122397091293,18.3525389004245,3.80080680944393e-16,4.19184275707437e-13,"scaffold_421",3225,"NRDC_MOUSE","A0A0M9A7S4","Peptidase M16 inactive domain,Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16","Y",295146,"A",-0.00802964544441283,"A","A","A"
"18","g10981",11.2731036395477,4.92321502949762,18.2507110366559,4.38810569386497e-16,4.37499493488966e-13,"scaffold_1",860,NA,NA,NA,"N",4205925,"A",-0.407990358368454,"A","A","A"
"19","g15778",8.13848026679005,6.1439744323854,18.2322565247009,4.43356465746993e-16,4.37499493488966e-13,"scaffold_59",355,NA,NA,NA,"N",1359663,"A",-0.669052251878264,"A","A","A"
"20","g17480",8.28853335478852,4.52476443766004,17.7960157197799,7.7205969064577e-16,7.23767356995877e-13,"scaffold_41",1700,NA,NA,"Domain of unknown function (DUF4485)","Y",1577355,"A",0.165154939362944,"A","A","A"
"21","g15581",9.71899693368851,5.30590329307752,17.3458056490308,1.39184160563461e-15,1.24264944114492e-12,"scaffold_166",1718,NA,NA,NA,"N",818316,"A",0.308824672166265,"A","A","A"
"22","g14384",3.26479817804584,7.95246613066988,17.2593872566694,1.54620600128302e-15,1.31771892354797e-12,"scaffold_24",4282,"RPC2_DROME","A0A482X4H9","Ulp1 protease family, C-terminal catalytic domain,RNA polymerase Rpb2, domain 6,RNA polymerase Rpb2, domain 2,RNA polymerase Rpb2, domain 5,RNA polymerase Rpb2, domain 3,RNA polymerase beta subunit,RNA polymerase Rpb2, domain 7,RNA polymerase Rpb2, domain 4","Y",1928806,"A",-0.0748349104953836,"A","A","A"
"23","g21514",3.0167363115188,8.22206056323673,17.1330904271569,1.82723328999707e-15,1.48951291105022e-12,"scaffold_477",3222,"RYK2_DROME","E0W415","Protein tyrosine kinase,WIF domain","Y",243240,"A",0.139534661337754,"A","A","A"
"24","g5591",11.0943296382908,4.47056622644369,17.0664377347103,2.02772253335889e-15,1.58407374074775e-12,"scaffold_402",1751,NA,NA,NA,"N",314374,"A",-0.395077140561187,"A","A","A"
"25","g18439",8.69522358463372,-1.7074944232765,16.846608832441,2.69235575573513e-15,2.01915912257112e-12,"scaffold_1579",577,"CSN4_DANRE","A0A2J7R0G0","CSN4/RPN5/eIF3a helix turn helix domain,PCI domain","Y",11810,"B3",-0.3628997,"B.strict","A","B"
"26","g3313",9.08131609618423,-1.10860331638685,16.7896764173588,2.9107527746337e-15,2.09898860660028e-12,"scaffold_135",332,NA,NA,NA,"N",932943,"A",0.249686578639431,"A","A","A"
"27","g18206",3.34540712190613,8.14743350170639,16.4584680004246,4.54011846289328e-15,3.15269189114022e-12,"scaffold_78",4710,NA,"J9LFM3",NA,"Y",1238903,"A",-0.410988861318145,"A","A","A"
"28","g15701",9.19474744943465,4.6230563780282,16.4263136627141,4.77685069931597e-15,3.19861334862411e-12,"scaffold_493",1196,NA,NA,NA,"N",227342,"A",-0.264038199256054,"A","A","A"
"29","g15569",12.3431938553354,3.55432152915804,16.3115729350247,5.69484702682879e-15,3.68181678986252e-12,"scaffold_166",1592,NA,NA,NA,"N",818316,"A",0.308824672166265,"A","A","A"
"30","g9979",13.8328146662922,2.42257460900227,16.2820927480493,6.0030457084518e-15,3.6861218300743e-12,"scaffold_53",1316,NA,NA,NA,"N",1421213,"A",0.15328615067164,"A","A","A"
"31","g18285",4.89490201433648,4.95902046637723,16.2451054850942,6.09471314375717e-15,3.6861218300743e-12,"scaffold_250",858,"TBA1_PNECA","M7AS14","Tubulin/FtsZ family, GTPase domain","Y",539725,"A",-0.363945229589765,"A","A","A"
"32","g6988",7.09208598626289,8.04583449626496,15.9910164175863,8.70312707731223e-15,4.96070343107446e-12,"scaffold_26",1301,"TBA2_CAEEL","C3YW48","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y",1877544,"A",-0.164714787764214,"A","A","A"
"33","g13442",9.76761909339027,-0.749252413508949,15.9766654124796,8.94886708498603e-15,4.96070343107446e-12,"scaffold_40",316,NA,NA,NA,"N",1584338,"A",0.346876588564367,"A","A","A"
"34","g12147",15.0811854327448,2.78137037566606,16.0004296835526,8.99588866907738e-15,4.96070343107446e-12,"scaffold_563",872,NA,NA,NA,"N",181475,"A",-0.0283657027846228,"A","A","A"
"35","g3567",6.54253989779707,3.00822791326909,15.942938983752,9.30650825953768e-15,4.98536352451634e-12,"scaffold_10",309,"GLRX2_MOUSE",NA,"Glutaredoxin","Y",2776264,"A",-0.506933298875844,"A","A","A"
"36","g6570",4.26337767574992,9.03587752124359,15.8741953647095,1.02465092944398e-14,5.3364389655959e-12,"scaffold_52",7712,NA,"A0A2J7PZL8",NA,"Y",1435599,"A",-0.134785747536566,"A","A","A"
"37","g9583",6.84033926124397,4.74364236932675,15.6460978998555,1.41915774822955e-14,7.1912942220421e-12,"scaffold_343",1166,NA,"A0A2P8YCN5",NA,"Y",389428,"A",0.0319205917381757,"A","A","A"
"38","g17144",7.07364201776988,5.517840024435,15.5170683582376,1.70864553517406e-14,8.43036714183644e-12,"scaffold_57",1652,"POLO_DROME","Q2M0V5","POLO box duplicated region,Protein kinase domain","Y",1361687,"A",-0.000589508814948349,"A","A","A"
"39","g3180",14.3924977903242,3.78222623816621,15.4852602383494,1.86294139009701e-14,8.94327139885113e-12,"scaffold_12",2096,NA,NA,NA,"N",2392395,"A",-0.150391795909699,"A","A","A"
"40","g21148",8.1397511059324,-1.33460557585886,15.4317545324539,1.93680304782071e-14,8.94327139885113e-12,"scaffold_1765",494,NA,NA,NA,"N",9438,"A",-1.353304,"A","A","A"
"41","g14187",15.0363442988987,3.58077365138187,15.4498289983084,1.97272253804624e-14,8.94327139885113e-12,"scaffold_3",893,NA,NA,NA,"N",3189128,"A",0.0773777880487399,"A","A","A"
"42","g3058",11.6809170246488,4.24866553442201,15.4050598565904,2.04705505096214e-14,8.94327139885113e-12,"scaffold_36",932,NA,NA,NA,"N",1654184,"A",-0.216133628468767,"A","A","A"
"43","g1319",14.3275082791992,2.52594392154199,15.4183782381538,2.05109963278361e-14,8.94327139885113e-12,"scaffold_274",1658,NA,NA,NA,"N",504972,"A",0.301253650419474,"A","A","A"
"44","g20359",2.94468924784027,6.57975185680352,15.2729122206586,2.43116952009118e-14,1.03595448482249e-11,"scaffold_129",1076,"MAPK2_DROME","A0A182G249","Protein kinase domain","Y",951482,"A",0.00530217111158369,"A","A","A"
"45","g8005",6.15468293048136,5.67875104666176,15.1341609856513,2.98104002405324e-14,1.24203376468831e-11,"scaffold_212",995,NA,"R7UQH7","Cyclin, N-terminal domain","Y",664391,"A",-0.184568953584197,"A","A","A"
"46","g22861",5.19408475570647,6.04983803993908,15.1133856840261,3.07227930228649e-14,1.25222097040368e-11,"scaffold_37",2004,"CENPJ_MOUSE",NA,"T-complex protein 10 C-terminus","Y",1648890,"A",-0.516654036222865,"A","A","A"
"47","g10587",14.6177227453759,2.66481442703848,15.1192128046386,3.18474320643199e-14,1.27044149739135e-11,"scaffold_32",1226,NA,NA,NA,"N",1713197,"A",-0.227731956465224,"A","A","A"
"48","g3189",15.3542797475201,3.24070998457035,15.0376519278945,3.61786321250001e-14,1.41315244523256e-11,"scaffold_12",2318,NA,NA,NA,"N",2392395,"A",-0.150391795909699,"A","A","A"
"49","g19963",14.2090421686328,2.987126158194,14.978938082831,3.90433485627229e-14,1.49392600449488e-11,"scaffold_236",1274,NA,NA,NA,"N",587163,"A",0.293994746400536,"A","A","A"
"50","g882",5.06849120855447,5.37485852234632,14.8931350940919,4.25746185352304e-14,1.5697762259476e-11,"scaffold_158",3005,NA,"A0A482XF45","F-box-like","Y",859120,"A",-0.331860621334502,"A","A","A"
"51","g23556",14.3311439094481,1.92946573145515,14.9082754669029,4.34196061412208e-14,1.5697762259476e-11,"scaffold_85",773,"ASHH2_ARATH","A0A0L0BZU8","SET domain","Y",1217065,"A",0.213895879976255,"A","A","A"
"52","g19335",14.4332404899554,2.0076996937142,14.9012919230368,4.39154567927669e-14,1.5697762259476e-11,"scaffold_292",632,NA,NA,NA,"N",472304,"A",0.203653421274169,"A","A","A"
"53","g7859",11.9351699216574,4.20441781182585,14.8803908781423,4.43747079712107e-14,1.5697762259476e-11,"scaffold_46",962,NA,NA,NA,"N",1511820,"A",0.26897989793351,"A","A","A"
"54","g14186",14.7445904866871,3.08263665772407,14.8626771853126,4.66572346863886e-14,1.6025184457652e-11,"scaffold_3",896,NA,NA,NA,"N",3189128,"A",0.0773777880487399,"A","A","A"
"55","g11913",14.3777472707292,2.72393631899051,14.8499897617868,4.73873163647106e-14,1.6025184457652e-11,"scaffold_513",785,NA,NA,NA,"N",213775,"A",0.171486326140279,"A","A","A"
"56","g15656",14.5068482955698,2.38548833005109,14.8440937475865,4.78644370168282e-14,1.6025184457652e-11,"scaffold_21",953,NA,NA,NA,"N",2065129,"A",-0.0869519032242224,"A","A","A"
"57","g15336",14.5452222415197,2.69805851941331,14.8149944636857,5.00134580727799e-14,1.63587228679588e-11,"scaffold_100",1151,NA,NA,NA,"N",1120582,"A",-0.102676903547232,"A","A","A"
"58","g15777",8.13016617031485,8.89936430916091,14.7772336504011,5.08119197170791e-14,1.63587228679588e-11,"scaffold_59",1117,"TBB1_NOTNE","A0A212FFP1","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y",1359663,"A",-0.669052251878264,"A","A","A"
"59","g15992",11.9786594585113,3.97569643686204,14.7773854696968,5.17861552480063e-14,1.63587228679588e-11,"scaffold_75",1106,"KAPC1_DROME","N6UW64","Protein kinase domain","Y",1276505,"A",-0.0116232312188271,"A","A","A"
"60","g13000",7.03359699863961,5.01542794140349,14.7502657277187,5.27943489678659e-14,1.63587228679588e-11,"scaffold_579",2294,"PFKA_DROME","A0A026WQT5","Phosphofructokinase","Y",164536,"A",-0.815305856789052,"A","A","A"
"61","g17162",14.2642057260647,3.9118063680344,14.7717828207795,5.32232169686641e-14,1.63587228679588e-11,"scaffold_57",1517,NA,NA,NA,"N",1361687,"A",-0.000589508814948349,"A","A","A"
"62","g9600",14.9237951953798,2.77763119525386,14.7594034175464,5.4559874727121e-14,1.64990821170773e-11,"scaffold_287",920,NA,NA,NA,"N",482722,"A",-0.648755095855515,"A","A","A"
"63","g2171",14.9409851267296,2.91272072528569,14.7373838966617,5.64059631390948e-14,1.67865936967443e-11,"scaffold_14",908,NA,NA,NA,"N",2278001,"A",-0.521531911093587,"A","A","A"
"64","g13592",13.6282459681351,2.23365450430831,14.6160450684859,6.69284271269328e-14,1.96068918781697e-11,"scaffold_391",1142,NA,NA,NA,"N",334521,"A",-0.419356895815517,"A","A","A"
"65","g2721",13.7731996076798,2.40517349539629,14.5755917870084,7.12528932470435e-14,2.05526230075203e-11,"scaffold_644",761,NA,NA,NA,"N",109125,"A",-0.120153022414567,"A","A","A"
"66","g15779",8.5877722718135,7.0013617446199,14.5308199645719,7.38158823198568e-14,2.09221294769248e-11,"scaffold_59",695,"TBB1_NOTNE","A0A1D1VIZ5","Tubulin/FtsZ family, GTPase domain","Y",1359663,"A",-0.669052251878264,"A","A","A"
"67","g4016",14.0958067115756,3.10091726183587,14.545827478118,7.47657301698204e-14,2.09221294769248e-11,"scaffold_478",1935,NA,NA,NA,"N",243219,"A",0.131560497647177,"A","A","A"
"68","g22012",12.5978321754156,3.42765865280073,14.4964788848853,7.95710292175642e-14,2.19393709823546e-11,"scaffold_124",959,NA,NA,NA,"N",971564,"A",-0.484528265546918,"A","A","A"
"69","g21307",6.96210774134908,5.0630767777799,14.4652947282862,8.12627191186526e-14,2.2012649650572e-11,"scaffold_43",2443,NA,NA,NA,"N",1553300,"A",-0.218640756987725,"A","A","A"
"70","g7186",11.3990166472289,3.84308042920421,14.4695215274967,8.21849418923699e-14,2.2012649650572e-11,"scaffold_17",1588,"TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y",2133015,"A",-0.178589466439256,"A","A","A"
"71","g8567",15.124148142772,3.51836986822185,14.4747416751685,8.41331939347755e-14,2.2217088071593e-11,"scaffold_422",2408,NA,NA,NA,"N",294261,"A",0.173185859303017,"A","A","A"
"72","g997",12.9914838828982,3.48278906229556,14.3650523162116,9.7602040368288e-14,2.53159070371271e-11,"scaffold_832",1322,NA,NA,NA,"N",40185,"A",-0.319295151561735,"A","A","A"
"73","g22397",8.95558166005652,-1.31092254491822,14.3350878310363,9.96889771475805e-14,2.53159070371271e-11,"scaffold_109",392,NA,NA,NA,"N",1067028,"A",-0.00299222341217719,"A","A","A"
"74","g3476",11.6797810531596,4.65192587853618,14.3432034709604,9.99187754412184e-14,2.53159070371271e-11,"scaffold_10",569,NA,NA,NA,"N",2776264,"A",-0.506933298875844,"A","A","A"
"75","g5624",13.8628656351482,2.55974771771184,14.3404362951776,1.02134179492786e-13,2.55321830841366e-11,"scaffold_356",704,NA,NA,NA,"N",374984,"A",0.109978910663913,"A","A","A"
"76","g10300",6.17979039643271,4.58633250016917,14.1848427029486,1.24968778722294e-13,3.08294688455828e-11,"scaffold_652",702,NA,NA,"Hsp20/alpha crystallin family","Y",106700,"A",0.0786485581445532,"A","A","A"
"77","g22396",8.85512905707552,-1.5903717382298,14.1720552116376,1.28176183619057e-13,3.12100683983597e-11,"scaffold_109",392,NA,NA,NA,"N",1067028,"A",-0.00299222341217719,"A","A","A"
"78","g8655",14.0635902133424,2.43563427073666,14.1401920040263,1.39458357259548e-13,3.35218556443495e-11,"scaffold_237",1133,NA,NA,NA,"N",579896,"A",0.0739087574659791,"A","A","A"
"79","g17515",3.47154470436375,6.94295434970884,14.0866726525301,1.45471069919559e-13,3.45245201255927e-11,"scaffold_41",3225,"NRDC_MOUSE","A0A087ZSL6","Middle or third domain of peptidase_M16,Insulinase (Peptidase family M16),Peptidase M16 inactive domain","Y",1577355,"A",0.165154939362944,"A","A","A"
"80","g5398",15.1494886769523,3.73930492121451,14.0560235495445,1.60673032791054e-13,3.76557336474935e-11,"scaffold_223",2852,NA,NA,NA,"N",633436,"A",-0.258700281956048,"A","A","A"
"81","g3146",5.97513808491588,5.05897276938481,14.0039548784635,1.65610386083056e-13,3.83336929465582e-11,"scaffold_338",944,"PP1A_RAT,PP1B_DROME","A0A0R3TXS7","Calcineurin-like phosphoesterase","Y",393854,"A",-0.665898142432268,"A","A","A"
"82","g20043",7.48432280563824,5.09595499886032,13.9744395691836,1.73777410466537e-13,3.9439236272902e-11,"scaffold_701",1338,"HXK2_DROME","Q9W330","Hexokinase","Y",81196,"A",-0.457227479290939,"A","A","A"
"83","g10895",15.0094020702725,2.53166920771101,14.0020495704323,1.74593664230139e-13,3.9439236272902e-11,"scaffold_1",947,NA,NA,NA,"N",4205925,"A",-0.407990358368454,"A","A","A"
"84","g22699",5.9240959248835,4.29343619576789,13.9237383777069,1.87814435451516e-13,4.19206291700056e-11,"scaffold_6",559,NA,NA,"Endoribonuclease L-PSP","Y",2881478,"A",-0.0805441011864333,"A","A","A"
"85","g21447",14.3203435336809,2.79078915932348,13.8783281438241,2.10692453096204e-13,4.60814555205966e-11,"scaffold_348",1633,"TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y",384002,"A",-0.17929467608739,"A","A","A"
"86","g19964",14.4168999756172,3.24551479474638,13.873915496674,2.1235963978954e-13,4.60814555205966e-11,"scaffold_236",1142,NA,NA,NA,"N",587163,"A",0.293994746400536,"A","A","A"
"87","g4486",7.32598138747807,-1.21138395532272,13.8424708037365,2.13829357847987e-13,4.60814555205966e-11,"scaffold_94",290,NA,NA,NA,"N",1173942,"A",-0.107697128131327,"A","A","A"
"88","g8869",14.9907511970566,2.81057120920181,13.8605248757548,2.18109185672759e-13,4.61262697264873e-11,"scaffold_2",1637,NA,NA,NA,"N",3312200,"A",-0.0304338332387087,"A","A","A"
"89","g14697",13.8475852713846,1.75092416346088,13.8511796068857,2.18957704712645e-13,4.61262697264873e-11,"scaffold_718",773,NA,NA,NA,"N",73810,"A",-0.236859478952625,"A","A","A"
"90","g19660",13.8525272917951,1.74895095239308,13.8424287793283,2.22017951906758e-13,4.62512731144423e-11,"scaffold_369",548,NA,NA,NA,"N",364737,"A",-0.0937406241245525,"A","A","A"
"91","g12499",12.7015786318968,3.07963070818907,13.8068933923782,2.3252338576749e-13,4.79074830742271e-11,"scaffold_283",1377,NA,NA,"Serpin (serine protease inhibitor)","Y",489983,"A",0.288038971452693,"A","A","A"
"92","g9760",2.90862804663044,7.13079495336527,13.7579674723201,2.43928417241527e-13,4.97110205963194e-11,"scaffold_557",2378,"PDXD1_HUMAN","A0A482XU15","F-box-like","Y",184046,"A",0.36359843969501,"A","A","A"
"93","g10811",13.1359362483977,1.45755233898122,13.72219251709,2.66975744407109e-13,5.38228842138591e-11,"scaffold_464",1187,NA,NA,NA,"N",252746,"A",0.0575332448393726,"A","A","A"
"94","g4672",14.0296538769171,1.94379461162831,13.7088494198804,2.74906879908942e-13,5.48322243767314e-11,"scaffold_181",497,NA,NA,NA,"N",778394,"A",0.114103132231197,"A","A","A"
"95","g11140",13.954466197287,1.98480843316434,13.6848475590853,2.85432371718706e-13,5.63323319721475e-11,"scaffold_165",677,NA,NA,NA,"N",826454,"A",0.469543490563095,"A","A","A"
"96","g9601",10.0236482005707,-0.602396691006564,13.5578991801342,3.39639234525309e-13,6.58798832864032e-11,"scaffold_287",305,NA,NA,NA,"N",482722,"A",-0.648755095855515,"A","A","A"
"97","g19844",14.3267294573134,2.62108773767131,13.5762040499955,3.40836774162948e-13,6.58798832864032e-11,"scaffold_431",1460,NA,NA,"Ulp1 protease family, C-terminal catalytic domain","Y",285712,"A",-0.885645144181317,"A","A","A"
"98","g8725",12.7161101358102,2.10825931395007,13.5306871678662,3.61453395206991e-13,6.81731434818344e-11,"scaffold_528",557,NA,NA,NA,"N",204458,"A",-0.569267918349437,"A","A","A"
"99","g20165",13.528295379641,1.79515177385622,13.5319637306237,3.63257470328944e-13,6.81731434818344e-11,"scaffold_333",341,NA,NA,NA,"N",396600,"A",0.21847289288617,"A","A","A"
"100","g12498",14.072106789134,2.14664600203503,13.5344698248348,3.63609491075974e-13,6.81731434818344e-11,"scaffold_283",1604,NA,NA,NA,"N",489983,"A",0.288038971452693,"A","A","A"
"101","g9602",13.1881949537069,1.79229758582415,13.5141174826278,3.72722774124443e-13,6.91898939807839e-11,"scaffold_287",488,NA,NA,NA,"N",482722,"A",-0.648755095855515,"A","A","A"
"102","g9714",13.9224420225636,3.04020320631242,13.4546476909915,4.12996947009519e-13,7.59145074458968e-11,"scaffold_192",1256,NA,NA,NA,"N",714988,"A",-0.114910345408677,"A","A","A"
"103","g738",14.7866476694153,3.46627864223697,13.4534622679861,4.17236283988822e-13,7.59491561990915e-11,"scaffold_56",1208,NA,NA,NA,"N",1371732,"A",-0.143478900461072,"A","A","A"
"104","g3915",6.60007743629381,-2.53649960884349,13.4052832788902,4.29826915547632e-13,7.74887003807938e-11,"scaffold_104",203,NA,NA,NA,"N",1087456,"A",0.2166346540954,"A","A","A"
"105","g294",14.3133671720609,2.18193305899522,13.4203130690986,4.38212120684628e-13,7.82479909592008e-11,"scaffold_137",707,NA,NA,NA,"N",931543,"A",0.0607697177248368,"A","A","A"
"106","g2235",13.5343385962771,2.47939186010682,13.357423782469,4.81785254535574e-13,8.43879634464238e-11,"scaffold_14",1127,NA,NA,NA,"N",2278001,"A",-0.521531911093587,"A","A","A"
"107","g10894",15.1462923743209,4.01604824395201,13.3657392575806,4.82733303164997e-13,8.43879634464238e-11,"scaffold_1",1894,NA,NA,NA,"N",4205925,"A",-0.407990358368454,"A","A","A"
"108","g13754",12.3923104102642,1.41554493570352,13.345918502091,4.86100594816458e-13,8.43879634464238e-11,"scaffold_377",296,NA,NA,NA,"N",355012,"A",-0.598205063365398,"A","A","A"
"109","g1373",7.4044782975589,4.1567769784555,13.3111841743168,5.01422683013089e-13,8.62493016863523e-11,"scaffold_69",2497,"BBS4_HUMAN","J9K409","Tetratricopeptide repeat","Y",1296325,"A",0.352042127029813,"A","A","A"
"110","g15682",13.455979822714,1.640114540701,13.2943478091688,5.33533085975279e-13,9.09382893540954e-11,"scaffold_600",392,NA,NA,NA,"N",144795,"A",0.058927894210316,"A","A","A"
"111","g7234",13.322102942953,4.14112972768543,13.2701755437795,5.54345789081442e-13,9.36344972926843e-11,"scaffold_17",926,NA,NA,NA,"N",2133015,"A",-0.178589466439256,"A","A","A"
"112","g2756",14.4486588065016,2.59616111441253,13.2595181224118,5.70050966870776e-13,9.49472589013359e-11,"scaffold_51",1034,NA,NA,"Double-stranded RNA binding motif","Y",1437107,"A",0.00253595447181994,"A","A","A"
"113","g15417",13.9054323174976,2.52358293406292,13.253997107096,5.72246000098723e-13,9.49472589013359e-11,"scaffold_133",481,NA,NA,NA,"N",943319,"A",0.108656035159934,"A","A","A"
"114","g17562",14.4766204325187,2.81187784353365,13.2429119396995,5.85910015179457e-13,9.6361639250874e-11,"scaffold_247",1205,NA,NA,NA,"N",544523,"A",-0.145962578889429,"A","A","A"
"115","g12375",15.3489974602393,3.10534445395582,13.1512765911083,6.86976521851541e-13,1.12001067897344e-10,"scaffold_231",1504,NA,NA,NA,"N",613014,"A",-0.234883301918919,"A","A","A"
"116","g9296",11.9019835136561,1.05114046949408,13.1209785388666,6.99798909272054e-13,1.12597865048805e-10,"scaffold_58",428,NA,NA,"HMG (high mobility group) box","Y",1360862,"A",0.0579718002319447,"A","A","A"
"117","g1775",11.6110459714842,0.203860597004996,13.1171926216543,7.02648152472677e-13,1.12597865048805e-10,"scaffold_199",388,NA,NA,"RING-type zinc-finger","Y",693045,"A",0.0677270318887594,"A","A","A"
"118","g20216",12.911308758644,1.52978425440314,13.08517966364,7.48492942026274e-13,1.18927916695344e-10,"scaffold_71",875,NA,NA,"TraB family","Y",1288280,"A",-0.243252874913154,"A","A","A"
"119","g16229",9.02069948369729,3.47704811612607,13.0597731345785,7.61067768782003e-13,1.19909744511712e-10,"scaffold_54",1079,"KAPC1_DROME","K1PS11","Protein kinase domain","Y",1412569,"A",0.132418406269263,"A","A","A"
"120","g9097",14.6177221622166,2.33502273365212,13.0772450959499,7.7049385156837e-13,1.20383243525461e-10,"scaffold_205",1256,NA,NA,NA,"N",683989,"A",-0.0345643736482411,"A","A","A"
"121","g4057",8.93557194151288,-0.890300193727616,13.0397552830176,7.86412374295341e-13,1.21854922360854e-10,"scaffold_438",1747,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",280546,"A",0.201201988679961,"A","A","A"
"122","g8501",9.03687780700871,-1.75623946498867,13.012425719166,8.23154400042758e-13,1.2583797102443e-10,"scaffold_543",761,NA,NA,NA,"N",195591,"B3",-0.0471392890068341,"B.loose","A","A"
"123","g12672",14.4061520905691,2.43246037411189,13.0342863782527,8.25541118779926e-13,1.2583797102443e-10,"scaffold_272",947,NA,NA,NA,"N",510019,"A",-0.233176489051379,"A","A","A"
"124","g4123",13.7429184275685,1.85575708388147,12.9785916623721,8.99752353883967e-13,1.36020769375731e-10,"scaffold_70",911,NA,NA,NA,"N",1292812,"A",0.0355374230577261,"A","A","A"
"125","g6764",7.58362337132785,4.96747883944761,12.9513232278168,9.06853494691256e-13,1.36020769375731e-10,"scaffold_179",955,NA,"A0A2J7PV36","SMP-30/Gluconolactonase/LRE-like region","Y",784024,"A",-0.047199161958179,"A","A","A"
"126","g10325",3.90711794115567,5.24357867677645,12.9244090390993,9.45734843254006e-13,1.40726845842614e-10,"scaffold_259",996,NA,NA,"Domain of unknown function (DUF4477)","Y",526775,"A",0.109962970037524,"A","A","A"
