"","gene","B.males.tpm","B.females.tpm","nonB.males.tpm","nonB.females.tpm","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","BmalevnoBmale","BmalevsfemaleB","BmalevsfemalenoB","BfemalevsnoBfemale","noBmalevsnoBfemale"
"16","g10011",0.245714285714286,0.035,0.381428571428571,0.121666666666667,"scaffold_53",413,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"17","g10012",0,0,0,0,"scaffold_53",379,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"18","g10013",5.14857142857143,2.645,4.86571428571429,2.565,"scaffold_53",3966,"KCNT1_CHICK","A0A139WM47,J9K6K2","Ion channel,Calcium-activated BK potassium channel alpha subunit","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"19","g10014",0.115714285714286,0.411666666666667,0.731428571428571,0.37,"scaffold_53",231,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"20","g10015",9.23714285714286,9.10166666666667,9.79857142857143,10.65,"scaffold_53",2480,NA,"J9K7E4","ALMS motif","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"21","g10016",6.47285714285714,3.91666666666667,6.81714285714286,4.23666666666667,"scaffold_53",1004,"WDR35_MOUSE","A0A482XF15",NA,"Y",1421213,"A",0.15328615067164,0,0,0,0,0
"22","g10017",7.64571428571429,5.315,7.79428571428571,6.08166666666667,"scaffold_53",1226,NA,"U4UI05","HIUase/Transthyretin family","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"23","g10018",36.4514285714286,30.605,36.1314285714286,34.7133333333333,"scaffold_53",798,"MED11_DROME","A0A067R7U6","Mediator complex protein","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"24","g10019",29.6071428571429,19.965,31.9414285714286,20.7016666666667,"scaffold_53",1201,"PCID2_HUMAN","A0A1S3CUM7","PCI domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"25","g1002",0,0,0.00571428571428571,0,"scaffold_197",1005,NA,"J9JZE9","DDE superfamily endonuclease","Y",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"26","g10020",12.9885714285714,10.5466666666667,13.8957142857143,12.8383333333333,"scaffold_53",476,"MGDP1_MOUSE","A0A2P8Y3X9","Acid Phosphatase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"27","g10021",40.3057142857143,14.4433333333333,48.0885714285714,16.9583333333333,"scaffold_53",939,NA,"E0W1P4",NA,"Y",1421213,"A",0.15328615067164,0,1,0,0,1
"28","g10022",0,0,0,0,"scaffold_53",462,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"29","g10023",0,0,0,0,"scaffold_53",360,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"30","g10024",0,0,0.03,0.01,"scaffold_53",565,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"31","g10025",8.27857142857143,6.60333333333333,10.8557142857143,8.675,"scaffold_53",1655,"ASND1_MACFA,ASND1_BOVIN","A0A2A3E3R0","Glutamine amidotransferase domain,Asparagine synthase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"32","g10026",40.4042857142857,44.945,43.9071428571429,47.165,"scaffold_53",829,"PHYD1_CAEBR","A0A154PB32","Phytanoyl-CoA dioxygenase (PhyH)","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"33","g10027",4.55428571428571,3.32,5.17,6.49166666666667,"scaffold_53",2121,NA,"J9M7I9","Predicted AAA-ATPase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"34","g10028",0.714285714285714,1.41666666666667,0.481428571428571,1.39166666666667,"scaffold_53",988,NA,NA,"Predicted AAA-ATPase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"35","g10029",2.12428571428571,6.18,1.59428571428571,5.14666666666667,"scaffold_53",1959,NA,"J9M7I9","Predicted AAA-ATPase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"36","g1003",0.244285714285714,0.296666666666667,0.164285714285714,0.226666666666667,"scaffold_197",479,NA,NA,"SET domain","Y",695333,"A",-0.302707020010726,0,0,0,0,0
"37","g10030",39.1214285714286,47.195,39,47.3433333333333,"scaffold_53",1769,"MA1B1_HUMAN","J9JJF7","Glycosyl hydrolase family 47","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"38","g10031",53.0257142857143,48.2483333333333,53.18,55.36,"scaffold_53",820,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"39","g10032",40.02,24.1233333333333,39.5057142857143,18.1316666666667,"scaffold_53",2567,NA,"J9JN65","Sushi repeat (SCR repeat),Lectin C-type domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"40","g10033",3.22571428571429,6.43,2.58142857142857,5.59333333333333,"scaffold_53",720,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"41","g10034",192.738571428571,66.145,213.532857142857,69.7983333333333,"scaffold_53",2150,"ABCGN_DICDI","J9M7A0","ABC transporter,ABC-2 family transporter protein","Y",1421213,"A",0.15328615067164,0,1,1,0,1
"42","g10035",23.6457142857143,17.5016666666667,23.1471428571429,17.8533333333333,"scaffold_53",939,"RNF41_MOUSE","D6WGM9","USP8 interacting,Zinc finger, C3HC4 type (RING finger)","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"43","g10036",27.98,9.92666666666667,30.0785714285714,11.96,"scaffold_53",1890,"RFWD3_HUMAN","A0A2J7PHJ6","Ring finger domain","Y",1421213,"A",0.15328615067164,0,1,0,0,1
"44","g10037",109.63,124.7,105.715714285714,129.07,"scaffold_53",1096,"PRPS1_RAT","A0A151IY24","N-terminal domain of ribose phosphate pyrophosphokinase,Phosphoribosyl synthetase-associated domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"45","g10038",184.715714285714,116.791666666667,183.358571428571,118.153333333333,"scaffold_53",592,"UBE2K_MOUSE","C4WVG8","Ubiquitin-conjugating enzyme","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"46","g10039",77.2785714285714,62.115,53.0485714285714,62.13,"scaffold_53",591,"UBE2K_MOUSE","A0A482XSU8","Ubiquitin-conjugating enzyme","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"47","g1004",0.378571428571429,1.14,0.531428571428571,2.24166666666667,"scaffold_197",661,NA,NA,NA,"N",695333,"A",-0.302707020010726,0,0,-1,0,0
"48","g10040",31.5728571428571,11.8333333333333,27.8428571428571,11.505,"scaffold_53",618,NA,NA,NA,"N",1421213,"A",0.15328615067164,0,0,0,0,0
"49","g10041",14.3114285714286,14.44,13.7242857142857,14.6416666666667,"scaffold_53",3958,"IBTK_XENLA","A0A067RQX8","Ankyrin repeats (3 copies),Regulator of chromosome condensation (RCC1) repeat,BTB/POZ domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"50","g10042",14.4328571428571,7.94833333333333,15.5142857142857,8.13,"scaffold_53",2348,"SMO_DROME","A0A2J7Q946","Frizzled/Smoothened family membrane region,Fz domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"51","g10043",88.4671428571429,79.3583333333333,90.6714285714286,81.9966666666667,"scaffold_53",1539,"M3K7_BOVIN","A0A0L7RH64","Protein tyrosine kinase","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"52","g10044",485.831428571429,722.83,455.031428571429,684.161666666667,"scaffold_53",981,"VDAC_DROME","A0A067RGH4","Eukaryotic porin","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"53","g10045",9.44571428571429,9.37666666666667,10.5485714285714,10.6416666666667,"scaffold_53",1431,NA,"D6WV24","SET domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"54","g10046",0.0257142857142857,0.0433333333333333,0.0771428571428571,0,"scaffold_53",341,NA,NA,NA,"N",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"55","g10047",16.3714285714286,12.9216666666667,16.1185714285714,14.435,"scaffold_53",1169,"LOLAL_DROME","J9K537","BTB/POZ domain,C2H2-type zinc finger","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"56","g10048",2.53285714285714,3.73333333333333,2.11142857142857,4.515,"scaffold_53",2481,"RA54B_HUMAN","A0A067QKB0","Helicase conserved C-terminal domain,SNF2 family N-terminal domain","Y",1421213,"A",0.15328615067164,0,0,0,0,0
"57","g10049",0,0.0133333333333333,0,0.0166666666666667,"scaffold_53",749,NA,"A0A3Q0IMR4",NA,"Y",1421213,"A",0.15328615067164,NA,NA,NA,NA,NA
"58","g1005",0,0,0,0,"scaffold_197",247,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"59","g10050",0.565714285714286,0.921666666666667,1.15857142857143,0.183333333333333,"scaffold_130",1605,"MINP1_DROME","K7J1W3","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"60","g10051",1.2,8.915,1.29,20.49,"scaffold_130",1566,"MINP1_DROME","A0A067R6V0","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,-1,-1,0,-1
"61","g10052",5.03142857142857,0.285,5.56857142857143,0.305,"scaffold_130",1069,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,1,1,0,1
"62","g10053",14.1342857142857,0.211666666666667,16.4028571428571,0.561666666666667,"scaffold_130",1279,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,1,1,0,1
"63","g10054",6.06285714285714,0.0583333333333333,6.05428571428571,0.215,"scaffold_130",1483,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,1,1,0,1
"64","g10055",20.1771428571429,28.9616666666667,18.6485714285714,36.11,"scaffold_130",1377,"MINP1_DROME","A0A482WR06","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"65","g10056",4.72285714285714,9.805,0.712857142857143,6.305,"scaffold_130",1458,NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,-1
"66","g10057",17.5142857142857,51.0383333333333,13.3871428571429,33.5583333333333,"scaffold_130",1422,NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"67","g10058",6.59285714285714,2.25666666666667,11.37,2.59833333333333,"scaffold_130",1057,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,1
"68","g10059",19.1571428571429,38.2383333333333,23.6942857142857,40.7166666666667,"scaffold_130",1431,NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"69","g1006",0,0,0,0,"scaffold_197",300,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"70","g10060",95.6714285714286,167.091666666667,83.9357142857143,184.386666666667,"scaffold_130",1392,"MINP1_DROME","A0A067R6V0","Histidine phosphatase superfamily (branch 2)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"71","g10061",8.54285714285714,13.3233333333333,6.93714285714286,18.48,"scaffold_130",894,"ADT1_ANOGA","A0A482XR76","Mitochondrial carrier protein","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"72","g10062",43.4371428571429,43.9533333333333,71.3814285714286,65.005,"scaffold_130",1152,"ECHA_MOUSE","A0A194PLY5",NA,"Y",951268,"A",-0.10271352240861,0,0,0,0,0
"73","g10063",29.1428571428571,39.6666666666667,36.0985714285714,51.6216666666667,"scaffold_130",1946,"DDX24_HUMAN","A0A087ZNR1","Helicase conserved C-terminal domain,DEAD/DEAH box helicase","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"74","g10064",158.017142857143,157.448333333333,111.025714285714,126.213333333333,"scaffold_130",634,"Y1161_DROME","A0A482XRG5","TMEM9","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"75","g10065",1904.24857142857,3330.28166666667,1597.35571428571,3621.65333333333,"scaffold_130",891,"ADT1_ANOGA","A0A482XR76","Mitochondrial carrier protein","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"76","g10066",21.7028571428571,22.4016666666667,23.8342857142857,25.17,"scaffold_130",1037,NA,"A0A1S4E7W0","WD domain, G-beta repeat","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"77","g10067",166.424285714286,184.59,180.442857142857,172.315,"scaffold_130",2640,"SND1_PONAB","A0A2J7RK75","Tudor domain,Staphylococcal nuclease homologue","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"78","g10068",52.2714285714286,55.7033333333333,55.1014285714286,57.1916666666667,"scaffold_130",1479,"RHG01_HUMAN","A0A067RCZ5","Divergent CRAL/TRIO domain,RhoGAP domain","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"79","g10069",13.6585714285714,10.1083333333333,13.2414285714286,9.4,"scaffold_130",2078,"CDC45_HUMAN","A0A1B0G8P9","DIX domain","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"80","g1007",0,0,0,0,"scaffold_197",499,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"81","g10070",21.8514285714286,19.8016666666667,26.2642857142857,30.21,"scaffold_130",548,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"82","g10071",0.257142857142857,0.02,0.212857142857143,0.04,"scaffold_130",388,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"83","g10072",4.39714285714286,0.356666666666667,0.671428571428571,0.166666666666667,"scaffold_130",245,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"84","g10073",0.0142857142857143,0,0.0414285714285714,0,"scaffold_130",570,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"85","g10074",0,0.0133333333333333,0,0,"scaffold_130",437,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"86","g10075",0.0257142857142857,0,0.0385714285714286,0.01,"scaffold_130",677,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"87","g10076",0,0,0.0428571428571429,0,"scaffold_130",392,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"88","g10077",0.328571428571429,0.0916666666666667,0.275714285714286,0.0933333333333333,"scaffold_130",1493,"PPK28_DROME","J9L6I4","Amiloride-sensitive sodium channel","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"89","g10078",1.97,4.5,2.79,3.975,"scaffold_130",1327,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"90","g10079",2.01285714285714,4.00333333333333,4.57714285714286,4.20166666666667,"scaffold_130",2151,NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"91","g1008",0,0,0,0,"scaffold_197",584,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"92","g10080",1.52285714285714,2.71166666666667,0.121428571428571,0.331666666666667,"scaffold_130",2133,NA,NA,"Predicted AAA-ATPase","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"93","g10081",0,0,0,0,"scaffold_130",226,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"94","g10082",3.26714285714286,1.84333333333333,3.85,5.16,"scaffold_130",1015,NA,"J9KYV3","Domain of unknown function (DUF4728)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"95","g10083",94.5685714285714,78.0733333333333,98.9185714285714,80.1116666666667,"scaffold_130",1336,"ILK_PONAB","A0A067QZH3","Protein tyrosine kinase,Ankyrin repeats (many copies)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"96","g10084",70.02,115.145,52.9142857142857,103.598333333333,"scaffold_130",1896,"NOG2_HUMAN","A0A482WH16","NGP1NT (NUC091) domain,50S ribosome-binding GTPase","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"97","g10085",76.4685714285714,80.2133333333333,78.2242857142857,89.5433333333333,"scaffold_130",1239,"ARFG1_MOUSE","A0A2J7PN45","Putative GTPase activating protein for Arf","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"98","g10086",130.05,101.185,131.424285714286,84.5483333333333,"scaffold_130",324,NA,"J9KXG5","Ninjurin","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"99","g10087",19.8585714285714,31.8383333333333,16.2657142857143,32.6533333333333,"scaffold_130",971,NA,NA,"Ninjurin","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"100","g10088",15.53,52.545,6.73285714285714,35.97,"scaffold_130",684,NA,NA,"Ninjurin","Y",951268,"A",-0.10271352240861,0,-1,0,0,-1
"101","g10089",27.4214285714286,2.91833333333333,26.3257142857143,2.55833333333333,"scaffold_130",1630,NA,NA,"Ninjurin,Ribonuclease T2 family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"102","g1009",0,0,0,0,"scaffold_197",435,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"103","g10090",26.2485714285714,0.195,30.3271428571429,0.7,"scaffold_130",927,NA,NA,"Ribonuclease T2 family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"104","g10091",35.9514285714286,1.24833333333333,44.6271428571429,4.57,"scaffold_130",810,NA,NA,"Ribonuclease T2 family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"105","g10092",111.754285714286,79.4366666666667,105.691428571429,81.6233333333333,"scaffold_130",2266,"ABCD_DROME","A0A482XEY0","ABC transporter transmembrane region 2,ABC transporter","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"106","g10093",44.5314285714286,57.4866666666667,44.43,55.9566666666667,"scaffold_130",692,"COA7_DROME","X1X9H8",NA,"Y",951268,"A",-0.10271352240861,0,0,0,0,0
"107","g10094",9.48857142857143,6.31833333333333,9.54571428571429,6.73833333333333,"scaffold_130",3685,"TOB1A_XENLA","J9JMP4","BRCT domain, a BRCA1 C-terminus domain,twin BRCT domain,BRCA1 C Terminus (BRCT) domain","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"108","g10095",21.3085714285714,17.8866666666667,22.73,19.9766666666667,"scaffold_130",2396,"APC5_PONAB","A0A2P8XV40","Anaphase-promoting complex subunit 5","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"109","g10096",4.66142857142857,5.00333333333333,4.27571428571429,4.92333333333333,"scaffold_130",9188,"RNO_DROME","J9K1K4","PHD-zinc-finger like domain,PHD-finger,Enhancer of polycomb-like","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"110","g10097",1.37714285714286,0.538333333333333,1.03142857142857,0.465,"scaffold_130",361,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"111","g10098",23.8128571428571,18.2066666666667,24.9571428571429,19.7883333333333,"scaffold_130",1735,"NELFB_DROME","A0A482WMF4","Cofactor of BRCA1 (COBRA1)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"112","g10099",35.6242857142857,45.2783333333333,34.0428571428571,49.1916666666667,"scaffold_130",1721,"SYSC_MOUSE","A0A482WYG0","Seryl-tRNA synthetase N-terminal domain,tRNA synthetase class II core domain (G, H, P, S and T)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"113","g1010",0,0,0,0,"scaffold_197",401,NA,NA,"Transposase IS4","Y",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"114","g10100",110.26,169.001666666667,96.5728571428571,168.998333333333,"scaffold_130",1291,"HYEP1_CTEFE","A0A2J7PHG7","Epoxide hydrolase N terminus","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"115","g10101",52.6071428571429,26.0983333333333,52.1157142857143,25.0466666666667,"scaffold_130",551,"UBE2H_MOUSE","A0A482WGZ5","Ubiquitin-conjugating enzyme","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"116","g10102",3.77857142857143,1.68666666666667,6.58,2.23333333333333,"scaffold_130",928,"NAS4_CAEEL","A0A482XAP2","Astacin (Peptidase family M12A)","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"117","g10103",71.0285714285714,63.925,71.4914285714286,69.35,"scaffold_130",4296,NA,"A0A2P8XPH0","Ubiquitin family,BCL2-associated athanogene 6","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"118","g10104",0.561428571428571,0.156666666666667,0.502857142857143,0.0933333333333333,"scaffold_130",1259,NA,NA,"7tm Odorant receptor","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"119","g10105",9.97,6.61833333333333,10.67,6.89333333333333,"scaffold_130",1941,"PEO1_MOUSE","K7J2C2","AAA domain","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"120","g10106",67.7228571428571,55.4783333333333,75.2128571428571,53.77,"scaffold_130",394,NA,NA,"Retinal tissue protein","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"121","g10107",1.31,7.95833333333333,0.487142857142857,6.74,"scaffold_130",1587,"YM67_CAEEL","X1WJF0","Serine carboxypeptidase S28","Y",951268,"A",-0.10271352240861,0,-1,-1,0,-1
"122","g10108",2.09857142857143,5.79,3.61428571428571,11.7983333333333,"scaffold_130",1455,"YM67_CAEEL","X1WJF0","Serine carboxypeptidase S28","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"123","g10109",5.70571428571429,3.88833333333333,4.80714285714286,2.10166666666667,"scaffold_130",902,"CHSTB_RAT","A0A482WH23","Sulfotransferase family","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"124","g1011",0,0,0,0,"scaffold_197",433,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"125","g10110",102.674285714286,171.433333333333,90.1314285714286,202.305,"scaffold_130",426,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"126","g10111",63.4771428571429,82.1866666666667,70.5885714285714,97.0483333333333,"scaffold_130",1143,"PGES2_BOVIN","A0A1W4W787","Glutaredoxin","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"127","g10112",13.09,10.625,12.9528571428571,10.25,"scaffold_130",1930,"FBXW7_HUMAN","A0A067QWR5","WD domain, G-beta repeat,F-box-like","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"128","g10113",64.9714285714286,63.4916666666667,71.6514285714286,57.8483333333333,"scaffold_130",1557,"YM67_CAEEL","A0A151XFV2","Serine carboxypeptidase S28","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"129","g10114",0,0,0,0,"scaffold_130",200,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"130","g10115",0,0,0,0,"scaffold_130",293,NA,NA,NA,"N",951268,"A",-0.10271352240861,NA,NA,NA,NA,NA
"131","g10116",5.72285714285714,3.65166666666667,5.35285714285714,2.99166666666667,"scaffold_130",500,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,0,0,0,0
"132","g10117",19.4971428571429,17.7766666666667,18.1671428571429,16.9516666666667,"scaffold_130",1794,"GTR1_DROME","A0A212F9P1","Sugar (and other) transporter","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"133","g10118",231.984285714286,203.618333333333,240.421428571429,199.346666666667,"scaffold_130",683,"PSB1_HUMAN","A0A1W4WLK5","Proteasome subunit","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"134","g10119",94.6542857142857,90.7433333333333,98.7471428571429,98.555,"scaffold_130",638,"VPS28_DROME","A0A2J7PSC3","VPS28 protein","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"135","g1012",0,0,0,0,"scaffold_197",211,NA,NA,NA,"N",695333,"A",-0.302707020010726,NA,NA,NA,NA,NA
"136","g10120",199.395714285714,253.343333333333,204.22,265.306666666667,"scaffold_130",439,"EDF1_HUMAN","A0A2P8Y8B2","Helix-turn-helix,Multiprotein bridging factor 1","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"137","g10121",58.7314285714286,66.865,55.4414285714286,68.88,"scaffold_130",830,"STX7_MOUSE",NA,"SNARE domain,Syntaxin-like protein","Y",951268,"A",-0.10271352240861,0,0,0,0,0
"138","g10122",19.9685714285714,0.158333333333333,19.6271428571429,0.483333333333333,"scaffold_130",749,NA,NA,"Cysteine-rich secretory protein family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"139","g10123",2.40571428571429,0.123333333333333,3.42857142857143,0.26,"scaffold_130",737,NA,NA,"Cysteine-rich secretory protein family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"140","g10124",0.634285714285714,0.195,0.67,0.291666666666667,"scaffold_130",1267,NA,NA,NA,"N",951268,"A",-0.10271352240861,0,1,0,0,0
"141","g10125",143.62,2.12,169.738571428571,5.52833333333333,"scaffold_130",513,NA,"A0A154PFP1","Cysteine-rich secretory protein family","Y",951268,"A",-0.10271352240861,0,1,1,0,1
"142","g10126",37.3185714285714,32.17,41.9971428571429,34.115,"scaffold_130",563,"GAPR1_MOUSE","B4JQZ3","Cysteine-rich secretory protein family","Y",951268,"A",-0.10271352240861,0,0,0,0,0
