"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","seq","gene_len","blast","diamond","interpro","anno","length","b.status.final","cov.04v13","b.status","b.status.asn","b.status.kmer"
"18","g15527",6.3595880975295,-2.6841804646777,8.76824356334048,2.48010749939916e-09,2.02171893505369e-06,"scaffold_1202",446,NA,NA,NA,"N",18321,"B4",-1.547923918,"B.loose","A","A"
"19","g21179",9.13384545604291,-1.29249513136803,8.58053815417385,3.76395402761828e-09,2.89097331509724e-06,"scaffold_98",2174,"PGBD4_HUMAN","A0A087UIR8","Transposase IS4,DDE_Tnp_1-like zinc-ribbon","Y",1127684,"A",0.245144773,"A","A","A"
"20","g5555",5.33560855231537,-4.38061358828914,8.56355693584216,3.85483667808581e-09,2.89097331509724e-06,"scaffold_530",1219,NA,NA,NA,"N",203235,"A",0.179662059,"A","A","A"
"21","g3503",6.68963840238357,-0.158626758596758,8.47354771148684,4.70059544453038e-09,3.21887037312622e-06,"scaffold_10",5368,NA,NA,"BTB/POZ domain,BTB And C-terminal Kelch","Y",2776264,"A",-0.506933192,"A","A","A"
"22","g9797",3.08420584095887,3.22041900245561,8.4628696059163,4.79911420811835e-09,3.21887037312622e-06,"scaffold_47",1273,NA,NA,NA,"N",1504070,"A",-0.04900082,"A","A","A"
"23","g1125",9.15417223050117,-3.00338862838725,8.4174514461436,5.37660630127391e-09,3.47606867388222e-06,"scaffold_605",317,NA,NA,NA,"N",140797,"A",-2.176244454,"A","A","A"
"24","g20686",7.50995857920604,-1.53919477487437,8.34226006877632,6.28783807201757e-09,3.83228110688573e-06,"scaffold_131",2058,NA,NA,"Low-density lipoprotein receptor domain class A,Trypsin","Y",945783,"A",0.121337146,"A","A","A"
"25","g5582",6.42534813741519,-2.52122714658298,8.33728048065657,6.33637603677303e-09,3.83228110688573e-06,"scaffold_897",663,"FAS_ANSAN","A0A158NZW8","Beta-ketoacyl synthase, N-terminal domain","Y",31263,"B1",0.421715689,"B.strict","A","B"
"26","g14658",6.48235371715735,-2.22815660723058,8.21623220105937,8.28390649383355e-09,4.85359258915266e-06,"scaffold_1980",677,NA,NA,NA,"N",7380,"A",-1.569197194,"A","A","A"
"27","g3121",6.17990760209419,-0.618836877750014,8.17804907595624,9.01224934448879e-09,5.12032311999456e-06,"scaffold_1145",305,NA,NA,NA,"N",19693,"A",-1.612694972,"A","A","A"
"28","g20085",6.28715357335988,-2.49687636895536,8.08894511776285,1.09975951193538e-08,5.72760863591013e-06,"scaffold_552",1087,NA,NA,NA,"N",189883,"B1",1.946634817,"B.strict","A","B"
"29","g4224",8.14316766501013,-1.05943673259372,8.05252113896774,1.20151494497755e-08,5.93469872237025e-06,"scaffold_28",1133,"SPOP_XENTR","N6U5F7","BTB/POZ domain","Y",1812903,"A",0.061554665,"A","A","A"
"30","g20279",6.3612123809612,-1.82221854770273,8.04903441354069,1.20282975865417e-08,5.93469872237025e-06,"scaffold_119",1413,NA,NA,"Sugar (and other) transporter","Y",991669,"A",-0.015207842,"A","A","A"
"31","g18233",6.03616049217223,-2.61263173292592,8.02717585777823,1.26250571370873e-08,6.06941528880127e-06,"scaffold_78",2754,NA,"A0A1I8MK77","Protein of unknown function (DUF 659),hAT family C-terminal dimerisation region,BED zinc finger","Y",1238903,"A",-0.410988649,"A","A","A"
"32","g20049",8.80762777518548,-0.817865743315289,7.96977111932062,1.4533379598531e-08,6.81215835232143e-06,"scaffold_850",595,NA,NA,NA,"N",36264,"A",-1.26222944,"A","A","A"
"33","g20048",8.81345123297023,-0.808916693247435,7.95005344138607,1.51955760062285e-08,6.94882572050679e-06,"scaffold_850",2636,"NRDC_MOUSE","A0A087ZSL6","Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16,Peptidase M16 inactive domain","Y",36264,"A",-1.26222944,"A","A","A"
"34","g8364",4.40014111606972,-3.67511319706898,7.80137311613995,2.10044626934698e-08,9.15843421022942e-06,"scaffold_275",1595,NA,NA,NA,"N",503033,"A",0.230572866,"A","A","A"
"35","g2870",4.13325472875168,1.61676759817881,7.78792422780365,2.16563041617424e-08,9.22804651655699e-06,"scaffold_89",353,NA,NA,NA,"N",1205502,"A",0.023041927,"A","A","A"
"36","g4590",8.27733318952476,-0.634168513675473,7.67048245682625,2.86232396658201e-08,1.14182366062651e-05,"scaffold_793",853,"ELOV6_CHICK","Q29D49","GNS1/SUR4 family","Y",47033,"A",-3.577865709,"A","A","A"
"37","g8501",3.27739200042791,-1.75623946498867,7.62903657780082,3.11478073296511e-08,1.21664633254923e-05,"scaffold_543",761,NA,NA,NA,"N",195591,"B4",-0.047138547,"B.loose","A","A"
"38","g13191",3.70834178110472,-3.59965306503292,7.5844264717655,3.4515711096503e-08,1.32068381091497e-05,"scaffold_979",953,NA,NA,NA,"N",25972,"A",-1.338951115,"A","A","A"
"39","g2809",6.61789088155348,-2.19445616297905,7.45121837494249,4.71267467742951e-08,1.76715875054252e-05,"scaffold_817",281,NA,NA,"Proteasome assembly chaperone 4","Y",42457,"A",-0.186835654,"A","A","A"
"40","g17760",4.08078765822785,0.427823021578267,7.37783192533024,5.5715833355394e-08,2.04826697956918e-05,"scaffold_186",1826,"PEPT1_DROME","A0A2J7R2B1","POT family","Y",756945,"A",-0.194147189,"A","A","A"
"41","g18587",3.65804521090649,-4.1905898192569,7.35243124712465,5.91142453959355e-08,2.10780033271173e-05,"scaffold_240",995,NA,NA,NA,"N",571683,"A",0.099126693,"A","A","A"
"42","g18037",5.07928292170227,-4.07987769938416,7.2856758692759,6.91380448247477e-08,2.40049852299851e-05,"scaffold_507",368,NA,NA,NA,"N",218151,"A",-0.0618825,"A","A","A"
"43","g13953",6.32293511677871,-3.69151956724346,7.26960188574272,7.1948026010081e-08,2.45264279938729e-05,"scaffold_2040",1483,"EP300_HUMAN","A0A3B3RK67","Histone acetylation protein","Y",6888,"B1",1.200707954,"B.strict","A","B"
"44","g2153",3.64651013874997,-4.71142934417588,7.2478888165616,7.55061685350767e-08,2.52797348904313e-05,"scaffold_1275",1472,NA,NA,NA,"N",17055,"A",1.280011468,"A","A","A"
"45","g5232",10.9776297160707,0.390216860757181,7.21317219639311,8.50556667015725e-08,2.79773455261015e-05,"scaffold_2160",2567,NA,NA,"Transactive response DNA-binding protein N-terminal domain","Y",5884,"B4",-2.328269622,"B.loose","A","A"
"46","g20623",10.7622387097545,0.0109717965714042,7.17401372223396,9.30740999951958e-08,2.90975003140581e-05,"scaffold_215",1143,"PPIA_RABIT","A0A482XF32","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","Y",662663,"A",-0.490191159,"A","A","A"
"47","g2736",6.1140112031216,-3.3678058264453,7.12692967033492,1.00625879410078e-07,3.04295905332186e-05,"scaffold_51",890,NA,NA,NA,"N",1437107,"A",0.002536088,"A","A","A"
"48","g21295",4.93063670527856,-2.73180665248218,7.08452229841039,1.11041801331516e-07,3.30463925899141e-05,"scaffold_43",422,NA,NA,NA,"N",1553300,"A",-0.218640579,"A","A","A"
"49","g10968",5.8845696755365,-2.24303861905044,6.99749613612031,1.36718293248305e-07,4.00520512517575e-05,"scaffold_1",638,NA,NA,NA,"N",4205925,"A",-0.407990297,"A","A","A"
"50","g354",3.59433190529136,1.52955082281615,6.79978007585065,2.18974223910978e-07,6.07364987726003e-05,"scaffold_42",2124,NA,"A0A374CGF3","Predicted AAA-ATPase","Y",1571520,"A",-0.296514865,"A","A","A"
"51","g1162",4.47866923715073,-3.86857227787487,6.79738638450958,2.20282783963775e-07,6.07364987726003e-05,"scaffold_736",360,NA,NA,NA,"N",68617,"A",-0.229421088,"A","A","A"
"52","g10916",5.05647822894632,-3.34101751860989,6.73637197909575,2.55258779839096e-07,6.93600994667132e-05,"scaffold_1",1824,NA,"X1XR80","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8,MULE transposase domain","Y",4205925,"A",-0.407990297,"A","A","A"
"53","g13321",4.57690155642311,-3.17629273729504,6.72447201753711,2.6258919596776e-07,7.03326405028503e-05,"scaffold_15",888,NA,NA,NA,"N",2222211,"A",-0.381851168,"A","A","A"
"54","g3201",3.92091513952591,-1.17310782050045,6.65933986484173,3.07285332336136e-07,8.11449675488763e-05,"scaffold_12",198,NA,NA,NA,"N",2392395,"A",-0.150391693,"A","A","A"
"55","g11911",3.96575221896309,-2.41032973216679,6.63670797763824,3.24602225459423e-07,8.45273211824821e-05,"scaffold_74",1326,NA,NA,NA,"N",1279699,"A",-0.154455218,"A","A","A"
"56","g1126",8.76030475396998,-3.03328825672085,6.58875424402599,3.71694562452356e-07,9.5464402074236e-05,"scaffold_605",403,NA,NA,NA,"N",140797,"A",-2.176244454,"A","A","A"
"57","g22271",4.65728746095525,-3.20013134561818,6.53351939135082,4.17210072606597e-07,0.000104468973762899,"scaffold_945",422,NA,NA,NA,"N",27636,"A",0.257301659,"A","A","A"
"58","g22863",8.63938147017642,-2.38996805545462,6.52877435189379,4.29775797063594e-07,0.000104468973762899,"scaffold_37",1097,"SPOPB_XENLA","A0A1I8Q4G3","BTB/POZ domain","Y",1648890,"A",-0.516653857,"A","A","A"
"59","g6525",8.67913355724659,0.473434622623617,6.51912692622245,4.40186086045605e-07,0.000104468973762899,"scaffold_52",2295,NA,"A0A1X7TGY6","hAT family C-terminal dimerisation region,BED zinc finger","Y",1435599,"A",-0.134785629,"A","A","A"
"60","g19261",4.75877143495822,-2.19973946680655,6.48874855253646,4.65368821470839e-07,0.00010906500042196,"scaffold_18",2074,NA,"D6WEX8","Predicted AAA-ATPase","Y",2121024,"A",0.062807853,"A","A","A"
"61","g1124",9.41888364749025,-2.98612545871744,6.47467312565446,4.94431981049353e-07,0.000114445743366596,"scaffold_605",432,NA,NA,NA,"N",140797,"A",-2.176244454,"A","A","A"
"62","g3147",5.04202494134445,-3.87022887921586,6.41369654576965,5.59275658029468e-07,0.000127876333077982,"scaffold_338",549,NA,NA,NA,"N",393854,"A",-0.665897518,"A","A","A"
"63","g3671",3.90141852499856,-3.8058004169837,6.39069975784596,5.91264574134128e-07,0.000133561680728202,"scaffold_269",260,NA,NA,NA,"N",511711,"A",-0.171084975,"A","A","A"
"64","g9541",4.2610659387687,-2.41046458135792,6.37747680238919,6.10818494302721e-07,0.000136336142258116,"scaffold_101",2955,NA,NA,NA,"N",1110711,"A",-0.06777845,"A","A","A"
"65","g11372",5.98758890739308,-1.75444904525769,6.32573318389556,6.95485999264638e-07,0.000153407847061326,"scaffold_151",482,NA,NA,NA,"N",880401,"A",-0.1861941,"A","A","A"
"66","g20735",4.99685185281321,-3.74182509784255,6.24788850504206,8.40708750702959e-07,0.000181177567435975,"scaffold_131",488,NA,NA,NA,"N",945783,"A",0.121337146,"A","A","A"
"67","g3239",9.66743978156203,0.379111544677392,6.23844328715447,8.87667024653593e-07,0.000189123511877616,"scaffold_12",1489,"FACR1_DROME","J9K7D4","Male sterility protein","Y",2392395,"A",-0.150391693,"A","A","A"
"68","g4593",4.63006993832054,-2.65478592467052,6.19764039065397,9.51436324431614e-07,0.000200432355581667,"scaffold_888",655,NA,NA,"Eukaryotic-type carbonic anhydrase","Y",31817,"A",-2.612654235,"A","A","A"
"69","g10279",4.71916858159545,5.31976555932997,6.18022092593949,9.93411608606824e-07,0.000206949713886326,"scaffold_150",2259,"M10B1_DANRE","A0A2J7QS54","AAA domain","Y",889822,"A",-0.178033238,"A","A","A"
"70","g10961",6.09641022933289,-2.40948012486808,6.15604916122755,1.05789302394114e-06,0.000215403807914639,"scaffold_1",2194,NA,"X1XR80","MULE transposase domain,Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8","Y",4205925,"A",-0.407990297,"A","A","A"
"71","g2805",7.15442683868839,-1.63391767598048,6.15483395194197,1.06675847705047e-06,0.000215403807914639,"scaffold_817",270,NA,NA,"RNA polymerase Rpb6","Y",42457,"A",-0.186835654,"A","A","A"
"72","g18588",4.09909925687453,-2.65353997623433,6.15064808537762,1.06845987178311e-06,0.000215403807914639,"scaffold_240",2174,NA,NA,NA,"N",571683,"A",0.099126693,"A","A","A"
"73","g1127",9.20496944109008,-2.97007432432182,6.13257560169125,1.14850696919616e-06,0.000229078267717647,"scaffold_605",394,NA,NA,NA,"N",140797,"A",-2.176244454,"A","A","A"
"74","g11595",4.05884980701604,-3.17718893260373,6.09648143293635,1.22207722621646e-06,0.000236213669219922,"scaffold_1801",2521,NA,"J9M2D0","Tc5 transposase DNA-binding domain,helix-turn-helix, Psq domain,DDE superfamily endonuclease","Y",9143,"A",0.353504894,"A","A","A"
"75","g11727",7.41418951408891,-1.67115345682405,6.07105106693187,1.31612645572141e-06,0.000250268902186223,"scaffold_168",1733,NA,"X1WKK7","Transposase IS4","Y",815591,"A",-0.735290715,"A","A","A"
"76","g6067",5.54593716249297,-1.80987258301527,6.06576040733516,1.32149028302502e-06,0.000250268902186223,"scaffold_5",3210,NA,NA,"BTB/POZ domain","Y",2912966,"A",-0.512436051,"A","A","A"
"77","g20011",4.10082140120083,-3.41094975879408,6.05501366875735,1.35475517652656e-06,0.000254003048046965,"scaffold_894",862,NA,NA,NA,"N",31517,"A",0.10497079,"A","A","A"
"78","g4800",3.56342909100827,-1.66365605958283,6.00992347406499,1.5154977015575e-06,0.000279067305580073,"scaffold_169",281,NA,NA,NA,"N",814881,"A",-0.607129917,"A","A","A"
"79","g7913",5.00348246057238,-3.0858441058854,5.98998971785727,1.5942142837227e-06,0.000290193433063271,"scaffold_46",666,NA,NA,NA,"N",1511820,"A",0.268979977,"A","A","A"
"80","g23417",6.17318417201815,-2.34025751359881,5.91187006252489,1.94434573442024e-06,0.000350524405525433,"scaffold_364",839,NA,NA,"OB-fold nucleic acid binding domain","Y",369540,"A",0.494832333,"A","A","A"
"81","g20946",7.79972286220731,-2.58496201873437,5.67270419411815,3.5904106939338e-06,0.00060847158679449,"scaffold_91",1541,NA,"A0A2P8Z519","MULE transposase domain,FLYWCH zinc finger domain","Y",1192111,"A",-0.163877476,"A","A","A"
"82","g17908",8.6866722987688,-2.89769688576848,5.67600076094334,3.59494035148196e-06,0.00060847158679449,"scaffold_983",1353,"CP4G1_DROME","J9JU30","Cytochrome P450","Y",25831,"A",-4.409559887,"A","A","A"
"83","g5312",3.45602657679269,-3.63746172181191,5.66464365277693,3.60234391883238e-06,0.00060847158679449,"scaffold_1578",879,NA,NA,"Transposase IS4","Y",11811,"B3",0.222918895,"B.loose","A","A"
"84","g8280",6.78368829295314,-2.04928540919339,5.60095709565086,4.2692194031449e-06,0.000714674951692533,"scaffold_290",437,NA,NA,NA,"N",475304,"A",0.436165274,"A","A","A"
"85","g864",3.72141090675329,-3.29326780548207,5.55778466632119,4.71939405380945e-06,0.00078304353199003,"scaffold_158",441,NA,NA,"Transcription activator MBF2","Y",859120,"A",-0.331860321,"A","A","A"
"86","g9254",6.17205823910057,0.601531015601817,5.55125792384655,4.8242104167108e-06,0.000793413343007989,"scaffold_1285",427,NA,NA,NA,"N",16880,"A",-0.629757967,"A","A","A"
"87","g23415",4.8651079106155,-2.85090089654184,5.52019772162112,5.19610091693141e-06,0.000839842207685751,"scaffold_364",2561,NA,"A0A1D2MNM8","Ubiquitin carboxyl-terminal hydrolase","Y",369540,"A",0.494832333,"A","A","A"
"88","g6210",4.30259349926507,-3.09865553470852,5.47877101219469,5.76749507942628e-06,0.000916396315628503,"scaffold_440",771,NA,NA,"BED zinc finger","Y",279831,"A",0.180185932,"A","A","A"
"89","g14657",5.02105819079627,-3.17334742443442,5.40814203506161,6.90855132693456e-06,0.00107940357357247,"scaffold_1980",412,NA,NA,NA,"N",7380,"A",-1.569197194,"A","A","A"
"90","g2486",2.46514647787466,0.483303872114536,5.38825302104179,7.25559860175358e-06,0.00112425800152296,"scaffold_49",1706,NA,"D6WTN9",NA,"Y",1467153,"A",-0.211050892,"A","A","A"
"91","g19940",1.62637891958181,3.20978158819909,5.35981076149605,7.80010875154364e-06,0.00119872327034993,"scaffold_236",923,NA,NA,"Myb/SANT-like DNA-binding domain","Y",587163,"A",0.293994945,"A","A","A"
"92","g9431",3.50387124596246,-1.06704875942479,5.25912077318212,1.00823089341255e-05,0.00150830523135052,"scaffold_434",1442,NA,NA,NA,"N",283348,"A",-0.046588825,"A","A","A"
"93","g5653",5.79432215946572,-2.08518199111145,5.25881758518066,1.01363517601027e-05,0.00150830523135052,"scaffold_1013",2682,"POLX_TOBAC","A0A182GA29","Reverse transcriptase (RNA-dependent DNA polymerase),Integrase core domain","Y",24300,"A",0.098713186,"A","A","A"
"94","g5914",1.9641759938094,4.03464268023938,5.23842051584815,1.06286091733941e-05,0.00156910073536982,"scaffold_139",3028,"RENT1_DROME","T1HV29","Domain of unknown function (DUF5599),AAA domain,RNA helicase (UPF2 interacting domain)","Y",925897,"A",-0.742299179,"A","A","A"
"95","g6056",4.32124045939056,-2.10380446815938,5.13738975482999,1.37670615143901e-05,0.00198552797179461,"scaffold_5",1543,"POL5_DROME","J9LCT9,J9L709","Reverse transcriptase (RNA-dependent DNA polymerase),Integrase core domain,Integrase zinc binding domain,RNase H-like domain found in reverse transcriptase","Y",2912966,"A",-0.512436051,"A","A","A"
"96","g11147",4.23813250328593,-4.2969302773851,5.04622586325694,1.73847811489744e-05,0.00248814703635208,"scaffold_751",1109,NA,NA,NA,"N",61138,"A",0.771599612,"A","A","A"
"97","g12210",4.73328535436732,-1.4549794996112,5.0176727118436,1.87205149485488e-05,0.00265902223310865,"scaffold_449",1160,NA,"Q8A7P0","Predicted AAA-ATPase","Y",264459,"A",0.417029838,"A","A","A"
"98","g11371",6.67993049674085,-1.94094558408135,5.01766342894664,1.89220195103358e-05,0.00266743566766381,"scaffold_151",1302,NA,"X1WMA8","Phage integrase family","Y",880401,"A",-0.1861941,"A","A","A"
"99","g10773",4.41169304555351,-0.229174614500703,5.00759847217482,1.91986275692789e-05,0.00268623185295829,"scaffold_270",1035,NA,NA,"Carboxylesterase family","Y",511095,"A",-0.121599868,"A","A","A"
"100","g5671",6.95271541725769,-3.19550582664343,5.00206836133905,1.97476824288311e-05,0.00274258739154189,"scaffold_555",2120,NA,"A0A2P8ZLW3","Transposase IS4","Y",186860,"A",-0.278887196,"A","A","A"
"101","g682",5.5277101487062,-1.29098506840285,4.97932638790546,2.07143718426697e-05,0.00283484494655631,"scaffold_132",1361,NA,NA,NA,"N",944065,"A",0.057402153,"A","A","A"
"102","g23414",5.11456216859082,-2.75937452441249,4.95124289925848,2.22243765748055e-05,0.00300323436604948,"scaffold_364",6016,NA,"A0A226F1P1","PIF1-like helicase,Helitron helicase-like domain at N-terminus","Y",369540,"A",0.494832333,"A","A","A"
"103","g18519",3.96811678779069,-0.358696561992322,4.88198073948197,2.64871611460459e-05,0.00352204102359726,"scaffold_273",2250,NA,"A0A2B4RXD0","Aspartyl protease","Y",509830,"A",0.239545037,"A","A","A"
"104","g2808",4.98854685535531,-0.235215228527798,4.77275999859223,3.51449775688996e-05,0.00458691994426632,"scaffold_817",1224,"MYRO1_BREBR","T1HZR0","Glycosyl hydrolase family 1","Y",42457,"A",-0.186835654,"A","A","A"
"105","g16062",4.32043373479392,-1.89955677142761,4.77114297275031,3.52294240745827e-05,0.00458691994426632,"scaffold_315",3547,"COPIA_DROME","J9KJ72","gag-polypeptide of LTR copia-type,Reverse transcriptase (RNA-dependent DNA polymerase),GAG-pre-integrase domain","Y",422866,"A",-0.830091946,"A","A","A"
"106","g627",4.67057995934659,-4.58049233212432,4.76607520372708,3.57184953367759e-05,0.00461852461427042,"scaffold_132",434,NA,NA,NA,"N",944065,"A",0.057402153,"A","A","A"
"107","g21393",3.8919102937217,-2.92004554681913,4.74216918607659,3.79333569915029e-05,0.00485463616335516,"scaffold_110",536,NA,NA,NA,"N",1065314,"A",-0.112448349,"A","A","A"
"108","g6171",4.08041023673277,-2.97391056276515,4.68215661220714,4.42712844602396e-05,0.00557075377412773,"scaffold_5",939,NA,NA,NA,"N",2912966,"A",-0.512436051,"A","A","A"
"109","g8748",2.73056030950574,-2.54832809454763,4.67175758941209,4.54452175762713e-05,0.00568034922891674,"scaffold_194",342,NA,NA,NA,"N",708625,"A",0.044440522,"A","A","A"
"110","g322",4.12960829820103,-2.10910582174351,4.58600927997861,5.66955560114878e-05,0.00689773792082508,"scaffold_42",940,NA,NA,NA,"N",1571520,"A",-0.296514865,"A","A","A"
"111","g10770",4.6153943507454,-1.3704901644223,4.58187330526307,5.73638316460223e-05,0.00689773792082508,"scaffold_270",947,NA,"A0A1I8NJP5,A0A1U8N4S9",NA,"Y",511095,"A",-0.121599868,"A","A","A"
"112","g6708",3.26733289185382,-2.51068024495974,4.58100551793477,5.73922404207537e-05,0.00689773792082508,"scaffold_179",217,NA,NA,NA,"N",784024,"A",-0.047198937,"A","A","A"
"113","g4426",5.16944737897827,-2.67145060593809,4.57396024986271,5.86743071132475e-05,0.0070069081787661,"scaffold_94",1000,NA,"A0A2P8XIJ0","Transposase IS4","Y",1173942,"A",-0.107696948,"A","A","A"
"114","g22370",3.35024491074175,-3.47144219124456,4.54238751101685,6.33852092552021e-05,0.00746060813856033,"scaffold_30",239,NA,NA,NA,"N",1716177,"A",0.16112786,"A","A","A"
"115","g6176",3.36897218748711,-3.97359418899973,4.54066311097865,6.36672517024723e-05,0.00746060813856033,"scaffold_5",362,NA,NA,NA,"N",2912966,"A",-0.512436051,"A","A","A"
"116","g20141",7.12083960102644,-0.0678626871185099,4.40324619607698,9.2935312398696e-05,0.0106301057565805,"scaffold_333",1511,NA,"J9L6S7","YqaJ-like viral recombinase domain","Y",396600,"A",0.218473314,"A","A","A"
"117","g7587",2.98186212925578,1.4700484870961,4.39327647331138,9.2982950774932e-05,0.0106301057565805,"scaffold_16",1024,NA,NA,NA,"N",2210925,"A",0.024375116,"A","A","A"
"118","g10786",5.33147948318299,0.938521942343285,4.33216296864204,0.000109463240244076,0.0122162279246201,"scaffold_270",1022,NA,NA,"Carboxylesterase family","Y",511095,"A",-0.121599868,"A","A","A"
"119","g2571",5.59409746503471,-4.00332859186395,4.30449370967095,0.000117785238200571,0.0129495992218972,"scaffold_90",1849,NA,"E2A388","DDE superfamily endonuclease","Y",1197345,"A",-0.385385309,"A","A","A"
"120","g9386",5.57245900147152,0.00868805202174517,4.28072046112076,0.000125195562871032,0.0135681595853698,"scaffold_153",3729,NA,"J9K020",NA,"Y",873851,"A",-0.707359672,"A","A","A"
"121","g14574",7.77215489378455,-1.64432674888742,4.28650528734206,0.000127088482325947,0.0136941491674091,"scaffold_665",1318,NA,NA,"gag-polypeptide of LTR copia-type","Y",99346,"A",0.175662376,"A","A","A"
"122","g14433",3.09397226185631,-1.87417947644635,4.22045489520852,0.00014488646848186,0.0154994803431823,"scaffold_344",1424,NA,"A0A2P8XL08","FLYWCH zinc finger domain,MULE transposase domain","Y",387431,"A",-0.252070345,"A","A","A"
"123","g23020",3.37500601955665,-4.18088477952073,4.21885602091267,0.000145496215286153,0.0154994803431823,"scaffold_82",296,NA,NA,NA,"N",1220856,"A",-0.13113478,"A","A","A"
"124","g6676",3.57719709133137,-3.35007724865091,4.19312951299044,0.000155433923960968,0.0162806181024815,"scaffold_179",205,NA,NA,NA,"N",784024,"A",-0.047198937,"A","A","A"
"125","g18403",2.78190284319769,-0.907290151927059,4.18449615440983,0.000158863028049717,0.0165473495161341,"scaffold_2165",2321,NA,NA,NA,"N",5828,"A",0.460155265,"A","A","A"
"126","g6630",2.53325462693942,-0.490044906165443,4.15674355040534,0.000170561527557783,0.0176677241998943,"scaffold_876",485,NA,NA,"7tm Odorant receptor","Y",33196,"A",0.312470234,"A","A","A"
