"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","seq.x","b.status.final","gene_len","seq.y","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"14","g20279",8.89751693627604,-1.82216229407356,11.0251358622866,2.95078826648855e-11,3.80778148731301e-08,"B+","scaffold_119","A",1413,"scaffold_119",NA,NA,"PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Y"
"15","g19940",2.10451329915517,3.20983784182826,10.7361156285531,4.7699560420965e-11,5.67554686653281e-08,"B+","scaffold_236","A",923,"scaffold_236",NA,NA,"PF13873","Myb/SANT-like DNA-binding domain","IPR028002","Myb/SANT-like DNA-binding domain",NA,"Y"
"16","g20018",4.96454022375462,4.01640625208197,10.7122454264776,5.0265000478537e-11,5.67554686653281e-08,"B+","scaffold_894","A",643,"scaffold_894","TCPA_DROME","A0A2J7QHG0","PF00118","TCP-1/cpn60 chaperonin family","IPR002423","Chaperonin Cpn60/TCP-1 family","GO:0005524","Y"
"18","g12841",-4.9351528316225,-3.17388521783186,-10.5612551667646,6.70419842940595e-11,6.72878049031377e-08,"B-","scaffold_44","A",454,"scaffold_44",NA,NA,"PF10260","Uncharacterized conserved domain (SAYSvFN)","IPR019387","Uncharacterised domain SAYSvFN",NA,"Y"
"20","g17204",-3.66587098542958,2.48596116229206,-10.190881187703,1.36694981769999e-10,1.2347657703284e-07,"B-","scaffold_57","A",1121,"scaffold_57","DUT_HUMAN","A0A2A4JSL6","PF00692;PF00098;PF14223","dUTPase; Zinc knuckle; gag-polypeptide of LTR copia-type","IPR029054;IPR001878","dUTPase-like; Zinc finger, CCHC-type","GO:0003676;GO:0008270","Y"
"23","g6329",-5.81379405486369,-2.30560867310141,-9.96125493330981,2.18446949789202e-10,1.71585330212683e-07,"B-","scaffold_235","A",313,"scaffold_235","PCNA_BOMMO","R4G4N7","PF02747","Proliferating cell nuclear antigen, C-terminal domain","IPR022649","Proliferating cell nuclear antigen, PCNA, C-terminal","GO:0003677;GO:0006275","Y"
"24","g1208",5.73404027339356,-2.87201699259281,9.92499505173027,2.34609429661396e-10,1.76602248177616e-07,"B+","scaffold_2293","B1",283,"scaffold_2293","FAS_CHICK","A0A2J7PFW7",NA,NA,NA,NA,NA,"Y"
"25","g13497",-5.02227987626882,2.23124815097115,-9.78807363297161,3.06516702423042e-10,2.20425456809083e-07,"B-","scaffold_143","A",1513,"scaffold_143",NA,"E0VQ39",NA,NA,NA,NA,NA,"Y"
"26","g354",3.47328061664669,1.52960707644533,9.76719844091675,3.17229152941224e-10,2.20425456809083e-07,"B+","scaffold_42","A",2124,"scaffold_42",NA,"A0A374CGF3","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"29","g17872",-6.15065340578293,-2.27172306326479,-9.61188659701205,4.43459229855667e-10,2.76259808502499e-07,"B-","scaffold_146","A",560,"scaffold_146","C4G15_DROME",NA,"PF00067","Cytochrome P450","IPR001128","Cytochrome P450","GO:0005506;GO:0016705;GO:0020037;GO:0055114","Y"
"33","g13531",6.04917661998262,-1.64086704185584,9.32497773688228,7.98595905422331e-10,4.37194958404843e-07,"B+","scaffold_266","A",886,"scaffold_266",NA,NA,"PF05485","THAP domain","IPR006612","THAP-type zinc finger","GO:0003676","Y"
"34","g13495",-4.52255857500793,1.62903776654401,-9.12213847978599,1.20003626527265e-09,6.37642799071052e-07,"B-","scaffold_143","A",1559,"scaffold_143","ERMP1_HUMAN","A0A067R1N3","PF04389","Peptidase family M28","IPR007484","Peptidase M28",NA,"Y"
"35","g4224",10.0126034558016,-1.05938047896454,9.0514454221269,1.52823295382835e-09,7.88830186967512e-07,"B+","scaffold_28","A",1133,"scaffold_28","SPOP_XENTR","N6U5F7","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"36","g15704",-1.42378443420316,4.61782873548755,-8.70318632494901,2.90585462383236e-09,1.45825471205987e-06,"B-","scaffold_493","A",3104,"scaffold_493","MCM9_XENTR","A0A067RI06","PF17207;PF00493;PF17855","MCM OB domain; MCM P-loop domain; MCM AAA-lid domain","IPR033762;IPR001208;IPR041562","MCM OB domain; MCM domain; MCM, AAA-lid domain","GO:0003677;GO:0005524;GO:0006270","Y"
"37","g3541",-5.95112432443427,1.10441504753187,-8.52466641008346,4.37291247502723e-09,2.11177095999142e-06,"B-","scaffold_10","A",1613,"scaffold_10",NA,"A0A482X7A4",NA,NA,NA,NA,NA,"Y"
"38","g19261",5.08392902517259,-2.19968321317737,8.51242626178453,4.44189618508104e-09,2.11177095999142e-06,"B+","scaffold_18","A",2074,"scaffold_18",NA,"D6WEX8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"40","g2645",9.00139420042331,-1.05722486430816,8.47502650259878,5.17214260331434e-09,2.33599820678692e-06,"B+","scaffold_1454","B3",894,"scaffold_1454",NA,"J9K3D3","PF00975","Thioesterase domain","IPR001031","Thioesterase","GO:0009058;GO:0016788","Y"
"42","g1438",-7.27710598518172,-0.909511850787998,-8.33518831547132,6.78211512206092e-09,2.91727837607506e-06,"B-","scaffold_20","A",2439,"scaffold_20","THAP9_HUMAN","J9JTA4","PF12017","Transposase protein","IPR021896","Transposase protein","GO:0004803;GO:0006313","Y"
"44","g4594",5.83943799897239,-4.28465939481771,8.23385966860975,8.27523413488962e-09,3.39773590638445e-06,"B+","scaffold_888","A",798,"scaffold_888",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"45","g22202",-3.3878552861864,1.77060418516167,-8.08021089111723,1.14066318950374e-08,4.54513589544846e-06,"B-","scaffold_11","A",883,"scaffold_11",NA,NA,"PF02452","PemK-like, MazF-like toxin of type II toxin-antitoxin system","IPR003477","mRNA interferase PemK-like","GO:0003677","Y"
"48","g5582",6.66220363195977,-2.5211708929538,8.04749010398677,1.27192692865766e-08,4.73295217193259e-06,"B+","scaffold_897","B1",663,"scaffold_897","FAS_ANSAN","A0A158NZW8","PF00109","Beta-ketoacyl synthase, N-terminal domain","IPR014030","Beta-ketoacyl synthase, N-terminal",NA,"Y"
"52","g9804",2.73029735204964,3.0842760230152,7.82839107041519,2.00887578544553e-08,6.95878817949777e-06,"B+","scaffold_47","A",738,"scaffold_47","TADBP_XENTR","T1HYV6","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","IPR000504","RNA recognition motif domain","GO:0003676","Y"
"53","g5249",1.04673950320258,5.57855160737181,7.82119628810447,2.04149105232692e-08,6.95878817949777e-06,"B+","scaffold_814","B3",1154,"scaffold_814","FXR1B_XENLA",NA,"PF00013;PF09128","KH domain; Regulator of G protein signalling-like domain","IPR004088;IPR015212","K Homology domain, type 1; Regulator of G protein signalling-like domain","GO:0003723;GO:0005089;GO:0005737","Y"
"55","g4590",10.0196021285129,-0.634112260046297,7.79389890966828,2.43388150149236e-08,7.99463694653837e-06,"B+","scaffold_793","A",853,"scaffold_793","ELOV6_CHICK","Q29D49","PF01151","GNS1/SUR4 family","IPR002076","ELO family","GO:0016021","Y"
"58","g6067",6.41029476795605,-1.80981632938609,7.5480562345575,3.95169380444445e-08,1.23088448743264e-05,"B+","scaffold_5","A",3210,"scaffold_5",NA,NA,"PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"59","g20686",7.30021928840062,-1.53913852124519,7.46343435850132,4.89792539181874e-08,1.49976135811182e-05,"B+","scaffold_131","A",2058,"scaffold_131",NA,NA,"PF00057;PF00089","Low-density lipoprotein receptor domain class A; Trypsin","IPR002172;IPR001254","Low-density lipoprotein (LDL) receptor class A repeat; Serine proteases, trypsin domain","GO:0005515;GO:0004252;GO:0006508","Y"
"60","g23185",-2.08646643752046,5.64381569656789,-7.3975088983413,5.40249205080861e-08,1.62669035649847e-05,"B-","scaffold_508","A",1428,"scaffold_508","YELL_DROSI","A0A482XT64","PF03022","Major royal jelly protein","IPR017996","Major royal jelly protein/protein yellow",NA,"Y"
"61","g23415",6.30963996684378,-2.85084464291267,7.31483982283921,6.78821997111688e-08,2.01042593439668e-05,"B+","scaffold_364","A",2561,"scaffold_364",NA,"A0A1D2MNM8","PF00443","Ubiquitin carboxyl-terminal hydrolase","IPR001394","Peptidase C19, ubiquitin carboxyl-terminal hydrolase","GO:0016579;GO:0036459","Y"
"62","g18640",-3.62805680300784,-0.440417286034945,-7.28701911674054,7.00768223100381e-08,2.02411957114703e-05,"B-","scaffold_362","A",244,"scaffold_362",NA,NA,"PF00012","Hsp70 protein","IPR013126","Heat shock protein 70 family",NA,"Y"
"63","g15798",-7.74544441362964,0.166629867438536,-7.30663991162567,7.13827770419842e-08,2.02411957114703e-05,"B-","scaffold_1906","A",1750,"scaffold_1906",NA,NA,"PF07707;PF00651","BTB And C-terminal Kelch; BTB/POZ domain","IPR011705;IPR000210","BTB/Kelch-associated; BTB/POZ domain","GO:0005515","Y"
"68","g20048",9.4065957974661,-0.808860439618259,7.27033587838844,8.09235729100159e-08,2.14994892381228e-05,"B+","scaffold_850","A",2636,"scaffold_850","NRDC_MOUSE","A0A087ZSL6","PF00675;PF16187;PF05193","Insulinase (Peptidase family M16); Middle or third domain of peptidase_M16; Peptidase M16 inactive domain","IPR011765;IPR032632;IPR007863","Peptidase M16, N-terminal; Peptidase M16, middle/third domain; Peptidase M16, C-terminal",NA,"Y"
"70","g3503",7.07786969505126,-0.158570504967582,7.09174406315874,1.16794375326108e-07,3.01429597805925e-05,"B+","scaffold_10","A",5368,"scaffold_10",NA,NA,"PF00651;PF07707","BTB/POZ domain; BTB And C-terminal Kelch","IPR000210;IPR011705","BTB/POZ domain; BTB/Kelch-associated","GO:0005515","Y"
"71","g6396",2.57697784113124,1.70863568081235,7.05227764059896,1.21487359989271e-07,3.04679608983522e-05,"B+","scaffold_63","A",2350,"scaffold_63",NA,"A0A261D9Z1","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"73","g21179",8.58131946253072,-1.29243887773886,7.08469065443004,1.23113093411918e-07,3.04679608983522e-05,"B+","scaffold_98","A",2174,"scaffold_98","PGBD4_HUMAN","A0A087UIR8","PF13843;PF13842","Transposase IS4; DDE_Tnp_1-like zinc-ribbon","IPR029526;IPR032718","PiggyBac transposable element-derived protein; PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon",NA,"Y"
"74","g15797",-8.44196537412357,0.591468375431862,-7.0698793725475,1.27096022472634e-07,3.08969531404759e-05,"B-","scaffold_1906","A",755,"scaffold_1906","CBP_MOUSE","G5BVC5","PF02135","TAZ zinc finger","IPR000197","Zinc finger, TAZ-type","GO:0003712;GO:0004402;GO:0005634;GO:0006355;GO:0008270","Y"
"75","g16189",3.05548895339304,0.995300583965612,7.0296368632888,1.28266992446346e-07,3.08969531404759e-05,"B+","scaffold_54","A",972,"scaffold_54","LST_PHOPY","A0A232F7D1","PF00685","Sulfotransferase domain","IPR000863","Sulfotransferase domain","GO:0008146","Y"
"77","g18233",5.75540934270091,-2.61257547929675,6.92432642333359,1.69387820425041e-07,3.97423423869973e-05,"B+","scaffold_78","A",2754,"scaffold_78",NA,"A0A1I8MK77","PF04937;PF05699;PF02892","Protein of unknown function (DUF 659); hAT family C-terminal dimerisation region; BED zinc finger","IPR007021;IPR008906;IPR003656","Domain of unknown function DUF659; HAT, C-terminal dimerisation domain; Zinc finger, BED-type","GO:0046983;GO:0003677","Y"
"79","g2809",6.85232007325559,-2.19439990934987,6.9042352789039,1.81821302803426e-07,4.15795399550215e-05,"B+","scaffold_817","A",281,"scaffold_817",NA,NA,"PF16093","Proteasome assembly chaperone 4","IPR032157","Proteasome assembly chaperone 4","GO:0043248","Y"
"80","g23072",7.42222034858481,-2.37820027347368,6.89916424941358,1.86512555358969e-07,4.21191978139392e-05,"B+","scaffold_82","A",710,"scaffold_82",NA,"A0A212FDA2","PF01833","IPT/TIG domain","IPR002909","IPT domain",NA,"Y"
"83","g17443",-4.36577211872216,-0.3807258234628,-6.78017059568374,2.34565748255323e-07,5.07734450655132e-05,"B-","scaffold_263","A",1352,"scaffold_263","SPB10_SORAR",NA,"PF00079","Serpin (serine protease inhibitor)","IPR023796","Serpin domain",NA,"Y"
"85","g6726",-2.95675145525568,7.40221623279774,-6.76622879597238,2.40573546951793e-07,5.11317846968364e-05,"B-","scaffold_179","A",7027,"scaffold_179","ZNFX1_MOUSE","J9KAH4","PF13086;PF13087","AAA domain; AAA domain","IPR041677;IPR041679","DNA2/NAM7 helicase, AAA domain; DNA2/NAM7 helicase-like, AAA domain",NA,"Y"
"86","g10916",5.18697151093688,-3.34096126498072,6.74964983239713,2.55220342628462e-07,5.36140780223929e-05,"B+","scaffold_1","A",1824,"scaffold_1",NA,"X1XR80","PF15299;PF10551","Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8; MULE transposase domain","IPR029309;IPR018289","Calcium-responsive transcription factor; MULE transposase domain",NA,"Y"
"87","g12078",-2.24580899149605,0.469917795244575,-6.70993896115642,2.75303183949986e-07,5.65258966215344e-05,"B-","scaffold_238","A",1379,"scaffold_238","PABP_DROME","A0A0H2UI64","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","IPR000504","RNA recognition motif domain","GO:0003676","Y"
"88","g3239",11.7427326614873,0.379167798306568,6.78206547719777,2.75339250675026e-07,5.65258966215344e-05,"B+","scaffold_12","A",1489,"scaffold_12","FACR1_DROME","J9K7D4","PF03015;PF07993","Male sterility protein; Male sterility protein","IPR033640;IPR013120","Fatty acyl-CoA reductase, C-terminal; Male sterility, NAD-binding",NA,"Y"
"97","g2486",2.94843958396662,0.483360125743712,6.31929536410239,7.12955855574126e-07,0.000132786190585589,"B+","scaffold_49","A",1706,"scaffold_49",NA,"D6WTN9",NA,NA,NA,NA,NA,"Y"
"99","g11595",4.13807608710696,-3.17713267897455,6.29893490615988,7.55074012417873e-07,0.00013654178349052,"B+","scaffold_1801","A",2521,"scaffold_1801",NA,"J9M2D0","PF03221;PF05225;PF03184","Tc5 transposase DNA-binding domain; helix-turn-helix, Psq domain; DDE superfamily endonuclease","IPR006600;IPR007889;IPR004875","HTH CenpB-type DNA-binding domain; DNA binding HTH domain, Psq-type; DDE superfamily endonuclease domain","GO:0003677;GO:0003676","Y"
"100","g23417",7.01208377123961,-2.34020125996964,6.31822986214898,7.61153358585536e-07,0.00013654178349052,"B+","scaffold_364","A",839,"scaffold_364",NA,NA,"PF01336","OB-fold nucleic acid binding domain","IPR004365","OB-fold nucleic acid binding domain, AA-tRNA synthetase-type","GO:0003676","Y"
"104","g19511",-2.99599463188536,1.77120601534062,-6.23938910008533,8.67981028966594e-07,0.000150778319897216,"B-","scaffold_7","A",2317,"scaffold_7",NA,"A0A2J7RMN7","PF00135","Carboxylesterase family","IPR002018","Carboxylesterase, type B",NA,"Y"
"107","g7175",4.0603928308313,-3.78462617880921,6.21127186517254,9.36573339587278e-07,0.00015813209301854,"B+","scaffold_17","A",4073,"scaffold_17",NA,"A0A226EUF5","PF05380;PF05585;PF03564","Pao retrotransposon peptidase; Putative peptidase (DUF1758); Protein of unknown function (DUF1759)","IPR008042;IPR008737;IPR005312","Retrotransposon, Pao; Peptidase aspartic, putative; Protein of unknown function DUF1759",NA,"Y"
"113","g23414",6.36991980586609,-2.75931827078331,6.13392199166978,1.18361413482912e-06,0.000189231619113477,"B+","scaffold_364","A",6016,"scaffold_364",NA,"A0A226F1P1","PF05970;PF14214","PIF1-like helicase; Helitron helicase-like domain at N-terminus","IPR010285;IPR025476","DNA helicase Pif1-like; Helitron helicase-like domain","GO:0000723;GO:0003678;GO:0006281","Y"
"114","g506",5.47869084652591,-1.24524977870406,6.10673514407656,1.24113317277951e-06,0.000196686946486268,"B+","scaffold_816","B2",905,"scaffold_816",NA,"A0A2J7RAG5","PF01433","Peptidase family M1 domain","IPR014782","Peptidase M1, membrane alanine aminopeptidase","GO:0008237;GO:0008270","Y"
"115","g6210",4.57812061401243,-3.09859928107935,6.07854892860387,1.31000754704142e-06,0.00020471382705262,"B+","scaffold_440","A",771,"scaffold_440",NA,NA,"PF02892","BED zinc finger","IPR003656","Zinc finger, BED-type","GO:0003677","Y"
"116","g1157",-2.10934234472205,1.26208411609263,-6.0711684981967,1.31444724554987e-06,0.00020471382705262,"B-","scaffold_494","A",1297,"scaffold_494","YM67_CAEEL","A0A1A9UJ87","PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"118","g10961",6.51023382108704,-2.4094238712389,6.0622375131101,1.4204355310128e-06,0.000217173442629319,"B+","scaffold_1","A",2194,"scaffold_1",NA,"X1XR80","PF10551;PF15299","MULE transposase domain; Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 8","IPR018289;IPR029309","MULE transposase domain; Calcium-responsive transcription factor",NA,"Y"
"120","g17317",-3.00402782243318,1.29335131813833,-6.01987477923885,1.49494217145384e-06,0.000225063543912376,"B-","scaffold_390","A",1170,"scaffold_390","ZNF41_HUMAN",NA,"PF00096;PF12874;PF13912","Zinc finger, C2H2 type; Zinc-finger of C2H2 type; C2H2-type zinc finger","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"121","g16062",5.8167112318702,-1.89950051779843,6.02373188402384,1.53800232613883e-06,0.000229632644826645,"B+","scaffold_315","A",3547,"scaffold_315","COPIA_DROME","J9KJ72","PF14223;PF07727;PF13976","gag-polypeptide of LTR copia-type; Reverse transcriptase (RNA-dependent DNA polymerase); GAG-pre-integrase domain","IPR013103;IPR025724","Reverse transcriptase, RNA-dependent DNA polymerase; GAG-pre-integrase domain",NA,"Y"
"122","g2001",6.9058233116195,-2.72646169338987,5.99393098541046,1.70288936596241e-06,0.000252167207258007,"B+","scaffold_581","A",862,"scaffold_581",NA,"J9MAL5","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"123","g23189",2.37569522256234,2.54368990544688,5.92070802191967,1.91189294172683e-06,0.000280815104758023,"B+","scaffold_508","A",2708,"scaffold_508",NA,"R4ZGG0",NA,NA,NA,NA,NA,"Y"
"124","g19936",1.12526518112446,6.74245817508688,5.86818040376955,2.17970879354613e-06,0.000317569508582293,"B+","scaffold_236","A",2258,"scaffold_236",NA,"D2A512","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"125","g14876",-1.87837628171803,0.767762133306414,-5.84582336461612,2.30516470971212e-06,0.000333160845165273,"B-","scaffold_33","A",1181,"scaffold_33","PELI_DROME","A0A088A146","PF04710","Pellino","IPR006800","Pellino family","GO:0000209;GO:0008592;GO:0061630","Y"
"126","g6525",9.55999887938217,0.473490876252793,5.89900251494609,2.32785078110804e-06,0.000333769461996015,"B+","scaffold_52","A",2295,"scaffold_52",NA,"A0A1X7TGY6","PF05699;PF02892","hAT family C-terminal dimerisation region; BED zinc finger","IPR008906;IPR003656","HAT, C-terminal dimerisation domain; Zinc finger, BED-type","GO:0046983;GO:0003677","Y"
"127","g507",8.41162286881482,-0.714169273459835,5.87347031657327,2.40500756517298e-06,0.000342117060412717,"B+","scaffold_816","B2",601,"scaffold_816",NA,NA,"PF11838","ERAP1-like C-terminal domain","IPR024571","ERAP1-like C-terminal domain",NA,"Y"
"130","g1324",-5.26596496600824,3.54234209966909,-5.77501099455526,2.8376900924397e-06,0.000394351609307813,"B-","scaffold_69","A",1942,"scaffold_69",NA,"D6WEX8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"133","g5232",11.0778220133958,0.390273114386357,5.80764177796746,3.05453842196653e-06,0.000414911963392837,"B+","scaffold_2160","B3",2567,"scaffold_2160",NA,NA,"PF18694","Transactive response DNA-binding protein N-terminal domain","IPR041105","TAR DNA-binding protein 43, N-terminal",NA,"Y"
"134","g1680",5.28739836266461,-3.78422414004867,5.71803280418027,3.27835915670515e-06,0.000439225292671628,"B+","scaffold_243","A",1040,"scaffold_243","RDX_DROME","A0A1D2MAL1","PF00651","BTB/POZ domain","IPR000210","BTB/POZ domain","GO:0005515","Y"
"135","g872",5.25067131573389,-1.31601945399511,5.7172581043936,3.28215512624099e-06,0.000439225292671628,"B+","scaffold_158","A",2129,"scaffold_158","RT07_DROME","A0A067QQP8","PF00177;PF10551;PF00096","Ribosomal protein S7p/S5e; MULE transposase domain; Zinc finger, C2H2 type","IPR023798;IPR018289;IPR013087","Ribosomal protein S7 domain; MULE transposase domain; Zinc finger C2H2-type","GO:0003676","Y"
"137","g20623",10.5279100068233,0.0110280502005802,5.73701740724629,3.60446971266682e-06,0.00047291173794665,"B+","scaffold_215","A",1143,"scaffold_215","PPIA_RABIT","A0A482XF32","PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","IPR002130","Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain","GO:0000413;GO:0003755","Y"
"140","g17216",-2.91658931800691,-0.791056067688157,-5.64680531470222,3.80558288004783e-06,0.000490301470713491,"B-","scaffold_57","A",1266,"scaffold_57","VGLU1_XENLA","K7J9C8","PF07690","Major Facilitator Superfamily","IPR011701","Major facilitator superfamily","GO:0016021;GO:0055085","Y"
"141","g11609",3.64930738875838,-0.233550243219994,5.64641788904456,3.82666375349287e-06,0.000490301470713491,"B+","scaffold_289","A",864,"scaffold_289",NA,NA,"PF00041","Fibronectin type III domain","IPR003961","Fibronectin type III","GO:0005515","Y"
"142","g15222",-4.02981410177835,-4.59276287321969,-5.63722043037563,3.93301244168495e-06,0.000500378892756904,"B-","scaffold_1517","A",5205,"scaffold_1517",NA,"A0A226F1P1","PF14214;PF00443;PF05970","Helitron helicase-like domain at N-terminus; Ubiquitin carboxyl-terminal hydrolase; PIF1-like helicase","IPR025476;IPR001394;IPR010285","Helitron helicase-like domain; Peptidase C19, ubiquitin carboxyl-terminal hydrolase; DNA helicase Pif1-like","GO:0016579;GO:0036459;GO:0000723;GO:0003678;GO:0006281","Y"
"144","g9062",4.69513356095526,-3.96224250245504,5.58984984535012,4.48085755390105e-06,0.000562160920616503,"B+","scaffold_848","B1",1025,"scaffold_848",NA,"A0A1H8D3N8","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"145","g5035",4.19176668308209,-3.98346831590037,5.57987620745455,4.55717230199429e-06,0.000567792240053992,"B+","scaffold_155","A",515,"scaffold_155",NA,NA,"PF02958","Ecdysteroid kinase","IPR004119","Ecdysteroid kinase-like",NA,"Y"
"146","g19954",1.03147676330707,7.78700443165937,5.5594645229461,4.73803038720405e-06,0.000586282582022113,"B+","scaffold_236","A",2517,"scaffold_236","MCM3_DROME","A0A067R6K3","PF17207;PF14551;PF00493;PF17855","MCM OB domain; MCM N-terminal domain; MCM P-loop domain; MCM AAA-lid domain","IPR033762;IPR027925;IPR001208;IPR041562","MCM OB domain; MCM N-terminal domain; MCM domain; MCM, AAA-lid domain","GO:0003677;GO:0005524;GO:0006270","Y"
"155","g18507",2.95618145169595,-0.42387938757874,5.43301004813294,6.5376806562412e-06,0.000761998314423572,"B+","scaffold_273","A",705,"scaffold_273",NA,NA,"PF00194","Eukaryotic-type carbonic anhydrase","IPR001148","Alpha carbonic anhydrase domain",NA,"Y"
"158","g4615",-2.81239181890773,-1.02292630062222,-5.35029249133916,8.06234247708094e-06,0.000921862526524964,"B-","scaffold_383","A",1329,"scaffold_383",NA,NA,"PF03227","Gamma interferon inducible lysosomal thiol reductase (GILT)","IPR004911","Gamma interferon inducible lysosomal thiol reductase GILT",NA,"Y"
"161","g3496",1.87683620770374,6.68626649837172,5.31263819810174,8.86170601616826e-06,0.000994382489988172,"B+","scaffold_10","A",1679,"scaffold_10","PPBT_CHICK","A0A2J7PHL4","PF00245","Alkaline phosphatase","IPR001952","Alkaline phosphatase","GO:0016791","Y"
"164","g20062",1.71428230049822,5.00066164792326,5.28359494903534,9.54159542265383e-06,0.00105108818844917,"B+","scaffold_604","A",1339,"scaffold_604","LIPR1_RAT","J9K5A2","PF00151","Lipase","IPR013818","Lipase/vitellogenin",NA,"Y"
"166","g14115",-1.78210816937373,2.81401922661851,-5.25071441279961,1.03753226808483e-05,0.00112916011778437,"B-","scaffold_710","A",2405,"scaffold_710",NA,"A0A482X194","PF00567","Tudor domain","IPR002999","Tudor domain",NA,"Y"
