"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"26","g23556",-14.6197816765569,1.93083465102987,-24.4033019124358,7.7503436947452e-20,4.67196679722083e-17,"MB (FC > 5)",773,"scaffold_85","ASHH2_ARATH","A0A0L0BZU8","PF00856","SET domain","IPR001214","SET domain","GO:0005515","Y"
"27","g15656",-14.4855143759621,2.38685724962581,-24.0571545590587,1.10878705373945e-19,6.43630351602162e-17,"MB (FC > 5)",953,"scaffold_21",NA,NA,NA,NA,NA,NA,NA,"N"
"28","g6570",-4.30103356893242,9.03724644081831,-23.9221541419656,1.23930969735753e-19,6.93703603095877e-17,"MB",7712,"scaffold_52",NA,"A0A2J7PZL8",NA,NA,NA,NA,NA,"Y"
"29","g14187",-15.4172302113119,3.5821425709566,-23.3489758921289,2.36297318373355e-19,1.26962230755107e-16,"MB (FC > 5)",893,"scaffold_3",NA,NA,NA,NA,NA,NA,NA,"N"
"30","g21514",-3.23972296795389,8.22342948281145,-23.2881680365245,2.43020922775041e-19,1.26962230755107e-16,"MB",3222,"scaffold_477","RYK2_DROME","E0W415","PF07714;PF02019","Protein tyrosine kinase; WIF domain","IPR001245;IPR003306","Serine-threonine/tyrosine-protein kinase, catalytic domain; WIF domain","GO:0004672;GO:0006468","Y"
"31","g20359",-3.07921551469761,6.58112077637824,-23.1919851497723,2.69554988417096e-19,1.3628178495036e-16,"MB",1076,"scaffold_129","MAPK2_DROME","A0A182G249","PF00069","Protein kinase domain","IPR000719","Protein kinase domain","GO:0004672;GO:0005524;GO:0006468","Y"
"32","g11913",-14.5376783951718,2.72530523856524,-22.8793275637571,3.90384047679244e-19,1.88910231759521e-16,"MB (FC > 5)",785,"scaffold_513",NA,NA,NA,NA,NA,NA,NA,"N"
"33","g15778",-9.16901262062824,6.14534335196012,-22.8377168431228,3.97756501503489e-19,1.88910231759521e-16,"MB (FC > 5)",355,"scaffold_59",NA,NA,NA,NA,NA,NA,NA,"N"
"34","g14186",-15.1789272857035,3.08400557729879,-22.8391422048902,4.09897575570663e-19,1.88950726527029e-16,"MB (FC > 5)",896,"scaffold_3",NA,NA,NA,NA,NA,NA,NA,"N"
"35","g15701",-9.7710815884366,4.62442529760293,-22.7480214305901,4.39591303690028e-19,1.96848985792395e-16,"MB (FC > 5)",1196,"scaffold_493",NA,NA,NA,NA,NA,NA,NA,"N"
"36","g12147",-14.8613707850789,2.78273929524079,-22.7049845150052,4.73797844769604e-19,2.02111640851119e-16,"MB (FC > 5)",872,"scaffold_563",NA,NA,NA,NA,NA,NA,NA,"N"
"37","g10895",-15.3036106451782,2.53303812728573,-22.7016851977,4.77134608019613e-19,2.02111640851119e-16,"MB (FC > 5)",947,"scaffold_1",NA,NA,NA,NA,NA,NA,NA,"N"
"38","g2171",-14.9519689902461,2.91408964486041,-22.462912413733,6.19704023626117e-19,2.5559529374453e-16,"MB (FC > 5)",908,"scaffold_14",NA,NA,NA,NA,NA,NA,NA,"N"
"39","g15336",-14.8319483611015,2.69942743898803,-22.4326644492669,6.40327018859844e-19,2.57329368374111e-16,"MB (FC > 5)",1151,"scaffold_100",NA,NA,NA,NA,NA,NA,NA,"N"
"40","g19335",-14.1604775647368,2.00906861328893,-22.2916370530485,7.4581809342496e-19,2.92230174456235e-16,"MB (FC > 5)",632,"scaffold_292",NA,NA,NA,NA,NA,NA,NA,"N"
"41","g9583",-7.29539831371792,4.74501128890148,-22.0659497240622,9.35251369942914e-19,3.57516944417446e-16,"MB (FC > 5)",1166,"scaffold_343",NA,"A0A2P8YCN5",NA,NA,NA,NA,NA,"Y"
"42","g1319",-14.3012183821543,2.52731284111672,-22.0660102669497,9.62159993446129e-19,3.59046037554314e-16,"MB (FC > 5)",1658,"scaffold_274",NA,NA,NA,NA,NA,NA,NA,"N"
"43","g10587",-14.9594349211937,2.6661833466132,-22.0216818866669,1.01655515938469e-18,3.70522535186891e-16,"MB (FC > 5)",1226,"scaffold_32",NA,NA,NA,NA,NA,NA,NA,"N"
"44","g294",-14.4839623293415,2.18330197856994,-21.9721949094074,1.07135847651912e-18,3.81622759147366e-16,"MB (FC > 5)",707,"scaffold_137",NA,NA,NA,NA,NA,NA,NA,"N"
"45","g17515",-3.63374593825901,6.94432326928356,-21.754433549641,1.33126182492045e-18,4.63663701821738e-16,"MB",3225,"scaffold_41","NRDC_MOUSE","A0A087ZSL6","PF16187;PF00675;PF05193","Middle or third domain of peptidase_M16; Insulinase (Peptidase family M16); Peptidase M16 inactive domain","IPR032632;IPR011765;IPR007863","Peptidase M16, middle/third domain; Peptidase M16, N-terminal; Peptidase M16, C-terminal",NA,"Y"
"46","g882",-5.24813091124548,5.37622744192105,-21.6748178961417,1.45848107524774e-18,4.88088736151464e-16,"MB (FC > 5)",3005,"scaffold_158",NA,"A0A482XF45","PF12937","F-box-like","IPR001810","F-box domain","GO:0005515","Y"
"47","g18285",-5.22014153422104,4.96038938595195,-21.6717178460527,1.46367451024812e-18,4.88088736151464e-16,"MB (FC > 5)",858,"scaffold_250","TBA1_PNECA","M7AS14","PF00091","Tubulin/FtsZ family, GTPase domain","IPR003008","Tubulin/FtsZ, GTPase domain","GO:0003924","Y"
"48","g10811",-13.5541501083765,1.45892125855594,-21.5359153637744,1.75350149486151e-18,5.72554769353424e-16,"MB (FC > 5)",1187,"scaffold_464",NA,NA,NA,NA,NA,NA,NA,"N"
"49","g9600",-15.1559454742072,2.77900011482858,-21.5088575156423,1.83029309773258e-18,5.85432320831892e-16,"MB (FC > 5)",920,"scaffold_287",NA,NA,NA,NA,NA,NA,NA,"N"
"50","g11140",-14.0038606224471,1.98617735273906,-21.426009121732,1.9974497811493e-18,6.26120608399058e-16,"MB (FC > 5)",677,"scaffold_165",NA,NA,NA,NA,NA,NA,NA,"N"
"51","g3058",-11.8916700362808,4.25003445399674,-21.3808280319941,2.07788763171848e-18,6.30740757645422e-16,"MB (FC > 5)",932,"scaffold_36",NA,NA,NA,NA,NA,NA,NA,"N"
"52","g14697",-14.0429013898705,1.75229308303561,-21.3861260883968,2.0926765391158e-18,6.30740757645422e-16,"MB (FC > 5)",773,"scaffold_718",NA,NA,NA,NA,NA,NA,NA,"N"
"53","g19660",-14.0392104821766,1.7503198719678,-21.3278741743495,2.2393356746119e-18,6.51346625339719e-16,"MB (FC > 5)",548,"scaffold_369",NA,NA,NA,NA,NA,NA,NA,"N"
"54","g3915",-6.58209766525245,-2.53513068926876,-21.3025237813012,2.24415987802876e-18,6.51346625339719e-16,"MB (FC > 5)",203,"scaffold_104",NA,NA,NA,NA,NA,NA,NA,"N"
"55","g2721",-13.9735418783881,2.40654241497102,-21.2185168981112,2.5430808825808e-18,7.21797450641462e-16,"MB (FC > 5)",761,"scaffold_644",NA,NA,NA,NA,NA,NA,NA,"N"
"56","g4016",-14.3506175171677,3.10228618141059,-21.2000621540316,2.60561961992725e-18,7.21797450641462e-16,"MB (FC > 5)",1935,"scaffold_478",NA,NA,NA,NA,NA,NA,NA,"N"
"57","g15569",-12.9929771867243,3.55569044873277,-21.1858785107999,2.62505293731662e-18,7.21797450641462e-16,"MB (FC > 5)",1592,"scaffold_166",NA,NA,NA,NA,NA,NA,NA,"N"
"58","g5398",-14.8394569141837,3.74067384078924,-21.0888169599913,2.97989334270987e-18,8.05239109660204e-16,"MB (FC > 5)",2852,"scaffold_223",NA,NA,NA,NA,NA,NA,NA,"N"
"59","g20165",-13.7656747174387,1.79652069343095,-21.0300303857268,3.16879460824802e-18,8.41771489746969e-16,"MB (FC > 5)",341,"scaffold_333",NA,NA,NA,NA,NA,NA,NA,"N"
"60","g4486",-7.55506535528696,-1.21001503574799,-20.9806383018817,3.27672577892071e-18,8.55935385550404e-16,"MB (FC > 5)",290,"scaffold_94",NA,NA,NA,NA,NA,NA,NA,"N"
"61","g5624",-14.0285032357615,2.56111663728657,-20.9422447917962,3.52157777551917e-18,9.04814565175607e-16,"MB (FC > 5)",704,"scaffold_356",NA,NA,NA,NA,NA,NA,NA,"N"
"62","g2756",-14.7499969173339,2.59753003398726,-20.9228831706272,3.62235617491828e-18,9.15696585959584e-16,"MB (FC > 5)",1034,"scaffold_51",NA,NA,"PF00035","Double-stranded RNA binding motif","IPR014720","Double-stranded RNA-binding domain",NA,"Y"
"63","g19963",-14.7701071886877,2.98849507776872,-20.8268014188338,4.06069751550885e-18,1.01021130413603e-15,"MB (FC > 5)",1274,"scaffold_236",NA,NA,NA,NA,NA,NA,NA,"N"
"64","g9601",-9.80845681740785,-0.601027771431841,-20.781734200647,4.1685139280684e-18,1.02082998116587e-15,"MB (FC > 5)",305,"scaffold_287",NA,NA,NA,NA,NA,NA,NA,"N"
"65","g7859",-12.1885327339147,4.20578673140058,-20.7343674427634,4.4568324835856e-18,1.07390517108598e-15,"MB (FC > 5)",962,"scaffold_46",NA,NA,NA,NA,NA,NA,NA,"N"
"66","g1775",-11.6583999124328,0.20522951657972,-20.7198210978363,4.52228298932396e-18,1.07390517108598e-15,"MB (FC > 5)",388,"scaffold_199",NA,NA,"PF13445","RING-type zinc-finger","IPR027370","RING-type zinc-finger, LisH dimerisation motif",NA,"Y"
"67","g6988",-8.13323091067591,8.04720341583969,-20.5363627512035,5.57087579105537e-18,1.29573264405253e-15,"MB (FC > 5)",1301,"scaffold_26","TBA2_CAEEL","C3YW48","PF00091;PF03953","Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain","IPR003008;IPR018316","Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain","GO:0003924","Y"
"68","g12672",-14.0935990089702,2.43382929368662,-20.5508291852712,5.62175842503488e-18,1.29573264405253e-15,"MB (FC > 5)",947,"scaffold_272",NA,NA,NA,NA,NA,NA,NA,"N"
"69","g17144",-7.86496483185821,5.51920894400973,-20.5029787962044,5.79725206932587e-18,1.31317740721086e-15,"MB (FC > 5)",1652,"scaffold_57","POLO_DROME","Q2M0V5","PF00659;PF00069","POLO box duplicated region; Protein kinase domain","IPR000959;IPR000719","POLO box domain; Protein kinase domain","GO:0005515;GO:0004672;GO:0005524;GO:0006468","Y"
"70","g15682",-13.7230143365013,1.64148346027573,-20.5135142209823,5.86501745069612e-18,1.31317740721086e-15,"MB (FC > 5)",392,"scaffold_600",NA,NA,NA,NA,NA,NA,NA,"N"
"71","g15992",-11.7208848234798,3.97706535643676,-20.4509126330876,6.24970296695669e-18,1.37959992395933e-15,"MB (FC > 5)",1106,"scaffold_75","KAPC1_DROME","N6UW64","PF00069","Protein kinase domain","IPR000719","Protein kinase domain","GO:0004672;GO:0005524;GO:0006468","Y"
"72","g4672",-14.041727294275,1.94516353120303,-20.450558599737,6.3423592426746e-18,1.38060828347832e-15,"MB (FC > 5)",497,"scaffold_181",NA,NA,NA,NA,NA,NA,NA,"N"
"73","g20216",-13.2728085895114,1.53115317397787,-20.4178891685597,6.56356171910663e-18,1.40918770991176e-15,"MB (FC > 5)",875,"scaffold_71",NA,NA,"PF01963","TraB family","IPR002816","TraB family",NA,"Y"
"74","g12498",-14.2873522932217,2.14801492160976,-20.3230604052776,7.41579690815845e-18,1.57064574245361e-15,"MB (FC > 5)",1604,"scaffold_283",NA,NA,NA,NA,NA,NA,NA,"N"
"75","g21447",-14.444442765167,2.79215807889821,-20.2942405009822,7.68932341971592e-18,1.6068635460961e-15,"MB (FC > 5)",1633,"scaffold_348","TTLL4_MOUSE","J9K688","PF03133","Tubulin-tyrosine ligase family","IPR004344","Tubulin-tyrosine ligase/Tubulin polyglutamylase","GO:0006464","Y"
"76","g4123",-14.0484268847981,1.85712600345619,-20.2371889596091,8.21933343698949e-18,1.69502122313074e-15,"MB (FC > 5)",911,"scaffold_70",NA,NA,NA,NA,NA,NA,NA,"N"
"77","g10300",-6.57104323001445,4.5877014197439,-20.1598108185404,8.78556846448705e-18,1.78826252654423e-15,"MB (FC > 5)",702,"scaffold_652",NA,NA,"PF00011","Hsp20/alpha crystallin family","IPR002068","Alpha crystallin/Hsp20 domain",NA,"Y"
"78","g9602",-13.8296165656141,1.79366650539887,-20.1516410319341,9.11154269199631e-18,1.82602889656691e-15,"MB (FC > 5)",488,"scaffold_287",NA,NA,NA,NA,NA,NA,NA,"N"
"79","g13754",-13.0416316156064,1.41691385527824,-20.1390997528179,9.20412702282816e-18,1.82602889656691e-15,"MB (FC > 5)",296,"scaffold_377",NA,NA,NA,NA,NA,NA,NA,"N"
"80","g8005",-6.91495620478202,5.68011996623649,-20.0938556244567,9.52749937417548e-18,1.86655622114315e-15,"MB (FC > 5)",995,"scaffold_212",NA,"R7UQH7","PF00134","Cyclin, N-terminal domain","IPR006671","Cyclin, N-terminal",NA,"Y"
"81","g15681",-12.9636824064727,0.907232235101971,-20.0971222865579,9.68572912256677e-18,1.8741287967653e-15,"MB (FC > 5)",473,"scaffold_600",NA,NA,NA,NA,NA,NA,NA,"N"
"82","g8869",-14.8050002020704,2.81194012877654,-20.0524621564663,1.0365341063159e-17,1.98117061564502e-15,"MB (FC > 5)",1637,"scaffold_2",NA,NA,NA,NA,NA,NA,NA,"N"
"83","g3189",-15.3344293028174,3.24207890414508,-20.0101271260545,1.09656411107776e-17,2.05959667270768e-15,"MB (FC > 5)",2318,"scaffold_12",NA,NA,NA,NA,NA,NA,NA,"N"
"84","g13545",-12.2811611021147,0.539488554922214,-19.9875813963007,1.10384814973167e-17,2.05959667270768e-15,"MB (FC > 5)",389,"scaffold_565",NA,NA,NA,NA,NA,NA,NA,"N"
"85","g3180",-14.909987430499,3.78359515774094,-19.9185201119042,1.22383226450389e-17,2.23066445164255e-15,"MB (FC > 5)",2096,"scaffold_12",NA,NA,NA,NA,NA,NA,NA,"N"
"86","g17850",-13.5913415964555,1.61101803129018,-19.9087770596886,1.22679687774763e-17,2.23066445164255e-15,"MB (FC > 5)",314,"scaffold_459",NA,NA,NA,NA,NA,NA,NA,"N"
"87","g19515",-13.2675087724078,1.4981007934931,-19.8995365214999,1.23823012373446e-17,2.23066445164255e-15,"MB (FC > 5)",446,"scaffold_7",NA,NA,NA,NA,NA,NA,NA,"N"
"88","g15777",-9.15400539815709,8.90073322873564,-19.8553943685472,1.28326919550523e-17,2.28553160240381e-15,"MB (FC > 5)",1117,"scaffold_59","TBB1_NOTNE","A0A212FFP1","PF00091;PF03953","Tubulin/FtsZ family, GTPase domain; Tubulin C-terminal domain","IPR003008;IPR018316","Tubulin/FtsZ, GTPase domain; Tubulin/FtsZ, 2-layer sandwich domain","GO:0003924","Y"
"89","g3476",-11.2981807734371,4.6532947981109,-19.8238380589302,1.34502343342862e-17,2.36860137889064e-15,"MB (FC > 5)",569,"scaffold_10",NA,NA,NA,NA,NA,NA,NA,"N"
"90","g22379",-13.3398421347653,1.80118170588778,-19.7137888809674,1.56077222730767e-17,2.71799812428813e-15,"MB (FC > 5)",623,"scaffold_30",NA,NA,NA,NA,NA,NA,NA,"N"
"91","g275",-13.2170528785034,1.17560382876441,-19.6005728163038,1.79700679708545e-17,3.06027039770116e-15,"MB (FC > 5)",443,"scaffold_137",NA,NA,NA,NA,NA,NA,NA,"N"
"92","g13000",-7.76794604524035,5.01679686097822,-19.5784074737183,1.80853050585428e-17,3.06027039770116e-15,"MB (FC > 5)",2294,"scaffold_579","PFKA_DROME","A0A026WQT5","PF00365","Phosphofructokinase","IPR000023","Phosphofructokinase domain","GO:0003872;GO:0006096","Y"
"93","g9097",-14.5230741231517,2.33639165322684,-19.5995898052358,1.8158945127685e-17,3.06027039770116e-15,"MB (FC > 5)",1256,"scaffold_205",NA,NA,NA,NA,NA,NA,NA,"N"
"94","g19844",-14.3354175429828,2.62245665724603,-19.5611105528414,1.9031730059847e-17,3.17323728965938e-15,"MB (FC > 5)",1460,"scaffold_431",NA,NA,"PF02902","Ulp1 protease family, C-terminal catalytic domain","IPR003653","Ulp1 protease family, C-terminal catalytic domain","GO:0006508;GO:0008234","Y"
"95","g10894",-15.4876276179013,4.01741716352673,-19.44457719373,2.22431991156742e-17,3.66965957621012e-15,"MB (FC > 5)",1894,"scaffold_1",NA,NA,NA,NA,NA,NA,NA,"N"
"96","g15779",-9.58004822692783,7.00273066419463,-19.3782301497875,2.33722443460205e-17,3.81576235036646e-15,"MB (FC > 5)",695,"scaffold_59","TBB1_NOTNE","A0A1D1VIZ5","PF00091","Tubulin/FtsZ family, GTPase domain","IPR003008","Tubulin/FtsZ, GTPase domain","GO:0003924","Y"
"97","g3146",-6.42246638877022,5.06034168895954,-19.3281374085062,2.47798683895895e-17,4.00386471412409e-15,"MB (FC > 5)",944,"scaffold_338","PP1A_RAT,PP1B_DROME","A0A0R3TXS7","PF00149","Calcineurin-like phosphoesterase","IPR004843","Calcineurin-like phosphoesterase domain, ApaH type","GO:0016787","Y"
"98","g997",-13.5367987965146,3.48415798187029,-19.2762231996702,2.71387660326944e-17,4.34026408194306e-15,"MB (FC > 5)",1322,"scaffold_832",NA,NA,NA,NA,NA,NA,NA,"N"
"99","g4811",-12.0168762576485,0.39820471269289,-19.2580996558956,2.75126623526602e-17,4.35561572781054e-15,"MB (FC > 5)",322,"scaffold_169",NA,NA,NA,NA,NA,NA,NA,"N"
"100","g11648",-13.8032548389016,1.94882296877865,-19.2278586765756,2.89186408410687e-17,4.5324185790207e-15,"MB (FC > 5)",557,"scaffold_152","PPIA1_RHIO9","P0C1H7","PF00160","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","IPR002130","Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain","GO:0000413;GO:0003755","Y"
"101","g22861",-5.10443454129478,6.0512069595138,-19.1902343369931,2.95297646796843e-17,4.56175952487502e-15,"MB (FC > 5)",2004,"scaffold_37","CENPJ_MOUSE",NA,"PF07202","T-complex protein 10 C-terminus","IPR009852","T-complex protein 10, C-terminal domain",NA,"Y"
"102","g22012",-12.7674326742292,3.42902757237545,-19.1907649944526,3.0114293086863e-17,4.56175952487502e-15,"MB (FC > 5)",959,"scaffold_124",NA,NA,NA,NA,NA,NA,NA,"N"
"103","g16507",-14.3992392158941,2.20221847300519,-19.1959512065487,3.02527836182345e-17,4.56175952487502e-15,"MB (FC > 5)",854,"scaffold_25",NA,NA,NA,NA,NA,NA,NA,"N"
"104","g13334",-13.7689338849685,1.89305718368922,-19.1919197895016,3.02700817065656e-17,4.56175952487502e-15,"MB (FC > 5)",778,"scaffold_15",NA,NA,NA,NA,NA,NA,NA,"N"
"105","g8567",-15.309582806285,3.51973878779658,-19.1830378156303,3.09757937831207e-17,4.62365348536049e-15,"MB (FC > 5)",2408,"scaffold_422",NA,NA,NA,NA,NA,NA,NA,"N"
"106","g7597",-7.6442818281018,-1.9530453988266,-19.0957634334557,3.33746616651516e-17,4.92234016745428e-15,"MB (FC > 5)",564,"scaffold_16",NA,NA,NA,NA,NA,NA,NA,"N"
"107","g22535",-14.4327713645446,2.66672351591541,-19.1141049700943,3.36049510570796e-17,4.92234016745428e-15,"MB (FC > 5)",653,"scaffold_551",NA,NA,NA,NA,NA,NA,NA,"N"
"108","g9760",-3.11586503312211,7.13216387293999,-19.0809081338389,3.39685946879851e-17,4.92953504208139e-15,"MB",2378,"scaffold_557","PDXD1_HUMAN","A0A482XU15","PF12937","F-box-like","IPR001810","F-box domain","GO:0005515","Y"
"109","g19785",-13.2208755042539,1.41159366579217,-19.0256748053076,3.73296757922059e-17,5.36759641001141e-15,"MB (FC > 5)",1031,"scaffold_60","KAPC1_DROME","A0A1S3DFC7","PF00069","Protein kinase domain","IPR000719","Protein kinase domain","GO:0004672;GO:0005524;GO:0006468","Y"
"110","g738",-15.2020943713705,3.46764756181169,-19.0140018285736,3.8452538301159e-17,5.47878757085514e-15,"MB (FC > 5)",1208,"scaffold_56",NA,NA,NA,NA,NA,NA,NA,"N"
"111","g9296",-12.2694888242716,1.05250938906881,-18.9537859773034,4.07174230320674e-17,5.68541440671097e-15,"MB (FC > 5)",428,"scaffold_58",NA,NA,"PF00505","HMG (high mobility group) box","IPR009071","High mobility group box domain",NA,"Y"
"112","g301",-13.03903268578,1.40528442138479,-18.9537010796141,4.09141891527204e-17,5.68541440671097e-15,"MB (FC > 5)",538,"scaffold_42",NA,NA,NA,NA,NA,NA,NA,"N"
