"","gene","logFC","AveExpr","t","P.Value","adj.P.Val","de","gene_len","seq","blast","diamond","interpro","anno"
"16","g13442",-9.88018333565778,-0.747883493934226,-26.2572854651728,1.19273602046473e-20,1.16835947804648e-17,"MB",316,"scaffold_40",NA,NA,NA,"N"
"17","g19229",-4.67880158401514,6.81360862870402,-26.1488101989735,1.31683826827509e-20,1.21404742227503e-17,"MB",3225,"scaffold_421","NRDC_MOUSE","A0A0M9A7S4","Peptidase M16 inactive domain,Insulinase (Peptidase family M16),Middle or third domain of peptidase_M16","Y"
"18","g10981",-11.8488996981252,4.92458394907234,-25.7444757572026,1.97864412249766e-20,1.7228494073281e-17,"MB",860,"scaffold_1",NA,NA,NA,"N"
"19","g14384",-3.48088889373168,7.9538350502446,-25.2254275190733,3.26316159383535e-20,2.69176482422008e-17,"MB",4282,"scaffold_24","RPC2_DROME","A0A482X4H9","Ulp1 protease family, C-terminal catalytic domain,RNA polymerase Rpb2, domain 6,RNA polymerase Rpb2, domain 2,RNA polymerase Rpb2, domain 5,RNA polymerase Rpb2, domain 3,RNA polymerase beta subunit,RNA polymerase Rpb2, domain 7,RNA polymerase Rpb2, domain 4","Y"
"20","g17480",-8.46838879491364,4.52613335723476,-25.0447090211122,3.92083358040082e-20,3.0725612352811e-17,"MB",1700,"scaffold_41",NA,NA,"Domain of unknown function (DUF4485)","Y"
"21","g15581",-10.089425567724,5.30727221265225,-24.8963825465964,4.57198234278636e-20,3.41222282183289e-17,"MB",1718,"scaffold_166",NA,NA,NA,"N"
"22","g9979",-13.8677493711542,2.423943528577,-24.823008722861,5.01951196706954e-20,3.57594595726732e-17,"MB",1316,"scaffold_53",NA,NA,NA,"N"
"23","g5591",-11.3241243804479,4.47193514601841,-24.6361220500378,5.98507363529827e-20,4.07843735156651e-17,"MB",1751,"scaffold_402",NA,NA,NA,"N"
"24","g5194",-7.58935188076785,7.02206533785804,-24.5706557377095,6.33558387249111e-20,4.13740025139805e-17,"MB",1535,"scaffold_504",NA,"A0A067R6B0",NA,"Y"
"25","g18206",-3.43553621384068,8.14880242128112,-24.4464068101224,7.18858567395237e-20,4.50666813071422e-17,"MB",4710,"scaffold_78",NA,"J9LFM3",NA,"Y"
"26","g23556",-14.6197816765569,1.93083465102987,-24.4033019124358,7.7503436947452e-20,4.67196679722083e-17,"MB",773,"scaffold_85","ASHH2_ARATH","A0A0L0BZU8","SET domain","Y"
"27","g15656",-14.4855143759621,2.38685724962581,-24.0571545590587,1.10878705373945e-19,6.43630351602162e-17,"MB",953,"scaffold_21",NA,NA,NA,"N"
"28","g6570",-4.30103356893242,9.03724644081831,-23.9221541419656,1.23930969735753e-19,6.93703603095877e-17,"MB",7712,"scaffold_52",NA,"A0A2J7PZL8",NA,"Y"
"29","g14187",-15.4172302113119,3.5821425709566,-23.3489758921289,2.36297318373355e-19,1.26962230755107e-16,"MB",893,"scaffold_3",NA,NA,NA,"N"
"30","g21514",-3.23972296795389,8.22342948281145,-23.2881680365245,2.43020922775041e-19,1.26962230755107e-16,"MB",3222,"scaffold_477","RYK2_DROME","E0W415","Protein tyrosine kinase,WIF domain","Y"
"31","g20359",-3.07921551469761,6.58112077637824,-23.1919851497723,2.69554988417096e-19,1.3628178495036e-16,"MB",1076,"scaffold_129","MAPK2_DROME","A0A182G249","Protein kinase domain","Y"
"32","g11913",-14.5376783951718,2.72530523856524,-22.8793275637571,3.90384047679244e-19,1.88910231759521e-16,"MB",785,"scaffold_513",NA,NA,NA,"N"
"33","g15778",-9.16901262062824,6.14534335196012,-22.8377168431228,3.97756501503489e-19,1.88910231759521e-16,"MB",355,"scaffold_59",NA,NA,NA,"N"
"34","g14186",-15.1789272857035,3.08400557729879,-22.8391422048902,4.09897575570663e-19,1.88950726527029e-16,"MB",896,"scaffold_3",NA,NA,NA,"N"
"35","g15701",-9.7710815884366,4.62442529760293,-22.7480214305901,4.39591303690028e-19,1.96848985792395e-16,"MB",1196,"scaffold_493",NA,NA,NA,"N"
"36","g12147",-14.8613707850789,2.78273929524079,-22.7049845150052,4.73797844769604e-19,2.02111640851119e-16,"MB",872,"scaffold_563",NA,NA,NA,"N"
"37","g10895",-15.3036106451782,2.53303812728573,-22.7016851977,4.77134608019613e-19,2.02111640851119e-16,"MB",947,"scaffold_1",NA,NA,NA,"N"
"38","g2171",-14.9519689902461,2.91408964486041,-22.462912413733,6.19704023626117e-19,2.5559529374453e-16,"MB",908,"scaffold_14",NA,NA,NA,"N"
"39","g15336",-14.8319483611015,2.69942743898803,-22.4326644492669,6.40327018859844e-19,2.57329368374111e-16,"MB",1151,"scaffold_100",NA,NA,NA,"N"
"40","g19335",-14.1604775647368,2.00906861328893,-22.2916370530485,7.4581809342496e-19,2.92230174456235e-16,"MB",632,"scaffold_292",NA,NA,NA,"N"
"41","g9583",-7.29539831371792,4.74501128890148,-22.0659497240622,9.35251369942914e-19,3.57516944417446e-16,"MB",1166,"scaffold_343",NA,"A0A2P8YCN5",NA,"Y"
"42","g1319",-14.3012183821543,2.52731284111672,-22.0660102669497,9.62159993446129e-19,3.59046037554314e-16,"MB",1658,"scaffold_274",NA,NA,NA,"N"
"43","g10587",-14.9594349211937,2.6661833466132,-22.0216818866669,1.01655515938469e-18,3.70522535186891e-16,"MB",1226,"scaffold_32",NA,NA,NA,"N"
"44","g294",-14.4839623293415,2.18330197856994,-21.9721949094074,1.07135847651912e-18,3.81622759147366e-16,"MB",707,"scaffold_137",NA,NA,NA,"N"
"45","g17515",-3.63374593825901,6.94432326928356,-21.754433549641,1.33126182492045e-18,4.63663701821738e-16,"MB",3225,"scaffold_41","NRDC_MOUSE","A0A087ZSL6","Middle or third domain of peptidase_M16,Insulinase (Peptidase family M16),Peptidase M16 inactive domain","Y"
"46","g882",-5.24813091124548,5.37622744192105,-21.6748178961417,1.45848107524774e-18,4.88088736151464e-16,"MB",3005,"scaffold_158",NA,"A0A482XF45","F-box-like","Y"
"47","g18285",-5.22014153422104,4.96038938595195,-21.6717178460527,1.46367451024812e-18,4.88088736151464e-16,"MB",858,"scaffold_250","TBA1_PNECA","M7AS14","Tubulin/FtsZ family, GTPase domain","Y"
"48","g10811",-13.5541501083765,1.45892125855594,-21.5359153637744,1.75350149486151e-18,5.72554769353424e-16,"MB",1187,"scaffold_464",NA,NA,NA,"N"
"49","g9600",-15.1559454742072,2.77900011482858,-21.5088575156423,1.83029309773258e-18,5.85432320831892e-16,"MB",920,"scaffold_287",NA,NA,NA,"N"
"50","g11140",-14.0038606224471,1.98617735273906,-21.426009121732,1.9974497811493e-18,6.26120608399058e-16,"MB",677,"scaffold_165",NA,NA,NA,"N"
"51","g3058",-11.8916700362808,4.25003445399674,-21.3808280319941,2.07788763171848e-18,6.30740757645422e-16,"MB",932,"scaffold_36",NA,NA,NA,"N"
"52","g14697",-14.0429013898705,1.75229308303561,-21.3861260883968,2.0926765391158e-18,6.30740757645422e-16,"MB",773,"scaffold_718",NA,NA,NA,"N"
"53","g19660",-14.0392104821766,1.7503198719678,-21.3278741743495,2.2393356746119e-18,6.51346625339719e-16,"MB",548,"scaffold_369",NA,NA,NA,"N"
"54","g3915",-6.58209766525245,-2.53513068926876,-21.3025237813012,2.24415987802876e-18,6.51346625339719e-16,"MB",203,"scaffold_104",NA,NA,NA,"N"
"55","g2721",-13.9735418783881,2.40654241497102,-21.2185168981112,2.5430808825808e-18,7.21797450641462e-16,"MB",761,"scaffold_644",NA,NA,NA,"N"
"56","g4016",-14.3506175171677,3.10228618141059,-21.2000621540316,2.60561961992725e-18,7.21797450641462e-16,"MB",1935,"scaffold_478",NA,NA,NA,"N"
"57","g15569",-12.9929771867243,3.55569044873277,-21.1858785107999,2.62505293731662e-18,7.21797450641462e-16,"MB",1592,"scaffold_166",NA,NA,NA,"N"
"58","g5398",-14.8394569141837,3.74067384078924,-21.0888169599913,2.97989334270987e-18,8.05239109660204e-16,"MB",2852,"scaffold_223",NA,NA,NA,"N"
"59","g20165",-13.7656747174387,1.79652069343095,-21.0300303857268,3.16879460824802e-18,8.41771489746969e-16,"MB",341,"scaffold_333",NA,NA,NA,"N"
"60","g4486",-7.55506535528696,-1.21001503574799,-20.9806383018817,3.27672577892071e-18,8.55935385550404e-16,"MB",290,"scaffold_94",NA,NA,NA,"N"
"61","g5624",-14.0285032357615,2.56111663728657,-20.9422447917962,3.52157777551917e-18,9.04814565175607e-16,"MB",704,"scaffold_356",NA,NA,NA,"N"
"62","g2756",-14.7499969173339,2.59753003398726,-20.9228831706272,3.62235617491828e-18,9.15696585959584e-16,"MB",1034,"scaffold_51",NA,NA,"Double-stranded RNA binding motif","Y"
"63","g19963",-14.7701071886877,2.98849507776872,-20.8268014188338,4.06069751550885e-18,1.01021130413603e-15,"MB",1274,"scaffold_236",NA,NA,NA,"N"
"64","g9601",-9.80845681740785,-0.601027771431841,-20.781734200647,4.1685139280684e-18,1.02082998116587e-15,"MB",305,"scaffold_287",NA,NA,NA,"N"
"65","g7859",-12.1885327339147,4.20578673140058,-20.7343674427634,4.4568324835856e-18,1.07390517108598e-15,"MB",962,"scaffold_46",NA,NA,NA,"N"
"66","g1775",-11.6583999124328,0.20522951657972,-20.7198210978363,4.52228298932396e-18,1.07390517108598e-15,"MB",388,"scaffold_199",NA,NA,"RING-type zinc-finger","Y"
"67","g6988",-8.13323091067591,8.04720341583969,-20.5363627512035,5.57087579105537e-18,1.29573264405253e-15,"MB",1301,"scaffold_26","TBA2_CAEEL","C3YW48","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y"
"68","g12672",-14.0935990089702,2.43382929368662,-20.5508291852712,5.62175842503488e-18,1.29573264405253e-15,"MB",947,"scaffold_272",NA,NA,NA,"N"
"69","g17144",-7.86496483185821,5.51920894400973,-20.5029787962044,5.79725206932587e-18,1.31317740721086e-15,"MB",1652,"scaffold_57","POLO_DROME","Q2M0V5","POLO box duplicated region,Protein kinase domain","Y"
"70","g15682",-13.7230143365013,1.64148346027573,-20.5135142209823,5.86501745069612e-18,1.31317740721086e-15,"MB",392,"scaffold_600",NA,NA,NA,"N"
"71","g15992",-11.7208848234798,3.97706535643676,-20.4509126330876,6.24970296695669e-18,1.37959992395933e-15,"MB",1106,"scaffold_75","KAPC1_DROME","N6UW64","Protein kinase domain","Y"
"72","g4672",-14.041727294275,1.94516353120303,-20.450558599737,6.3423592426746e-18,1.38060828347832e-15,"MB",497,"scaffold_181",NA,NA,NA,"N"
"73","g20216",-13.2728085895114,1.53115317397787,-20.4178891685597,6.56356171910663e-18,1.40918770991176e-15,"MB",875,"scaffold_71",NA,NA,"TraB family","Y"
"74","g12498",-14.2873522932217,2.14801492160976,-20.3230604052776,7.41579690815845e-18,1.57064574245361e-15,"MB",1604,"scaffold_283",NA,NA,NA,"N"
"75","g21447",-14.444442765167,2.79215807889821,-20.2942405009822,7.68932341971592e-18,1.6068635460961e-15,"MB",1633,"scaffold_348","TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y"
"76","g4123",-14.0484268847981,1.85712600345619,-20.2371889596091,8.21933343698949e-18,1.69502122313074e-15,"MB",911,"scaffold_70",NA,NA,NA,"N"
"77","g10300",-6.57104323001445,4.5877014197439,-20.1598108185404,8.78556846448705e-18,1.78826252654423e-15,"MB",702,"scaffold_652",NA,NA,"Hsp20/alpha crystallin family","Y"
"78","g9602",-13.8296165656141,1.79366650539887,-20.1516410319341,9.11154269199631e-18,1.82602889656691e-15,"MB",488,"scaffold_287",NA,NA,NA,"N"
"79","g13754",-13.0416316156064,1.41691385527824,-20.1390997528179,9.20412702282816e-18,1.82602889656691e-15,"MB",296,"scaffold_377",NA,NA,NA,"N"
"80","g8005",-6.91495620478202,5.68011996623649,-20.0938556244567,9.52749937417548e-18,1.86655622114315e-15,"MB",995,"scaffold_212",NA,"R7UQH7","Cyclin, N-terminal domain","Y"
"81","g15681",-12.9636824064727,0.907232235101971,-20.0971222865579,9.68572912256677e-18,1.8741287967653e-15,"MB",473,"scaffold_600",NA,NA,NA,"N"
"82","g8869",-14.8050002020704,2.81194012877654,-20.0524621564663,1.0365341063159e-17,1.98117061564502e-15,"MB",1637,"scaffold_2",NA,NA,NA,"N"
"83","g3189",-15.3344293028174,3.24207890414508,-20.0101271260545,1.09656411107776e-17,2.05959667270768e-15,"MB",2318,"scaffold_12",NA,NA,NA,"N"
"84","g13545",-12.2811611021147,0.539488554922214,-19.9875813963007,1.10384814973167e-17,2.05959667270768e-15,"MB",389,"scaffold_565",NA,NA,NA,"N"
"85","g3180",-14.909987430499,3.78359515774094,-19.9185201119042,1.22383226450389e-17,2.23066445164255e-15,"MB",2096,"scaffold_12",NA,NA,NA,"N"
"86","g17850",-13.5913415964555,1.61101803129018,-19.9087770596886,1.22679687774763e-17,2.23066445164255e-15,"MB",314,"scaffold_459",NA,NA,NA,"N"
"87","g19515",-13.2675087724078,1.4981007934931,-19.8995365214999,1.23823012373446e-17,2.23066445164255e-15,"MB",446,"scaffold_7",NA,NA,NA,"N"
"88","g15777",-9.15400539815709,8.90073322873564,-19.8553943685472,1.28326919550523e-17,2.28553160240381e-15,"MB",1117,"scaffold_59","TBB1_NOTNE","A0A212FFP1","Tubulin/FtsZ family, GTPase domain,Tubulin C-terminal domain","Y"
"89","g3476",-11.2981807734371,4.6532947981109,-19.8238380589302,1.34502343342862e-17,2.36860137889064e-15,"MB",569,"scaffold_10",NA,NA,NA,"N"
"90","g22379",-13.3398421347653,1.80118170588778,-19.7137888809674,1.56077222730767e-17,2.71799812428813e-15,"MB",623,"scaffold_30",NA,NA,NA,"N"
"91","g275",-13.2170528785034,1.17560382876441,-19.6005728163038,1.79700679708545e-17,3.06027039770116e-15,"MB",443,"scaffold_137",NA,NA,NA,"N"
"92","g13000",-7.76794604524035,5.01679686097822,-19.5784074737183,1.80853050585428e-17,3.06027039770116e-15,"MB",2294,"scaffold_579","PFKA_DROME","A0A026WQT5","Phosphofructokinase","Y"
"93","g9097",-14.5230741231517,2.33639165322684,-19.5995898052358,1.8158945127685e-17,3.06027039770116e-15,"MB",1256,"scaffold_205",NA,NA,NA,"N"
"94","g19844",-14.3354175429828,2.62245665724603,-19.5611105528414,1.9031730059847e-17,3.17323728965938e-15,"MB",1460,"scaffold_431",NA,NA,"Ulp1 protease family, C-terminal catalytic domain","Y"
"95","g10894",-15.4876276179013,4.01741716352673,-19.44457719373,2.22431991156742e-17,3.66965957621012e-15,"MB",1894,"scaffold_1",NA,NA,NA,"N"
"96","g15779",-9.58004822692783,7.00273066419463,-19.3782301497875,2.33722443460205e-17,3.81576235036646e-15,"MB",695,"scaffold_59","TBB1_NOTNE","A0A1D1VIZ5","Tubulin/FtsZ family, GTPase domain","Y"
"97","g3146",-6.42246638877022,5.06034168895954,-19.3281374085062,2.47798683895895e-17,4.00386471412409e-15,"MB",944,"scaffold_338","PP1A_RAT,PP1B_DROME","A0A0R3TXS7","Calcineurin-like phosphoesterase","Y"
"98","g997",-13.5367987965146,3.48415798187029,-19.2762231996702,2.71387660326944e-17,4.34026408194306e-15,"MB",1322,"scaffold_832",NA,NA,NA,"N"
"99","g4811",-12.0168762576485,0.39820471269289,-19.2580996558956,2.75126623526602e-17,4.35561572781054e-15,"MB",322,"scaffold_169",NA,NA,NA,"N"
"100","g11648",-13.8032548389016,1.94882296877865,-19.2278586765756,2.89186408410687e-17,4.5324185790207e-15,"MB",557,"scaffold_152","PPIA1_RHIO9","P0C1H7","Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD","Y"
"101","g22861",-5.10443454129478,6.0512069595138,-19.1902343369931,2.95297646796843e-17,4.56175952487502e-15,"MB",2004,"scaffold_37","CENPJ_MOUSE",NA,"T-complex protein 10 C-terminus","Y"
"102","g22012",-12.7674326742292,3.42902757237545,-19.1907649944526,3.0114293086863e-17,4.56175952487502e-15,"MB",959,"scaffold_124",NA,NA,NA,"N"
"103","g16507",-14.3992392158941,2.20221847300519,-19.1959512065487,3.02527836182345e-17,4.56175952487502e-15,"MB",854,"scaffold_25",NA,NA,NA,"N"
"104","g13334",-13.7689338849685,1.89305718368922,-19.1919197895016,3.02700817065656e-17,4.56175952487502e-15,"MB",778,"scaffold_15",NA,NA,NA,"N"
"105","g8567",-15.309582806285,3.51973878779658,-19.1830378156303,3.09757937831207e-17,4.62365348536049e-15,"MB",2408,"scaffold_422",NA,NA,NA,"N"
"106","g7597",-7.6442818281018,-1.9530453988266,-19.0957634334557,3.33746616651516e-17,4.92234016745428e-15,"MB",564,"scaffold_16",NA,NA,NA,"N"
"107","g22535",-14.4327713645446,2.66672351591541,-19.1141049700943,3.36049510570796e-17,4.92234016745428e-15,"MB",653,"scaffold_551",NA,NA,NA,"N"
"108","g9760",-3.11586503312211,7.13216387293999,-19.0809081338389,3.39685946879851e-17,4.92953504208139e-15,"MB",2378,"scaffold_557","PDXD1_HUMAN","A0A482XU15","F-box-like","Y"
"109","g19785",-13.2208755042539,1.41159366579217,-19.0256748053076,3.73296757922059e-17,5.36759641001141e-15,"MB",1031,"scaffold_60","KAPC1_DROME","A0A1S3DFC7","Protein kinase domain","Y"
"110","g738",-15.2020943713705,3.46764756181169,-19.0140018285736,3.8452538301159e-17,5.47878757085514e-15,"MB",1208,"scaffold_56",NA,NA,NA,"N"
"111","g9296",-12.2694888242716,1.05250938906881,-18.9537859773034,4.07174230320674e-17,5.68541440671097e-15,"MB",428,"scaffold_58",NA,NA,"HMG (high mobility group) box","Y"
"112","g301",-13.03903268578,1.40528442138479,-18.9537010796141,4.09141891527204e-17,5.68541440671097e-15,"MB",538,"scaffold_42",NA,NA,NA,"N"
"113","g17562",-14.3303058327999,2.81324676310837,-18.9592297567465,4.09909926598826e-17,5.68541440671097e-15,"MB",1205,"scaffold_247",NA,NA,NA,"N"
"114","g18825",-13.2674334647337,2.2602619523299,-18.9059335133271,4.35881895728952e-17,5.97973104481203e-15,"MB",1451,"scaffold_487",NA,NA,NA,"N"
"115","g16506",-14.0263788539419,1.71318894957763,-18.9049345741724,4.38760333154714e-17,5.97973104481203e-15,"MB",998,"scaffold_25",NA,NA,NA,"N"
"116","g9022",-13.1194693530427,1.4890675466224,-18.8890264799386,4.45102533079899e-17,6.01387241462177e-15,"MB",1382,"scaffold_175",NA,NA,NA,"N"
"117","g10325",-4.07386728208417,5.24494759635117,-18.8422797579467,4.62310161386112e-17,6.19298047812353e-15,"MB",996,"scaffold_259",NA,NA,"Domain of unknown function (DUF4477)","Y"
"118","g22699",-6.57492400088747,4.29480511534261,-18.723800829231,5.39697179811165e-17,7.16836771116982e-15,"MB",559,"scaffold_6",NA,NA,"Endoribonuclease L-PSP","Y"
"119","g10223",-12.5309124229544,1.06119950897914,-18.6261558185917,6.24813485170457e-17,8.20008061825842e-15,"MB",611,"scaffold_72",NA,NA,NA,"N"
"120","g7186",-12.2145874078182,3.84444934877894,-18.621053850743,6.27837474759784e-17,8.20008061825842e-15,"MB",1588,"scaffold_17","TTLL4_MOUSE","J9K688","Tubulin-tyrosine ligase family","Y"
"121","g2235",-13.752033372062,2.48076077968154,-18.595273756075,6.55924742972346e-17,8.49612272446742e-15,"MB",1127,"scaffold_14",NA,NA,NA,"N"
"122","g4966",-13.2037732656419,1.40233293755035,-18.518171516914,7.23272970885237e-17,9.2916862890855e-15,"MB",692,"scaffold_176",NA,NA,NA,"N"
"123","g17162",-13.6931290586141,3.91317528760913,-18.4291112860397,8.16357053647837e-17,1.04022472372541e-14,"MB",1517,"scaffold_57",NA,NA,NA,"N"
"124","g19964",-14.8007468065543,3.24688371432111,-18.393361914481,8.63092631816367e-17,1.08793828382879e-14,"MB",1142,"scaffold_236",NA,NA,NA,"N"
"125","g9714",-14.3195635063511,3.04157212588715,-18.3865698827418,8.67685098440626e-17,1.08793828382879e-14,"MB",1256,"scaffold_192",NA,NA,NA,"N"
"126","g13592",-13.8614443253033,2.23502342388304,-18.3411300644021,9.1857274469278e-17,1.14260243075952e-14,"MB",1142,"scaffold_391",NA,NA,NA,"N"
"127","g7122",-3.92096829659464,7.05573426029809,-18.3108363553185,9.29813348684343e-17,1.14747752865588e-14,"MB",1740,"scaffold_79","ADAS_DROME","A0A2J7Q507","FAD linked oxidases, C-terminal domain,FAD binding domain","Y"
"128","g21307",-7.9572969739035,5.06444569735462,-18.2638957459734,9.91742226490793e-17,1.21434186842111e-14,"MB",2443,"scaffold_43",NA,NA,NA,"N"
"129","g12375",-15.3249712529183,3.10671337353055,-18.2788733420802,1.00933994297182e-16,1.22630890900754e-14,"MB",1504,"scaffold_231",NA,NA,NA,"N"
"130","g13511",-2.74673777832112,6.23277060922252,-18.1036567744886,1.22675463372626e-16,1.47899425956859e-14,"MB",878,"scaffold_266","TM189_HUMAN","A0A2J7Q1N1","B domain of TMEM189, localisation domain","Y"
"131","g3721",-3.07929526420676,6.93177550953986,-18.0804824359437,1.26559424082847e-16,1.51417240736677e-14,"MB",6212,"scaffold_190","PP6R3_MOUSE","A0A2J7QTY3","SIT4 phosphatase-associated protein,Zinc finger, C2H2 type","Y"
"132","g20043",-8.43486208161551,5.09732391843505,-18.0760691294648,1.27668230769089e-16,1.51586680366964e-14,"MB",1338,"scaffold_701","HXK2_DROME","Q9W330","Hexokinase","Y"
"133","g22847",-12.5057904631312,0.792555035827822,-18.059269062312,1.32759493755702e-16,1.56446582378429e-14,"MB",338,"scaffold_318",NA,NA,NA,"N"
"134","g3873",-13.6225804098219,1.39396351450704,-18.0445518493966,1.36419641831578e-16,1.59560078091516e-14,"MB",659,"scaffold_31",NA,NA,NA,"N"
"135","g12215",-13.1365205929914,1.4578336554545,-18.0246399113149,1.39668153379952e-16,1.62149553179554e-14,"MB",929,"scaffold_167",NA,NA,NA,"N"
"136","g1373",-7.79009572837425,4.15814589803022,-17.9917864391931,1.42882433061319e-16,1.64661498041916e-14,"MB",2497,"scaffold_69","BBS4_HUMAN","J9K409","Tetratricopeptide repeat","Y"
"137","g12499",-13.094206397295,3.0809996277638,-17.9929026460047,1.45745658315924e-16,1.6633793600876e-14,"MB",1377,"scaffold_283",NA,NA,"Serpin (serine protease inhibitor)","Y"
"138","g3620",-13.9623502400431,2.35077006727804,-17.9937712968561,1.46459740759324e-16,1.6633793600876e-14,"MB",1242,"scaffold_200",NA,NA,NA,"N"
"139","g17473",-3.66497767702451,5.38627765054538,-17.9004409705507,1.61425127336701e-16,1.82015541061015e-14,"MB",1790,"scaffold_41",NA,NA,"Zinc finger, C2H2 type","Y"
"140","g18330",-13.7140108493869,1.57523566015916,-17.871489570946,1.72562535482782e-16,1.92240091495941e-14,"MB",935,"scaffold_121",NA,NA,NA,"N"
"141","g417",-13.1247401417107,1.51288598574931,-17.8668615844471,1.72946167938032e-16,1.92240091495941e-14,"MB",782,"scaffold_548",NA,NA,NA,"N"
"142","g15417",-13.8169918812003,2.52495185363765,-17.817030786963,1.85983027690175e-16,2.03937292797019e-14,"MB",481,"scaffold_133",NA,NA,NA,"N"
"143","g11539",-6.97560859232897,-2.31455627085497,-17.7965997817034,1.86071797804975e-16,2.03937292797019e-14,"MB",305,"scaffold_65",NA,NA,NA,"N"
"144","g23187",-12.9093366259076,2.15909932986686,-17.7392741743488,2.05536804000635e-16,2.23706828409857e-14,"MB",1561,"scaffold_508",NA,"J9LF51","Major royal jelly protein","Y"
"145","g15178",-3.01859425732641,5.58403715667433,-17.665379896128,2.22492937671888e-16,2.40491849112517e-14,"MB",554,"scaffold_76",NA,NA,NA,"N"
"146","g3852",-13.4375376688974,1.29432507658661,-17.6637533174952,2.28769779139564e-16,2.45582790990027e-14,"MB",764,"scaffold_31",NA,NA,NA,"N"
"147","g13500",-3.19898778068031,7.92587362569375,-17.614548731611,2.38592501746053e-16,2.53829984345213e-14,"MB",3900,"scaffold_266","HASP_DROME","K7J6A2","Haspin like kinase domain","Y"
"148","g16229",-9.28985762100729,3.47841703570079,-17.6147777605559,2.39691429101586e-16,2.53829984345213e-14,"MB",1079,"scaffold_54","KAPC1_DROME","K1PS11","Protein kinase domain","Y"
"149","g20437",-13.6665661301598,1.54970922742903,-17.6147989044686,2.45096066528787e-16,2.57811453067496e-14,"MB",1811,"scaffold_585",NA,NA,NA,"N"
"150","g7810",-14.0916426193157,2.39943679687389,-17.603429434244,2.49739059542517e-16,2.60944018680658e-14,"MB",794,"scaffold_503",NA,NA,NA,"N"
"151","g3567",-7.67776703475162,3.00959683284381,-17.5704629975653,2.5392946011299e-16,2.63565326380854e-14,"MB",309,"scaffold_10","GLRX2_MOUSE",NA,"Glutaredoxin","Y"
