gene	logFC	AveExpr	t	P.Value	adj.P.Val	de	seq.x	b.status.final	gene_len	seq.y	blast	diamond	pfam_acc	pfam_descr	ipr_acc	ipr_descr	GO	anno
g5232	8.37384303872557	0.390273114386357	6.88193757557032	1.49526241834629e-07	5.87248061953131e-05	BM up	scaffold_2160	A	2567	scaffold_2160	NA	NA	PF18694	Transactive response DNA-binding protein N-terminal domain	IPR041105	TAR DNA-binding protein 43, N-terminal	NA	Y
g7756	8.23375424585847	2.67945898569794	5.34770743233254	7.75308688478842e-06	0.000583613615252448	BM up	scaffold_276	A	1061	scaffold_276	KAPCA_HUMAN	A0A482XCX2	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g8540	8.23025556941496	1.96074131558117	5.51551789583258	4.97543663152149e-06	0.000463331124665295	BM up	scaffold_112	A	704	scaffold_112	NA	NA	PF00011	Hsp20/alpha crystallin family	IPR002068	Alpha crystallin/Hsp20 domain	NA	Y
g23187	8.22536893378785	2.15778666392131	5.55972405398459	4.42786912728144e-06	0.000450059540879498	BM up	scaffold_508	A	1561	scaffold_508	NA	J9LF51	PF03022	Major royal jelly protein	IPR017996	Major royal jelly protein/protein yellow	NA	Y
g11994	8.12917087661294	-0.0175483020009018	6.90650834095763	1.39841065140956e-07	5.68398692364475e-05	BM up	scaffold_156	A	2917	scaffold_156	COPIA_DROME	A0A182GA29	PF14223;PF00665;PF13976	gag-polypeptide of LTR copia-type; Integrase core domain; GAG-pre-integrase domain	IPR001584;IPR025724	Integrase, catalytic core; GAG-pre-integrase domain	GO:0015074	Y
g20623	8.11856669001709	0.0110280502005802	7.13167689736257	8.01519795929077e-08	3.53176991054993e-05	BM up	scaffold_215	A	1143	scaffold_215	PPIA_RABIT	A0A482XF32	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	GO:0000413;GO:0003755	Y
g19786	8.08887361412643	1.73806353560647	5.52959475338177	4.77471997364829e-06	0.000456538214842922	BM up	scaffold_60	A	1130	scaffold_60	KAPC1_DROME	N6UW64	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g22863	7.98563646145134	-2.38991180182545	11.2440095759195	1.0103700470762e-11	1.30381037646276e-08	BM up	scaffold_37	A	1097	scaffold_37	SPOPB_XENLA	A0A1I8Q4G3	PF00651	BTB/POZ domain	IPR000210	BTB/POZ domain	GO:0005515	Y
g7186	7.8548619127388	3.84313668283339	5.08607652283774	1.53592211146841e-05	0.000980493599497817	BM up	scaffold_17	A	1588	scaffold_17	TTLL4_MOUSE	J9K688	PF03133	Tubulin-tyrosine ligase family	IPR004344	Tubulin-tyrosine ligase/Tubulin polyglutamylase	GO:0006464	Y
g10009	7.80135675463731	0.702722589417612	5.50281826918556	5.08135025693035e-06	0.000468365682355631	BM up	scaffold_53	A	791	scaffold_53	NA	A8AH86	NA	NA	NA	NA	NA	Y
g9296	7.75319743974303	1.05119672312326	5.598723756542	3.94262030821649e-06	0.000433841746611974	BM up	scaffold_58	A	428	scaffold_58	NA	NA	PF00505	HMG (high mobility group) box	IPR009071	High mobility group box domain	NA	Y
g8380	7.67850289808397	2.53376435349887	5.38525167385482	6.90543719368949e-06	0.000549995596137922	BM up	scaffold_275	A	1112	scaffold_275	NA	NA	PF02902	Ulp1 protease family, C-terminal catalytic domain	IPR003653	Ulp1 protease family, C-terminal catalytic domain	GO:0006508;GO:0008234	Y
g15992	7.57325889477156	3.97575269049121	5.13518077873461	1.33606021918068e-05	0.000880922040865626	BM up	scaffold_75	A	1106	scaffold_75	KAPC1_DROME	N6UW64	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g1775	7.56046165280303	0.203916850634173	5.86605431525193	1.94935031762265e-06	0.000391299587090786	BM up	scaffold_199	A	388	scaffold_199	NA	NA	PF13445	RING-type zinc-finger	IPR027370	RING-type zinc-finger, LisH dimerisation motif	NA	Y
g8319	7.53035364744345	-1.91374357137683	7.83674828207216	1.44812193800498e-08	9.6895447896289e-06	BM up	scaffold_120	A	1476	scaffold_120	NA	NA	PF13873	Myb/SANT-like DNA-binding domain	IPR028002	Myb/SANT-like DNA-binding domain	NA	Y
g14354	7.47792759199079	5.85580312129539	3.75309907300556	0.000534841566391772	0.0149805391293547	BM up	scaffold_24	A	684	scaffold_24	TBA3_CAEEL	A0A2Y9G3B5	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g5671	7.41829606582099	-3.19544957301426	9.47491642662781	3.62429390392943e-10	3.63758298157717e-07	BM up	scaffold_555	A	2120	scaffold_555	NA	A0A2P8ZLW3	PF13843	Transposase IS4	IPR029526	PiggyBac transposable element-derived protein	NA	Y
g17352	7.20374396421124	1.49773348363509	5.2770526962376	9.06607400957958e-06	0.000652540609789103	BM up	scaffold_296	A	413	scaffold_296	NA	NA	PF06382	Protamine and protamine like	IPR024460	Protamine-like	GO:0007283;GO:0035092	Y
g4717	6.98934764069945	2.31551503248094	5.28602881086086	8.79696040127929e-06	0.000638256572728962	BM up	scaffold_181	A	1248	scaffold_181	NA	NA	PF12937	F-box-like	IPR001810	F-box domain	GO:0005515	Y
g12547	6.88376563308862	-0.684023177484208	6.39422390345684	4.92347530016721e-07	0.000153357766849691	BM up	scaffold_246	A	2243	scaffold_246	NRF6_CAEEL	A0A482X7N3	PF01757	Acyltransferase family	IPR002656	Acyltransferase 3	GO:0016747	Y
g14358	6.87721834510807	6.13088165836465	3.48618658726043	0.00105513643158582	0.0254840839211624	BM up	scaffold_24	A	720	scaffold_24	TBA_XENLA	A0A3B4WHU7	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g239	6.83251611563055	0.442514655719956	4.94607489493282	2.15979631649039e-05	0.00125462637471754	BM up	scaffold_137	A	610	scaffold_137	MLR_BOMMO	T1HIT1	PF13202;PF13833	EF hand; EF-hand domain pair	IPR002048	EF-hand domain	GO:0005509	Y
g14433	6.81633026392235	-1.87412322281717	8.47792658217946	3.23619791549826e-09	2.78405483530436e-06	BM up	scaffold_344	A	1424	scaffold_344	NA	A0A2P8XL08	PF04500;PF10551	FLYWCH zinc finger domain; MULE transposase domain	IPR007588;IPR018289	Zinc finger, FLYWCH-type; MULE transposase domain	NA	Y
g14119	6.7235637891303	3.30873893027803	5.1057099745142	1.40771477955477e-05	0.000918114628427311	BM up	scaffold_789	A	1112	scaffold_789	NA	NA	PF02902	Ulp1 protease family, C-terminal catalytic domain	IPR003653	Ulp1 protease family, C-terminal catalytic domain	GO:0006508;GO:0008234	Y
g14353	6.70819389453023	5.26108722118229	3.9107575396184	0.000341309085038774	0.0105497989388815	BM up	scaffold_24	A	802	scaffold_24	TBA3_BOVIN	A0A0N5DZZ1	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g21179	6.64443402948072	-1.29243887773886	6.36970224534659	5.21143624850686e-07	0.000156916345442541	BM up	scaffold_98	A	2174	scaffold_98	PGBD4_HUMAN	A0A087UIR8	PF13843;PF13842	Transposase IS4; DDE_Tnp_1-like zinc-ribbon	IPR029526;IPR032718	PiggyBac transposable element-derived protein; PiggyBac transposable element-derived protein 4, C-terminal zinc-ribbon	NA	Y
g21442	6.50494092354151	2.25217674649529	5.09194681487334	1.45049260028742e-05	0.000942611486215561	BM up	scaffold_348	A	499	scaffold_348	NA	NA	PF12906	RING-variant domain	IPR011016	Zinc finger, RING-CH-type	GO:0008270	Y
g20048	6.48350287876636	-0.808860439618259	5.82939336299153	2.08455887957119e-06	0.000401285624766083	BM up	scaffold_850	A	2636	scaffold_850	NRDC_MOUSE	A0A087ZSL6	PF00675;PF16187;PF05193	Insulinase (Peptidase family M16); Middle or third domain of peptidase_M16; Peptidase M16 inactive domain	IPR011765;IPR032632;IPR007863	Peptidase M16, N-terminal; Peptidase M16, middle/third domain; Peptidase M16, C-terminal	NA	Y
g2645	6.45053799637873	-1.05722486430816	6.08438935098593	1.0768461380136e-06	0.000259390697724716	BM up	scaffold_1454	A	894	scaffold_1454	NA	J9K3D3	PF00975	Thioesterase domain	IPR001031	Thioesterase	GO:0009058;GO:0016788	Y
g22831	6.44943217562672	6.40255955317447	3.28407090328665	0.00175317187912129	0.0378258954318227	BM up	scaffold_318	A	5102	scaffold_318	UPP2_MOUSE	A0A2J7QZT7	PF01048	Phosphorylase superfamily	IPR000845	Nucleoside phosphorylase domain	GO:0003824;GO:0009116	Y
g14355	6.42254209490201	4.62186535033201	4.0955295523654	0.000206368464170712	0.0071422465013565	BM up	scaffold_24	A	805	scaffold_24	TBA3_CAEEL	V4B6P5	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g19545	6.39819766512193	3.78284816416621	4.47737447360495	7.43964079385618e-05	0.0032622463733448	BM up	scaffold_7	A	971	scaffold_7	CDC37_DROVI	B4IZW8	PF08565;PF03234;PF08564	Cdc37 Hsp90 binding domain; Cdc37 N terminal kinase binding; Cdc37 C terminal domain	IPR013874;IPR013855;IPR013873	Cdc37, Hsp90 binding; Cdc37, N-terminal domain; Cdc37, C-terminal	GO:0019901	Y
g2790	6.34305019894724	1.02608082214348	5.34317145397538	7.4246017501327e-06	0.000570778107310201	BM up	scaffold_51	A	467	scaffold_51	NA	NA	PF13202	EF hand	IPR002048	EF-hand domain	GO:0005509	Y
g22242	6.31937435087104	-2.29508356935622	6.25926925241335	6.8558538792793e-07	0.000184862471915015	BM up	scaffold_956	A	1464	scaffold_956	NA	E2B455	PF03184	DDE superfamily endonuclease	IPR004875	DDE superfamily endonuclease domain	GO:0003676	Y
g21893	6.30811310030919	3.75703531772378	4.7667933857875	3.42511991114536e-05	0.00175292397492216	BM up	scaffold_1136	A	874	scaffold_1136	NA	NA	PF06585	Haemolymph juvenile hormone binding protein (JHBP)	IPR010562	Haemolymph juvenile hormone binding	NA	Y
g15546	6.23459956377822	4.05199890658973	4.46999734859003	7.54431357847395e-05	0.00329216350504131	BM up	scaffold_166	A	1037	scaffold_166	PP1_DICDI	A0A2G4T415	PF00149	Calcineurin-like phosphoesterase	IPR004843	Calcineurin-like phosphoesterase domain, ApaH type	GO:0016787	Y
g2571	6.23103811979223	-4.00327233823477	8.06471559251356	8.29114594891564e-09	6.24116011304625e-06	BM up	scaffold_90	A	1849	scaffold_90	NA	E2A388	PF03184	DDE superfamily endonuclease	IPR004875	DDE superfamily endonuclease domain	GO:0003676	Y
g6525	6.23093452609407	0.473490876252793	5.43239335221207	5.85115019219778e-06	0.000496276428977676	BM up	scaffold_52	A	2295	scaffold_52	NA	A0A1X7TGY6	PF05699;PF02892	hAT family C-terminal dimerisation region; BED zinc finger	IPR008906;IPR003656	HAT, C-terminal dimerisation domain; Zinc finger, BED-type	GO:0046983;GO:0003677	Y
g11635	6.16440909846537	4.74302850064006	4.29780976275432	0.000119161514448979	0.00474178837012169	BM up	scaffold_486	A	1429	scaffold_486	NA	D7ELR4	PF03999	Microtubule associated protein (MAP65/ASE1 family)	NA	NA	NA	Y
g6828	6.14032699090107	-1.7137405572687	7.48258064871798	3.28130148483797e-08	1.74352919485538e-05	BM up	scaffold_81	A	1985	scaffold_81	NA	A0A1U8N8I4	PF14291;PF05699	Domain of unknown function (DUF4371); hAT family C-terminal dimerisation region	IPR025398;IPR008906	Domain of unknown function DUF4371; HAT, C-terminal dimerisation domain	GO:0046983	Y
g14574	6.10927809762079	-1.64427049525824	5.69578684479389	2.92484434170479e-06	0.000407934204344533	BM up	scaffold_665	A	1318	scaffold_665	NA	NA	PF14223	gag-polypeptide of LTR copia-type	NA	NA	NA	Y
g11467	6.04835913694716	0.347510237475099	4.79755895411493	3.12945820927943e-05	0.00165088703384267	BM up	scaffold_355	A	1394	scaffold_355	WAT_DROME	J9K312	PF03015;PF07993	Male sterility protein; Male sterility protein	IPR033640;IPR013120	Fatty acyl-CoA reductase, C-terminal; Male sterility, NAD-binding	NA	Y
g16110	6.03153526127858	3.13449485480462	4.75702380816202	3.48442650628645e-05	0.00177823867973365	BM up	scaffold_439	A	1401	scaffold_439	HXK2_DROME	A0A2J7RH67	PF00349;PF03727	Hexokinase; Hexokinase	IPR022672;IPR022673	Hexokinase, N-terminal; Hexokinase, C-terminal	GO:0005524;GO:0005975;GO:0016773	Y
g21443	6.0014008826424	1.92325706627877	4.96561442393373	1.99842194983635e-05	0.00117219126447219	BM up	scaffold_348	A	513	scaffold_348	NA	NA	PF12906	RING-variant domain	IPR011016	Zinc finger, RING-CH-type	GO:0008270	Y
g22994	5.99486416506216	0.636418316570313	5.22468543614092	1.00550937628192e-05	0.000712298247947978	BM up	scaffold_148	A	587	scaffold_148	GS1_DROME	A0A139WHD2	PF13419	Haloacid dehalogenase-like hydrolase	IPR041492	Haloacid dehalogenase-like hydrolase	NA	Y
g4590	5.98595407329618	-0.634112260046297	5.12884583926292	1.29544865406142e-05	0.000860425565598292	BM up	scaffold_793	A	853	scaffold_793	ELOV6_CHICK	Q29D49	PF01151	GNS1/SUR4 family	IPR002076	ELO family	GO:0016021	Y
g16229	5.94256303785105	3.47710436975524	5.02842305212935	1.68853067060471e-05	0.00104828161838985	BM up	scaffold_54	A	1079	scaffold_54	KAPC1_DROME	K1PS11	PF00069	Protein kinase domain	IPR000719	Protein kinase domain	GO:0004672;GO:0005524;GO:0006468	Y
g1486	5.93797995882803	3.75605979080104	4.52216100690946	6.49721569512253e-05	0.00291986812806178	BM up	scaffold_20	A	379	scaffold_20	TBAA_SCHCO	A0A0N4ZTL2	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g13974	5.93180618669049	0.901078642418357	5.32372882005432	7.72826213387289e-06	0.000583613615252448	BM up	scaffold_39	A	696	scaffold_39	NA	NA	PF12937	F-box-like	IPR001810	F-box domain	GO:0005515	Y
g8041	5.93161898334376	0.582989788070587	5.35500338226539	7.11673740209779e-06	0.000556584319940687	BM up	scaffold_258	A	633	scaffold_258	TBA1_PNECA	A0A3P6SX82	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g6857	5.90103858385625	-4.11945727027215	6.18045977433124	8.31188159873203e-07	0.000217626743424192	BM up	scaffold_1082	A	954	scaffold_1082	NA	J9LMH3	PF13843	Transposase IS4	IPR029526	PiggyBac transposable element-derived protein	NA	Y
g22828	5.88717557090636	4.6560106635008	4.3609982526394	9.9678645381666e-05	0.00412081100106448	BM up	scaffold_318	A	1418	scaffold_318	UPP1_MOUSE	A0A2J7QZT7	PF01048	Phosphorylase superfamily	IPR000845	Nucleoside phosphorylase domain	GO:0003824;GO:0009116	Y
g4426	5.87989239799265	-2.67139435230892	8.093839553237	7.70868934462546e-09	6.05500790000015e-06	BM up	scaffold_94	A	1000	scaffold_94	NA	A0A2P8XIJ0	PF13843	Transposase IS4	IPR029526	PiggyBac transposable element-derived protein	NA	Y
g3239	5.86206818863198	0.379167798306568	4.18236544539365	0.000160282641025261	0.00587356225712449	BM up	scaffold_12	A	1489	scaffold_12	FACR1_DROME	J9K7D4	PF03015;PF07993	Male sterility protein; Male sterility protein	IPR033640;IPR013120	Fatty acyl-CoA reductase, C-terminal; Male sterility, NAD-binding	NA	Y
g4057	5.83865424575337	-0.89024394009844	5.28402089807586	8.56042301980086e-06	0.000626123895853127	BM up	scaffold_438	A	1747	scaffold_438	NA	NA	PF00651;PF07707	BTB/POZ domain; BTB And C-terminal Kelch	IPR000210;IPR011705	BTB/POZ domain; BTB/Kelch-associated	GO:0005515	Y
g6826	5.80503285441121	2.16939469727465	5.07742333875314	1.47697394679795e-05	0.000956380334152391	BM up	scaffold_81	A	863	scaffold_81	LFG1_HUMAN	A0A2A4JLM1	PF01027	Inhibitor of apoptosis-promoting Bax1	IPR006214	Bax inhibitor 1-related	NA	Y
g8577	5.8016552247894	2.15917700509432	4.88303110078025	2.47409432793222e-05	0.00140115950245842	BM up	scaffold_447	A	544	scaffold_447	NA	NA	PF12906	RING-variant domain	IPR011016	Zinc finger, RING-CH-type	GO:0008270	Y
g2603	5.73080489244701	3.86006507049129	4.37023311960535	9.6720441515405e-05	0.00401689999176392	BM up	scaffold_90	A	1800	scaffold_90	NA	NA	PF02257	RFX DNA-binding domain	IPR003150	DNA-binding RFX-type winged-helix domain	GO:0003677;GO:0006355	Y
g5449	5.71908076650121	-0.0740074791029926	5.00408681241179	1.78963159462276e-05	0.00108860216796144	BM up	scaffold_27	A	279	scaffold_27	NA	NA	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	IPR000504	RNA recognition motif domain	GO:0003676	Y
g17865	5.71726937673474	-0.751908687092887	4.26748341190193	0.000127103275702509	0.00490651234795198	BM up	scaffold_146	A	1270	scaffold_146	C4AE1_DROME	J9K6X1	PF00067	Cytochrome P450	IPR001128	Cytochrome P450	GO:0005506;GO:0016705;GO:0020037;GO:0055114	Y
g735	5.70220435018214	4.97056581214005	3.94526084092115	0.000299028540933068	0.0094444923435259	BM up	scaffold_56	A	703	scaffold_56	NA	NA	PF06585	Haemolymph juvenile hormone binding protein (JHBP)	IPR010562	Haemolymph juvenile hormone binding	NA	Y
g8524	5.70007092506532	1.24865763964273	5.16396007609469	1.17119609899869e-05	0.000795444688891364	BM up	scaffold_112	A	739	scaffold_112	TBA1_PNECA	F7EE60	PF00091	Tubulin/FtsZ family, GTPase domain	IPR003008	Tubulin/FtsZ, GTPase domain	GO:0003924	Y
g15123	5.68087366618675	4.41041979845096	4.33847419156081	0.000105074091337465	0.00428503055102177	BM up	scaffold_76	A	807	scaffold_76	NA	NA	PF06585	Haemolymph juvenile hormone binding protein (JHBP)	IPR010562	Haemolymph juvenile hormone binding	NA	Y
g6764	5.641989024522	4.96753509307678	4.21444749964637	0.000145969718310073	0.005453984213455	BM up	scaffold_179	A	955	scaffold_179	NA	A0A2J7PV36	PF08450	SMP-30/Gluconolactonase/LRE-like region	IPR013658	SMP-30/Gluconolactonase/LRE-like region	NA	Y
g6625	5.58042966069305	4.83299671393315	4.41451445542049	8.55148688681446e-05	0.00365227333563097	BM up	scaffold_1562	A	1750	scaffold_1562	NA	A0A2C9JL26	PF00651;PF07707	BTB/POZ domain; BTB And C-terminal Kelch	IPR000210;IPR011705	BTB/POZ domain; BTB/Kelch-associated	GO:0005515	Y
g15698	5.55791126422388	3.4016110544002	4.98149275076941	1.89157150766996e-05	0.00112782610090975	BM up	scaffold_493	A	1919	scaffold_493	NA	A0A2J7QJG0	PF02995	Protein of unknown function (DUF229)	IPR004245	Protein of unknown function DUF229	NA	Y
g10642	5.54944272120643	5.96707995571442	3.2169596960655	0.00199587725649297	0.0420741172879836	BM up	scaffold_32	A	1365	scaffold_32	HXK2_DROME	A0A2J7RH67	PF00349;PF03727	Hexokinase; Hexokinase	IPR022672;IPR022673	Hexokinase, N-terminal; Hexokinase, C-terminal	GO:0005524;GO:0005975;GO:0016773	Y
g11466	5.53910245071476	3.86829144226282	5.15324268806938	1.19972771872248e-05	0.000808741827105983	BM up	scaffold_355	A	4769	scaffold_355	FAS_CHICK	J9K3D3	PF00975;PF00109;PF08659;PF00550	Thioesterase domain; Beta-ketoacyl synthase, N-terminal domain; KR domain; Phosphopantetheine attachment site	IPR001031;IPR014030;IPR013968;IPR009081	Thioesterase; Beta-ketoacyl synthase, N-terminal; Polyketide synthase, ketoreductase domain; Phosphopantetheine binding ACP domain	GO:0009058;GO:0016788	Y
g15864	5.53232280557748	3.94847864608708	4.20851695596272	0.000147696817768375	0.00550163032949167	BM up	scaffold_598	A	1455	scaffold_598	FGT1_CAEEL	A0A482WK78	PF00083	Sugar (and other) transporter	IPR005828	Major facilitator,  sugar transporter-like	GO:0016021;GO:0022857;GO:0055085	Y
g13733	5.51592274640177	2.67853013764369	4.80946275371648	2.98309539241027e-05	0.00159918698395502	BM up	scaffold_35	A	919	scaffold_35	NA	NA	PF00076	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	IPR000504	RNA recognition motif domain	GO:0003676	Y
g15700	5.50454140873598	-0.0183541472556422	4.70528839672772	3.93383241897082e-05	0.00194708538304457	BM up	scaffold_493	A	1023	scaffold_493	B3GT1_PONPY	A0A482WKB4	PF01762	Galactosyltransferase	IPR002659	Glycosyl transferase, family 31	GO:0006486;GO:0008378;GO:0016020	Y
g20043	5.49383914632844	5.0960112524895	4.08506927862787	0.000204719052249636	0.00711241230373448	BM up	scaffold_701	A	1338	scaffold_701	HXK2_DROME	Q9W330	PF00349;PF03727	Hexokinase; Hexokinase	IPR022672;IPR022673	Hexokinase, N-terminal; Hexokinase, C-terminal	GO:0005524;GO:0005975;GO:0016773	Y
g2805	5.48854790816729	-1.6338614223513	5.4725521198459	5.16766850126102e-06	0.000473179940048903	BM up	scaffold_817	A	270	scaffold_817	NA	NA	PF01192	RNA polymerase Rpb6	IPR006110	RNA polymerase, subunit omega/K/RPB6	GO:0003677;GO:0003899;GO:0006351	Y
g9576	5.48199279897043	3.49192329168725	4.51219596508612	6.57166628031781e-05	0.0029459980898318	BM up	scaffold_343	A	535	scaffold_343	NA	NA	PF00836	Stathmin family	IPR000956	Stathmin family	GO:0031110	Y
g17480	5.47893120872698	4.52482069128921	4.57716547851893	5.52752262828158e-05	0.00256710086895977	BM up	scaffold_41	A	1700	scaffold_41	NA	NA	PF14846	Domain of unknown function (DUF4485)	IPR027831	Domain of unknown function DUF4485	NA	Y
g2069	5.39754856446984	4.05276347021251	4.66951301935119	4.31252529321368e-05	0.00211712179204343	BM up	scaffold_126	A	1538	scaffold_126	NA	NA	PF13855	Leucine rich repeat	IPR001611	Leucine-rich repeat	GO:0005515	Y
g4224	5.3835728486938	-1.05938047896454	4.19484138995199	0.000152338664462237	0.00563965227904668	BM up	scaffold_28	A	1133	scaffold_28	SPOP_XENTR	N6U5F7	PF00651	BTB/POZ domain	IPR000210	BTB/POZ domain	GO:0005515	Y
g11371	5.3580117277149	-1.94088933045218	5.65432757399876	3.20297057134917e-06	0.000407934204344533	BM up	scaffold_151	A	1302	scaffold_151	NA	X1WMA8	PF00589	Phage integrase family	IPR002104	Integrase, catalytic domain	GO:0003677;GO:0006310;GO:0015074	Y
g3503	5.33486400963069	-0.158570504967582	6.34022376670543	5.47021661969127e-07	0.000157479796506232	BM up	scaffold_10	A	5368	scaffold_10	NA	NA	PF00651;PF07707	BTB/POZ domain; BTB And C-terminal Kelch	IPR000210;IPR011705	BTB/POZ domain; BTB/Kelch-associated	GO:0005515	Y
g12944	5.32996130837922	0.97497776763201	4.61681851879252	4.95109427905721e-05	0.00234153060851957	BM up	scaffold_83	A	475	scaffold_83	NA	NA	PF05225	helix-turn-helix, Psq domain	IPR007889	DNA binding HTH domain, Psq-type	GO:0003677	Y
g5653	5.2615815762812	-2.08512573748227	7.68405901638991	2.00214567074725e-08	1.205692122924e-05	BM up	scaffold_1013	A	2682	scaffold_1013	POLX_TOBAC	A0A182GA29	PF07727;PF00665	Reverse transcriptase (RNA-dependent DNA polymerase); Integrase core domain	IPR013103;IPR001584	Reverse transcriptase, RNA-dependent DNA polymerase; Integrase, catalytic core	GO:0015074	Y
g7355	5.25577874800702	4.18658876710411	4.64334706110006	4.60358707255072e-05	0.00222971592634588	BM up	scaffold_149	A	1817	scaffold_149	KLH10_HUMAN	E0VNX1	PF07707;PF00651;PF01344	BTB And C-terminal Kelch; BTB/POZ domain; Kelch motif	IPR011705;IPR000210;IPR006652	BTB/Kelch-associated; BTB/POZ domain; Kelch repeat type 1	GO:0005515	Y
