"gene","gene_len","seq","blast","diamond","pfam_acc","pfam_descr","ipr_acc","ipr_descr","GO","anno"
"g10060",1392,"scaffold_130","MINP1_DROME","A0A067R6V0","PF00328","Histidine phosphatase superfamily (branch 2)","IPR000560","Histidine phosphatase superfamily, clade-2",NA,"Y"
"g10061",894,"scaffold_130","ADT1_ANOGA","A0A482XR76","PF00153","Mitochondrial carrier protein","IPR018108","Mitochondrial substrate/solute carrier",NA,"Y"
"g10062",1152,"scaffold_130","ECHA_MOUSE","A0A194PLY5",NA,NA,NA,NA,NA,"Y"
"g10063",1946,"scaffold_130","DDX24_HUMAN","A0A087ZNR1","PF00271;PF00270","Helicase conserved C-terminal domain; DEAD/DEAH box helicase","IPR001650;IPR011545","Helicase, C-terminal; DEAD/DEAH box helicase domain","GO:0003676;GO:0005524","Y"
"g10064",634,"scaffold_130","Y1161_DROME","A0A482XRG5","PF05434","TMEM9","IPR008853","TMEM9","GO:0016021","Y"
"g10065",891,"scaffold_130","ADT1_ANOGA","A0A482XR76","PF00153","Mitochondrial carrier protein","IPR018108","Mitochondrial substrate/solute carrier",NA,"Y"
"g10066",1037,"scaffold_130",NA,"A0A1S4E7W0","PF00400","WD domain, G-beta repeat","IPR001680","WD40 repeat","GO:0005515","Y"
"g10067",2640,"scaffold_130","SND1_PONAB","A0A2J7RK75","PF00567;PF00565","Tudor domain; Staphylococcal nuclease homologue","IPR002999;IPR016071","Tudor domain; Staphylococcal nuclease (SNase-like), OB-fold",NA,"Y"
"g10068",1479,"scaffold_130","RHG01_HUMAN","A0A067RCZ5","PF13716;PF00620","Divergent CRAL/TRIO domain; RhoGAP domain","IPR001251;IPR000198","CRAL-TRIO lipid binding domain; Rho GTPase-activating protein domain","GO:0007165","Y"
"g10069",2078,"scaffold_130","CDC45_HUMAN","A0A1B0G8P9","PF00778","DIX domain","IPR001158","DIX domain",NA,"Y"
"g1007",499,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10070",548,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10071",388,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10072",245,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10073",570,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10074",437,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10075",677,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10076",392,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10077",1493,"scaffold_130","PPK28_DROME","J9L6I4","PF00858","Amiloride-sensitive sodium channel","IPR001873","Epithelial sodium channel","GO:0005272;GO:0006814;GO:0016020","Y"
"g10078",1327,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10079",2151,"scaffold_130",NA,"A0A3M7R5S4","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g1008",584,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10080",2133,"scaffold_130",NA,NA,"PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g10081",226,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10082",1015,"scaffold_130",NA,"J9KYV3","PF15860","Domain of unknown function (DUF4728)","IPR031720","Protein of unknown function DUF4728",NA,"Y"
"g10083",1336,"scaffold_130","ILK_PONAB","A0A067QZH3","PF07714;PF13857;PF13637","Protein tyrosine kinase; Ankyrin repeats (many copies); Ankyrin repeats (many copies)","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain","GO:0004672;GO:0006468","Y"
"g10084",1896,"scaffold_130","NOG2_HUMAN","A0A482WH16","PF08153;PF01926","NGP1NT (NUC091) domain; 50S ribosome-binding GTPase","IPR012971;IPR006073","Nucleolar GTP-binding protein 2, N-terminal domain; GTP binding domain","GO:0005525","Y"
"g10085",1239,"scaffold_130","ARFG1_MOUSE","A0A2J7PN45","PF01412","Putative GTPase activating protein for Arf","IPR001164","Arf GTPase activating protein","GO:0005096","Y"
"g10086",324,"scaffold_130",NA,"J9KXG5","PF04923","Ninjurin","IPR007007","Ninjurin","GO:0007155;GO:0016021;GO:0042246","Y"
"g10087",971,"scaffold_130",NA,NA,"PF04923","Ninjurin","IPR007007","Ninjurin","GO:0007155;GO:0016021;GO:0042246","Y"
"g10088",684,"scaffold_130",NA,NA,"PF04923","Ninjurin","IPR007007","Ninjurin","GO:0007155;GO:0016021;GO:0042246","Y"
"g10089",1630,"scaffold_130",NA,NA,"PF04923;PF00445","Ninjurin; Ribonuclease T2 family","IPR007007;IPR001568","Ninjurin; Ribonuclease T2-like","GO:0007155;GO:0016021;GO:0042246;GO:0003723;GO:0033897","Y"
"g1009",435,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10090",927,"scaffold_130",NA,NA,"PF00445","Ribonuclease T2 family","IPR001568","Ribonuclease T2-like","GO:0003723;GO:0033897","Y"
"g10091",810,"scaffold_130",NA,NA,"PF00445","Ribonuclease T2 family","IPR001568","Ribonuclease T2-like","GO:0003723;GO:0033897","Y"
"g10092",2266,"scaffold_130","ABCD_DROME","A0A482XEY0","PF06472;PF00005","ABC transporter transmembrane region 2; ABC transporter","IPR011527;IPR003439","ABC transporter type 1, transmembrane domain; ABC transporter-like","GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887","Y"
"g10093",692,"scaffold_130","COA7_DROME","X1X9H8",NA,NA,NA,NA,NA,"Y"
"g10094",3685,"scaffold_130","TOB1A_XENLA","J9JMP4","PF16589;PF12738;PF00533","BRCT domain, a BRCA1 C-terminus domain; twin BRCT domain; BRCA1 C Terminus (BRCT) domain","IPR001357","BRCT domain",NA,"Y"
"g10095",2396,"scaffold_130","APC5_PONAB","A0A2P8XV40","PF12862","Anaphase-promoting complex subunit 5","IPR026000","Anaphase-promoting complex subunit 5 domain",NA,"Y"
"g10096",9188,"scaffold_130","RNO_DROME","J9K1K4","PF13832;PF13831;PF10513","PHD-zinc-finger like domain; PHD-finger; Enhancer of polycomb-like","IPR019542","Enhancer of polycomb-like, N-terminal",NA,"Y"
"g10097",361,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10098",1735,"scaffold_130","NELFB_DROME","A0A482WMF4","PF06209","Cofactor of BRCA1 (COBRA1)","IPR010405","Cofactor of BRCA1","GO:0005634;GO:0045892","Y"
"g10099",1721,"scaffold_130","SYSC_MOUSE","A0A482WYG0","PF02403;PF00587","Seryl-tRNA synthetase N-terminal domain; tRNA synthetase class II core domain (G, H, P, S and T)","IPR015866;IPR002314","Serine-tRNA synthetase, type1, N-terminal; Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)","GO:0000166;GO:0004812;GO:0005524;GO:0006418","Y"
"g101",669,"scaffold_360","LST4_CAEEL","A0A067R133","PF10456;PF00787","WASP-binding domain of Sorting nexin protein; PX domain","IPR019497;IPR001683","Sorting nexin protein, WASP-binding domain; Phox homologous domain","GO:0035091","Y"
"g1010",401,"scaffold_197",NA,NA,"PF13843","Transposase IS4","IPR029526","PiggyBac transposable element-derived protein",NA,"Y"
"g10100",1291,"scaffold_130","HYEP1_CTEFE","A0A2J7PHG7","PF06441","Epoxide hydrolase N terminus","IPR010497","Epoxide hydrolase, N-terminal",NA,"Y"
"g10101",551,"scaffold_130","UBE2H_MOUSE","A0A482WGZ5","PF00179","Ubiquitin-conjugating enzyme","IPR000608","Ubiquitin-conjugating enzyme E2",NA,"Y"
"g10102",928,"scaffold_130","NAS4_CAEEL","A0A482XAP2","PF01400","Astacin (Peptidase family M12A)","IPR001506","Peptidase M12A","GO:0004222;GO:0006508","Y"
"g10103",4296,"scaffold_130",NA,"A0A2P8XPH0","PF00240;PF12057","Ubiquitin family; BCL2-associated athanogene 6","IPR000626;IPR021925","Ubiquitin domain; Large proline-rich protein BAG6","GO:0005515","Y"
"g10104",1259,"scaffold_130",NA,NA,"PF02949","7tm Odorant receptor","IPR004117","Olfactory receptor, insect","GO:0004984;GO:0005549;GO:0007608;GO:0016020","Y"
"g10105",1941,"scaffold_130","PEO1_MOUSE","K7J2C2","PF13481","AAA domain",NA,NA,NA,"Y"
"g10106",394,"scaffold_130",NA,NA,"PF10044","Retinal tissue protein","IPR018737","Protein LIN52","GO:0006351;GO:0070176","Y"
"g10107",1587,"scaffold_130","YM67_CAEEL","X1WJF0","PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"g10108",1455,"scaffold_130","YM67_CAEEL","X1WJF0","PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"g10109",902,"scaffold_130","CHSTB_RAT","A0A482WH23","PF03567","Sulfotransferase family","IPR005331","Sulfotransferase","GO:0008146;GO:0016021","Y"
"g1011",433,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10110",426,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10111",1143,"scaffold_130","PGES2_BOVIN","A0A1W4W787","PF00462","Glutaredoxin","IPR002109","Glutaredoxin","GO:0009055;GO:0015035;GO:0045454","Y"
"g10112",1930,"scaffold_130","FBXW7_HUMAN","A0A067QWR5","PF00400;PF12937","WD domain, G-beta repeat; F-box-like","IPR001680;IPR001810","WD40 repeat; F-box domain","GO:0005515","Y"
"g10113",1557,"scaffold_130","YM67_CAEEL","A0A151XFV2","PF05577","Serine carboxypeptidase S28","IPR008758","Peptidase S28","GO:0006508;GO:0008236","Y"
"g10114",200,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10115",293,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10116",500,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10117",1794,"scaffold_130","GTR1_DROME","A0A212F9P1","PF00083","Sugar (and other) transporter","IPR005828","Major facilitator,  sugar transporter-like","GO:0016021;GO:0022857;GO:0055085","Y"
"g10118",683,"scaffold_130","PSB1_HUMAN","A0A1W4WLK5","PF00227","Proteasome subunit","IPR001353","Proteasome, subunit alpha/beta","GO:0004298;GO:0005839;GO:0051603","Y"
"g10119",638,"scaffold_130","VPS28_DROME","A0A2J7PSC3","PF03997","VPS28 protein","IPR007143","Vacuolar protein sorting-associated Vps28","GO:0000813;GO:0032509","Y"
"g1012",211,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10120",439,"scaffold_130","EDF1_HUMAN","A0A2P8Y8B2","PF01381;PF08523","Helix-turn-helix; Multiprotein bridging factor 1","IPR001387;IPR013729","Cro/C1-type helix-turn-helix domain; Multiprotein bridging factor 1, N-terminal",NA,"Y"
"g10121",830,"scaffold_130","STX7_MOUSE",NA,"PF05739;PF14523","SNARE domain; Syntaxin-like protein","IPR000727;IPR006011","Target SNARE coiled-coil homology domain; Syntaxin, N-terminal domain","GO:0016020","Y"
"g10122",749,"scaffold_130",NA,NA,"PF00188","Cysteine-rich secretory protein family","IPR014044","CAP domain",NA,"Y"
"g10123",737,"scaffold_130",NA,NA,"PF00188","Cysteine-rich secretory protein family","IPR014044","CAP domain",NA,"Y"
"g10124",1267,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10125",513,"scaffold_130",NA,"A0A154PFP1","PF00188","Cysteine-rich secretory protein family","IPR014044","CAP domain",NA,"Y"
"g10126",563,"scaffold_130","GAPR1_MOUSE","B4JQZ3","PF00188","Cysteine-rich secretory protein family","IPR014044","CAP domain",NA,"Y"
"g10127",1021,"scaffold_130","MO4L1_RAT","A0A2J7PYK0","PF05712;PF11717","MRG; RNA binding activity-knot of a chromodomain","IPR026541;IPR025995","MRG domain; RNA binding activity-knot of a chromodomain",NA,"Y"
"g10128",3939,"scaffold_130","PXDN_DROME","A0A482V9F4","PF03098;PF13855;PF13927;PF07679","Animal haem peroxidase; Leucine rich repeat; Immunoglobulin domain; Immunoglobulin I-set domain","IPR019791;IPR001611;IPR013098","Haem peroxidase, animal-type; Leucine-rich repeat; Immunoglobulin I-set","GO:0005515","Y"
"g10129",13,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g1013",448,"scaffold_197",NA,NA,"PF00096","Zinc finger, C2H2 type","IPR013087","Zinc finger C2H2-type","GO:0003676","Y"
"g10130",201,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10131",530,"scaffold_130",NA,NA,NA,NA,NA,NA,NA,"N"
"g10132",450,"scaffold_130",NA,NA,"PF18017","SAM domain (Sterile alpha motif)",NA,NA,NA,"Y"
"g10133",3927,"scaffold_130","PXDN_DROME","A0A2P8Y7Y4","PF03098;PF13927;PF13855;PF07679","Animal haem peroxidase; Immunoglobulin domain; Leucine rich repeat; Immunoglobulin I-set domain","IPR019791;IPR001611;IPR013098","Haem peroxidase, animal-type; Leucine-rich repeat; Immunoglobulin I-set","GO:0005515","Y"
"g10134",298,"scaffold_1094",NA,NA,NA,NA,NA,NA,NA,"N"
"g10135",1388,"scaffold_128",NA,NA,"PF00097","Zinc finger, C3HC4 type (RING finger)","IPR018957","Zinc finger, C3HC4 RING-type","GO:0046872","Y"
"g10136",1099,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10137",974,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10138",314,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10139",1078,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g1014",2081,"scaffold_197","HASP_DROME","B4LQZ1","PF12330;PF02902","Haspin like kinase domain; Ulp1 protease family, C-terminal catalytic domain","IPR003653","Ulp1 protease family, C-terminal catalytic domain","GO:0006508;GO:0008234","Y"
"g10140",337,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10141",539,"scaffold_128",NA,"A0A484B004",NA,NA,NA,NA,NA,"Y"
"g10142",2462,"scaffold_128","MSH5_HUMAN","E0VH19","PF05192;PF00488","MutS domain III; MutS domain V","IPR007696;IPR000432","DNA mismatch repair protein MutS, core; DNA mismatch repair protein MutS, C-terminal","GO:0005524;GO:0006298;GO:0030983","Y"
"g10143",474,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10144",1598,"scaffold_128","EAA2_MOUSE","J9K1P4","PF00375","Sodium:dicarboxylate symporter family","IPR001991","Sodium:dicarboxylate symporter","GO:0015293;GO:0016021","Y"
"g10145",2060,"scaffold_128",NA,NA,"PF00249","Myb-like DNA-binding domain","IPR001005","SANT/Myb domain",NA,"Y"
"g10146",2455,"scaffold_128","DCST2_HUMAN","A0A3Q0IUH5","PF07782","DC-STAMP-like protein","IPR012858","Dendritic cell-specific transmembrane protein-like","GO:0016021","Y"
"g10147",1729,"scaffold_128","ABCG1_MOUSE","J9K8S0","PF01061;PF00005","ABC-2 type transporter; ABC transporter","IPR013525;IPR003439","ABC-2 type transporter; ABC transporter-like","GO:0016020;GO:0005524;GO:0016887","Y"
"g10148",1484,"scaffold_128",NA,"A0A2P8Z519","PF10551;PF04500","MULE transposase domain; FLYWCH zinc finger domain","IPR018289;IPR007588","MULE transposase domain; Zinc finger, FLYWCH-type",NA,"Y"
"g10149",2019,"scaffold_128",NA,"J9M7I9","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g1015",223,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10150",2034,"scaffold_128",NA,"J9M7I9","PF09820","Predicted AAA-ATPase","IPR018631","AAA-ATPase-like domain",NA,"Y"
"g10151",407,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10152",2395,"scaffold_128","KAT7_HUMAN","A0A482XF99","PF17772;PF01853;PF01530","MYST family zinc finger domain; MOZ/SAS family; Zinc finger, C2HC type","IPR040706;IPR002717;IPR002515","MYST, zinc finger domain; Histone acetyltransferase domain, MYST-type; Zinc finger, C2H2C-type","GO:0004402;GO:0006355;GO:0016573;GO:0003700;GO:0005634;GO:0008270","Y"
"g10153",660,"scaffold_128","ETS6_DROME","J9JJ59","PF00178","Ets-domain","IPR000418","Ets domain","GO:0003700;GO:0006355;GO:0043565","Y"
"g10154",829,"scaffold_128","COPD_HUMAN","A0A1W4WI86","PF01217","Clathrin adaptor complex small chain","IPR022775","AP complex, mu/sigma subunit",NA,"Y"
"g10155",751,"scaffold_128",NA,NA,"PF02198","Sterile alpha motif (SAM)/Pointed domain","IPR003118","Pointed domain","GO:0005634;GO:0043565","Y"
"g10156",375,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10157",1281,"scaffold_128",NA,NA,NA,NA,NA,NA,NA,"N"
"g10158",2434,"scaffold_128",NA,NA,"PF07679;PF13927","Immunoglobulin I-set domain; Immunoglobulin domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"g10159",2759,"scaffold_128",NA,"A0A3B5ABZ9","PF00041;PF13927","Fibronectin type III domain; Immunoglobulin domain","IPR003961","Fibronectin type III","GO:0005515","Y"
"g1016",796,"scaffold_197",NA,NA,NA,NA,NA,NA,NA,"N"
"g10160",1419,"scaffold_128",NA,"A0A482XQI8","PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"g10161",1300,"scaffold_128",NA,"A0A182NEE1","PF07679","Immunoglobulin I-set domain","IPR013098","Immunoglobulin I-set",NA,"Y"
"g10162",477,"scaffold_128","TPPC4_BOVIN","A0A1W4X4U1","PF04099","Sybindin-like family","IPR007233","Trafficking protein particle complex subunit","GO:0016192;GO:0030008","Y"
"g10163",833,"scaffold_128","MTX2_HUMAN","A0A067QGB2","PF17171;PF17172","Glutathione S-transferase, C-terminal domain; Glutathione S-transferase N-terminal domain","IPR033468;IPR012336","Metaxin, glutathione S-transferase domain; Thioredoxin-like fold",NA,"Y"
"g10164",2056,"scaffold_128","TBC23_PONAB","A0A067RCP6","PF00581;PF00566","Rhodanese-like domain; Rab-GTPase-TBC domain","IPR001763;IPR000195","Rhodanese-like domain; Rab-GTPase-TBC domain",NA,"Y"
