"gene","gene_len","seq","blast","diamond","interpro","anno"
"g10054",1483,"scaffold_130",NA,NA,NA,"N"
"g10055",1377,"scaffold_130","MINP1_DROME","A0A482WR06","Histidine phosphatase superfamily (branch 2)","Y"
"g10056",1458,"scaffold_130",NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y"
"g10057",1422,"scaffold_130",NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y"
"g10058",1057,"scaffold_130",NA,NA,NA,"N"
"g10059",1431,"scaffold_130",NA,"A0A067R8V8","Histidine phosphatase superfamily (branch 2)","Y"
"g1006",300,"scaffold_197",NA,NA,NA,"N"
"g10060",1392,"scaffold_130","MINP1_DROME","A0A067R6V0","Histidine phosphatase superfamily (branch 2)","Y"
"g10061",894,"scaffold_130","ADT1_ANOGA","A0A482XR76","Mitochondrial carrier protein","Y"
"g10062",1152,"scaffold_130","ECHA_MOUSE","A0A194PLY5",NA,"Y"
"g10063",1946,"scaffold_130","DDX24_HUMAN","A0A087ZNR1","Helicase conserved C-terminal domain,DEAD/DEAH box helicase","Y"
"g10064",634,"scaffold_130","Y1161_DROME","A0A482XRG5","TMEM9","Y"
"g10065",891,"scaffold_130","ADT1_ANOGA","A0A482XR76","Mitochondrial carrier protein","Y"
"g10066",1037,"scaffold_130",NA,"A0A1S4E7W0","WD domain, G-beta repeat","Y"
"g10067",2640,"scaffold_130","SND1_PONAB","A0A2J7RK75","Tudor domain,Staphylococcal nuclease homologue","Y"
"g10068",1479,"scaffold_130","RHG01_HUMAN","A0A067RCZ5","Divergent CRAL/TRIO domain,RhoGAP domain","Y"
"g10069",2078,"scaffold_130","CDC45_HUMAN","A0A1B0G8P9","DIX domain","Y"
"g1007",499,"scaffold_197",NA,NA,NA,"N"
"g10070",548,"scaffold_130",NA,NA,NA,"N"
"g10071",388,"scaffold_130",NA,NA,NA,"N"
"g10072",245,"scaffold_130",NA,NA,NA,"N"
"g10073",570,"scaffold_130",NA,NA,NA,"N"
"g10074",437,"scaffold_130",NA,NA,NA,"N"
"g10075",677,"scaffold_130",NA,NA,NA,"N"
"g10076",392,"scaffold_130",NA,NA,NA,"N"
"g10077",1493,"scaffold_130","PPK28_DROME","J9L6I4","Amiloride-sensitive sodium channel","Y"
"g10078",1327,"scaffold_130",NA,NA,NA,"N"
"g10079",2151,"scaffold_130",NA,"A0A3M7R5S4","Predicted AAA-ATPase","Y"
"g1008",584,"scaffold_197",NA,NA,NA,"N"
"g10080",2133,"scaffold_130",NA,NA,"Predicted AAA-ATPase","Y"
"g10081",226,"scaffold_130",NA,NA,NA,"N"
"g10082",1015,"scaffold_130",NA,"J9KYV3","Domain of unknown function (DUF4728)","Y"
"g10083",1336,"scaffold_130","ILK_PONAB","A0A067QZH3","Protein tyrosine kinase,Ankyrin repeats (many copies)","Y"
"g10084",1896,"scaffold_130","NOG2_HUMAN","A0A482WH16","NGP1NT (NUC091) domain,50S ribosome-binding GTPase","Y"
"g10085",1239,"scaffold_130","ARFG1_MOUSE","A0A2J7PN45","Putative GTPase activating protein for Arf","Y"
"g10086",324,"scaffold_130",NA,"J9KXG5","Ninjurin","Y"
"g10087",971,"scaffold_130",NA,NA,"Ninjurin","Y"
"g10088",684,"scaffold_130",NA,NA,"Ninjurin","Y"
"g10089",1630,"scaffold_130",NA,NA,"Ninjurin,Ribonuclease T2 family","Y"
"g1009",435,"scaffold_197",NA,NA,NA,"N"
"g10090",927,"scaffold_130",NA,NA,"Ribonuclease T2 family","Y"
"g10091",810,"scaffold_130",NA,NA,"Ribonuclease T2 family","Y"
"g10092",2266,"scaffold_130","ABCD_DROME","A0A482XEY0","ABC transporter transmembrane region 2,ABC transporter","Y"
"g10093",692,"scaffold_130","COA7_DROME","X1X9H8",NA,"Y"
"g10094",3685,"scaffold_130","TOB1A_XENLA","J9JMP4","BRCT domain, a BRCA1 C-terminus domain,twin BRCT domain,BRCA1 C Terminus (BRCT) domain","Y"
"g10095",2396,"scaffold_130","APC5_PONAB","A0A2P8XV40","Anaphase-promoting complex subunit 5","Y"
"g10096",9188,"scaffold_130","RNO_DROME","J9K1K4","PHD-zinc-finger like domain,PHD-finger,Enhancer of polycomb-like","Y"
"g10097",361,"scaffold_130",NA,NA,NA,"N"
"g10098",1735,"scaffold_130","NELFB_DROME","A0A482WMF4","Cofactor of BRCA1 (COBRA1)","Y"
"g10099",1721,"scaffold_130","SYSC_MOUSE","A0A482WYG0","Seryl-tRNA synthetase N-terminal domain,tRNA synthetase class II core domain (G, H, P, S and T)","Y"
"g101",669,"scaffold_360","LST4_CAEEL","A0A067R133","WASP-binding domain of Sorting nexin protein,PX domain","Y"
"g1010",401,"scaffold_197",NA,NA,"Transposase IS4","Y"
"g10100",1291,"scaffold_130","HYEP1_CTEFE","A0A2J7PHG7","Epoxide hydrolase N terminus","Y"
"g10101",551,"scaffold_130","UBE2H_MOUSE","A0A482WGZ5","Ubiquitin-conjugating enzyme","Y"
"g10102",928,"scaffold_130","NAS4_CAEEL","A0A482XAP2","Astacin (Peptidase family M12A)","Y"
"g10103",4296,"scaffold_130",NA,"A0A2P8XPH0","Ubiquitin family,BCL2-associated athanogene 6","Y"
"g10104",1259,"scaffold_130",NA,NA,"7tm Odorant receptor","Y"
"g10105",1941,"scaffold_130","PEO1_MOUSE","K7J2C2","AAA domain","Y"
"g10106",394,"scaffold_130",NA,NA,"Retinal tissue protein","Y"
"g10107",1587,"scaffold_130","YM67_CAEEL","X1WJF0","Serine carboxypeptidase S28","Y"
"g10108",1455,"scaffold_130","YM67_CAEEL","X1WJF0","Serine carboxypeptidase S28","Y"
"g10109",902,"scaffold_130","CHSTB_RAT","A0A482WH23","Sulfotransferase family","Y"
"g1011",433,"scaffold_197",NA,NA,NA,"N"
"g10110",426,"scaffold_130",NA,NA,NA,"N"
"g10111",1143,"scaffold_130","PGES2_BOVIN","A0A1W4W787","Glutaredoxin","Y"
"g10112",1930,"scaffold_130","FBXW7_HUMAN","A0A067QWR5","WD domain, G-beta repeat,F-box-like","Y"
"g10113",1557,"scaffold_130","YM67_CAEEL","A0A151XFV2","Serine carboxypeptidase S28","Y"
"g10114",200,"scaffold_130",NA,NA,NA,"N"
"g10115",293,"scaffold_130",NA,NA,NA,"N"
"g10116",500,"scaffold_130",NA,NA,NA,"N"
"g10117",1794,"scaffold_130","GTR1_DROME","A0A212F9P1","Sugar (and other) transporter","Y"
"g10118",683,"scaffold_130","PSB1_HUMAN","A0A1W4WLK5","Proteasome subunit","Y"
"g10119",638,"scaffold_130","VPS28_DROME","A0A2J7PSC3","VPS28 protein","Y"
"g1012",211,"scaffold_197",NA,NA,NA,"N"
"g10120",439,"scaffold_130","EDF1_HUMAN","A0A2P8Y8B2","Helix-turn-helix,Multiprotein bridging factor 1","Y"
"g10121",830,"scaffold_130","STX7_MOUSE",NA,"SNARE domain,Syntaxin-like protein","Y"
"g10122",749,"scaffold_130",NA,NA,"Cysteine-rich secretory protein family","Y"
"g10123",737,"scaffold_130",NA,NA,"Cysteine-rich secretory protein family","Y"
"g10124",1267,"scaffold_130",NA,NA,NA,"N"
"g10125",513,"scaffold_130",NA,"A0A154PFP1","Cysteine-rich secretory protein family","Y"
"g10126",563,"scaffold_130","GAPR1_MOUSE","B4JQZ3","Cysteine-rich secretory protein family","Y"
"g10127",1021,"scaffold_130","MO4L1_RAT","A0A2J7PYK0","MRG,RNA binding activity-knot of a chromodomain","Y"
"g10128",3939,"scaffold_130","PXDN_DROME","A0A482V9F4","Animal haem peroxidase,Leucine rich repeat,Immunoglobulin domain,Immunoglobulin I-set domain","Y"
"g10129",13,"scaffold_130",NA,NA,NA,"N"
"g1013",448,"scaffold_197",NA,NA,"Zinc finger, C2H2 type","Y"
"g10130",201,"scaffold_130",NA,NA,NA,"N"
"g10131",530,"scaffold_130",NA,NA,NA,"N"
"g10132",450,"scaffold_130",NA,NA,"SAM domain (Sterile alpha motif)","Y"
"g10133",3927,"scaffold_130","PXDN_DROME","A0A2P8Y7Y4","Animal haem peroxidase,Immunoglobulin domain,Leucine rich repeat,Immunoglobulin I-set domain","Y"
"g10134",298,"scaffold_1094",NA,NA,NA,"N"
"g10135",1388,"scaffold_128",NA,NA,"Zinc finger, C3HC4 type (RING finger)","Y"
"g10136",1099,"scaffold_128",NA,NA,NA,"N"
"g10137",974,"scaffold_128",NA,NA,NA,"N"
"g10138",314,"scaffold_128",NA,NA,NA,"N"
"g10139",1078,"scaffold_128",NA,NA,NA,"N"
"g1014",2081,"scaffold_197","HASP_DROME","B4LQZ1","Haspin like kinase domain,Ulp1 protease family, C-terminal catalytic domain","Y"
"g10140",337,"scaffold_128",NA,NA,NA,"N"
"g10141",539,"scaffold_128",NA,"A0A484B004",NA,"Y"
"g10142",2462,"scaffold_128","MSH5_HUMAN","E0VH19","MutS domain III,MutS domain V","Y"
"g10143",474,"scaffold_128",NA,NA,NA,"N"
"g10144",1598,"scaffold_128","EAA2_MOUSE","J9K1P4","Sodium:dicarboxylate symporter family","Y"
"g10145",2060,"scaffold_128",NA,NA,"Myb-like DNA-binding domain","Y"
"g10146",2455,"scaffold_128","DCST2_HUMAN","A0A3Q0IUH5","DC-STAMP-like protein","Y"
"g10147",1729,"scaffold_128","ABCG1_MOUSE","J9K8S0","ABC-2 type transporter,ABC transporter","Y"
"g10148",1484,"scaffold_128",NA,"A0A2P8Z519","MULE transposase domain,FLYWCH zinc finger domain","Y"
"g10149",2019,"scaffold_128",NA,"J9M7I9","Predicted AAA-ATPase","Y"
"g1015",223,"scaffold_197",NA,NA,NA,"N"
"g10150",2034,"scaffold_128",NA,"J9M7I9","Predicted AAA-ATPase","Y"
"g10151",407,"scaffold_128",NA,NA,NA,"N"
"g10152",2395,"scaffold_128","KAT7_HUMAN","A0A482XF99","MYST family zinc finger domain,MOZ/SAS family,Zinc finger, C2HC type","Y"
"g10153",660,"scaffold_128","ETS6_DROME","J9JJ59","Ets-domain","Y"
"g10154",829,"scaffold_128","COPD_HUMAN","A0A1W4WI86","Clathrin adaptor complex small chain","Y"
"g10155",751,"scaffold_128",NA,NA,"Sterile alpha motif (SAM)/Pointed domain","Y"
"g10156",375,"scaffold_128",NA,NA,NA,"N"
"g10157",1281,"scaffold_128",NA,NA,NA,"N"
"g10158",2434,"scaffold_128",NA,NA,"Immunoglobulin I-set domain,Immunoglobulin domain","Y"
"g10159",2759,"scaffold_128",NA,"A0A3B5ABZ9","Fibronectin type III domain,Immunoglobulin domain","Y"
"g1016",796,"scaffold_197",NA,NA,NA,"N"
"g10160",1419,"scaffold_128",NA,"A0A482XQI8","Immunoglobulin I-set domain","Y"
"g10161",1300,"scaffold_128",NA,"A0A182NEE1","Immunoglobulin I-set domain","Y"
"g10162",477,"scaffold_128","TPPC4_BOVIN","A0A1W4X4U1","Sybindin-like family","Y"
"g10163",833,"scaffold_128","MTX2_HUMAN","A0A067QGB2","Glutathione S-transferase, C-terminal domain,Glutathione S-transferase N-terminal domain","Y"
"g10164",2056,"scaffold_128","TBC23_PONAB","A0A067RCP6","Rhodanese-like domain,Rab-GTPase-TBC domain","Y"
"g10165",964,"scaffold_128","ELOV7_HUMAN","J9JXX7","GNS1/SUR4 family","Y"
"g10166",867,"scaffold_128","ELOV7_RAT","A0A482X1U0","GNS1/SUR4 family","Y"
"g10167",748,"scaffold_128",NA,NA,NA,"N"
"g10168",337,"scaffold_128",NA,NA,NA,"N"
"g10169",1273,"scaffold_128",NA,NA,NA,"N"
"g1017",1712,"scaffold_197","GCM_DROME","A0A067RLT7","GCM motif protein","Y"
"g10170",1585,"scaffold_128","COG8_DROME","A0A067RM63","Dor1-like family","Y"
"g10171",242,"scaffold_128",NA,NA,NA,"N"
"g10172",1593,"scaffold_128",NA,"A0A2J7R8N1","Immunoglobulin domain","Y"
"g10173",1933,"scaffold_128","OPS5_BEAB2","A0A067QPY0","Multicopper oxidase","Y"
"g10174",899,"scaffold_128",NA,NA,NA,"N"
"g10175",2031,"scaffold_128","LAC1_AGABI","A0A067QPY0","Multicopper oxidase","Y"
"g10176",1936,"scaffold_128","ASO_CUCSA","A0A067QPY0","Multicopper oxidase","Y"
"g10177",1936,"scaffold_128","OPS5_BEAB2","A0A067QPY0","Multicopper oxidase","Y"
"g10178",2783,"scaffold_128",NA,NA,NA,"N"
"g10179",1322,"scaffold_128",NA,NA,NA,"N"
"g1018",439,"scaffold_197",NA,NA,NA,"N"
"g10180",1954,"scaffold_128","LAC4_TRAVE","A0A067QPY0","Multicopper oxidase","Y"
"g10181",1960,"scaffold_128","OPS5_BEAB2","A0A067QPY0","Multicopper oxidase","Y"
"g10182",1957,"scaffold_128","ASO_CUCSA","A0A067QPY0","Multicopper oxidase","Y"
"g10183",927,"scaffold_128","PGAM1_CHICK","A0A0M4EQ67","Histidine phosphatase superfamily (branch 1)","Y"
"g10184",256,"scaffold_128",NA,NA,NA,"N"
"g10185",1546,"scaffold_128","BTBD3_CALJA","A0A2P8XGT9","BTB/POZ domain,BTB And C-terminal Kelch,PHR domain","Y"
"g10186",1079,"scaffold_128","RIBD_AQUAE","M9WWR0","RibD C-terminal domain,Cytidine and deoxycytidylate deaminase zinc-binding region","Y"
"g10187",372,"scaffold_735",NA,NA,NA,"N"
"g10188",321,"scaffold_735",NA,NA,NA,"N"
"g10189",338,"scaffold_735",NA,NA,NA,"N"
"g1019",1005,"scaffold_197",NA,NA,NA,"N"
"g10190",543,"scaffold_735",NA,NA,NA,"N"
"g10191",2114,"scaffold_735",NA,NA,NA,"N"
"g10192",2782,"scaffold_72","BC11A_HUMAN","A0A067RGM8","Zinc finger, C2H2 type","Y"
"g10193",271,"scaffold_72",NA,NA,NA,"N"
"g10194",3481,"scaffold_72",NA,"A0A0J7KBZ0","Putative peptidase (DUF1758),Pao retrotransposon peptidase,Protein of unknown function (DUF1759)","Y"
"g10195",837,"scaffold_72",NA,"A0A482X3S1",NA,"Y"
"g10196",628,"scaffold_72",NA,NA,NA,"N"
"g10197",259,"scaffold_72",NA,NA,NA,"N"
"g10198",391,"scaffold_72",NA,NA,NA,"N"
"g10199",320,"scaffold_72",NA,NA,NA,"N"
"g102",198,"scaffold_360",NA,NA,"Variant SH3 domain","Y"
"g1020",2042,"scaffold_197",NA,"A0A2J7QGP0","CAP-Gly domain","Y"
"g10200",1132,"scaffold_72",NA,NA,NA,"N"
"g10201",1898,"scaffold_72","SYPM_MOUSE","A0A1W4WLN3","Cytochrome P450,Anticodon binding domain,tRNA synthetase class II core domain (G, H, P, S and T)","Y"
"g10202",791,"scaffold_72","CP4C1_BLADI","J9K4T9","Cytochrome P450","Y"
"g10203",1826,"scaffold_72","BTBD9_HUMAN","A0A2J7QLR2","BTB/POZ domain,F5/8 type C domain,BTB And C-terminal Kelch","Y"
"g10204",594,"scaffold_72",NA,NA,NA,"N"
"g10205",350,"scaffold_72","SMD2_CAEEL","A0A2J7QXR4","LSM domain","Y"
"g10206",958,"scaffold_72",NA,NA,NA,"N"
"g10207",541,"scaffold_72",NA,NA,NA,"N"
"g10208",239,"scaffold_72",NA,NA,NA,"N"
"g10209",1679,"scaffold_72","I2BP2_XENTR","D2A0C6","Interferon regulatory factor 2-binding protein zinc finger","Y"
"g1021",358,"scaffold_197",NA,NA,NA,"N"
"g10210",769,"scaffold_72",NA,NA,NA,"N"
"g10211",1951,"scaffold_72","DNM1L_DANRE,DNM1L_HUMAN","A0A0M8ZZL6","Dynamin family,Dynamin GTPase effector domain,Dynamin central region","Y"
"g10212",1886,"scaffold_72","DNM1L_HUMAN","Q7PWP5","Dynamin central region,Dynamin GTPase effector domain,Dynamin family","Y"
"g10213",2196,"scaffold_72","PLK4_DROMO","T1IB56","Polo-like Kinase 4 Polo Box 1,Protein kinase domain,Polo-like Kinase 4 Polo Box 2","Y"
"g10214",512,"scaffold_72",NA,NA,"Inhibitor of Apoptosis domain","Y"
"g10215",2148,"scaffold_72","BLMP1_CAEEL","A0A482V9J2","SET domain,Zinc finger, C2H2 type","Y"
"g10216",449,"scaffold_72",NA,NA,NA,"N"
"g10217",319,"scaffold_72",NA,NA,NA,"N"
"g10218",1369,"scaffold_72",NA,"F8L304","Predicted AAA-ATPase,PD-(D/E)XK nuclease superfamily","Y"
"g10219",2307,"scaffold_72","ORC3_RAT","A0A482X3Q7","Origin recognition complex (ORC) subunit 3 N-terminus,Origin recognition complex winged helix C-terminal","Y"
"g1022",1408,"scaffold_197","CD5R1_BOVIN","A0A2J7RQU1","Cyclin-dependent kinase 5 activator protein","Y"
"g10220",807,"scaffold_72",NA,NA,"Inhibitor of Apoptosis domain","Y"
"g10221",1408,"scaffold_72","BYN_DROME","A0A482VIM1","T-box","Y"
"g10222",4078,"scaffold_72","RAD50_RAT","A0A067QZL2","Rad50 zinc hook motif,AAA domain","Y"
"g10223",611,"scaffold_72",NA,NA,NA,"N"
"g10224",886,"scaffold_72","ZSC31_HUMAN",NA,"Zinc finger, C2H2 type,C2H2-type zinc finger","Y"
"g10225",1848,"scaffold_72","PUS7_MOUSE","E0VTP6","tRNA pseudouridine synthase D (TruD)","Y"
"g10226",4294,"scaffold_72","CNKR3_HUMAN","J9LBS4","PDZ domain,SAM domain (Sterile alpha motif),PH domain,Connector enhancer of kinase suppressor of ras","Y"
"g10227",1953,"scaffold_72","BRC1_DROME","A0A067R521","Zinc finger, C2H2 type,BTB/POZ domain,Ras family","Y"
"g10228",305,"scaffold_72",NA,NA,NA,"N"
"g10229",1980,"scaffold_72","TM9S2_MOUSE","A0A182MRR2","Endomembrane protein 70","Y"
"g1023",919,"scaffold_197","NDUF6_BOVIN","R4FK79","Squalene/phytoene synthase","Y"
"g10230",1236,"scaffold_72","SNX6_MOUSE","A0A2J7Q7M1","PX domain,Vps5 C terminal like","Y"
"g10231",2471,"scaffold_72","PPAL_XENLA","A0A482X7K6","Histidine phosphatase superfamily (branch 2)","Y"
"g10232",1312,"scaffold_72","PPAP_BOVIN","A0A026WVD8","Histidine phosphatase superfamily (branch 2)","Y"
"g10233",1214,"scaffold_72","PPAL_RAT","A0A1S3CUB6","Histidine phosphatase superfamily (branch 2)","Y"
"g10234",1196,"scaffold_72","PPAP_BOVIN","A0A1S3CUB6","Histidine phosphatase superfamily (branch 2)","Y"
"g10235",2317,"scaffold_72","PPAL_MOUSE","A0A1B0GD38","Histidine phosphatase superfamily (branch 2)","Y"
"g10236",1235,"scaffold_72","PPAL_RAT","A0A1S3CUB6","Histidine phosphatase superfamily (branch 2)","Y"
"g10237",2401,"scaffold_72","NLGNX_HUMAN","A0A067QT42","Carboxylesterase family","Y"
"g10238",554,"scaffold_72",NA,NA,NA,"N"
"g10239",1942,"scaffold_72",NA,NA,"Putative zinc-finger of transcription factor IIIC complex,Transcription factor IIIC subunit delta N-term","Y"
"g1024",283,"scaffold_197",NA,NA,NA,"N"
"g10240",315,"scaffold_72",NA,NA,NA,"N"
"g10241",248,"scaffold_72",NA,NA,NA,"N"
"g10242",429,"scaffold_72",NA,NA,NA,"N"
"g10243",309,"scaffold_72",NA,NA,NA,"N"
"g10244",872,"scaffold_72","PWP2_SCHPO","A0A067RUU4",NA,"Y"
"g10245",825,"scaffold_72","HUS1_HUMAN","A0A3Q0IZ33","Hus1-like protein","Y"
"g10246",5555,"scaffold_72",NA,"A0A498NP60","Protein of unknown function (DUF1759),Pao retrotransposon peptidase,Putative peptidase (DUF1758)","Y"
"g10247",1543,"scaffold_72","KLC_DROME","A0A067QTL0","Tetratricopeptide repeat","Y"
"g10248",2681,"scaffold_72",NA,"A0A2J7QX73","Ankyrin repeats (3 copies),Glycosyl hydrolase family 20, domain 2","Y"
"g10249",202,"scaffold_1355",NA,NA,NA,"N"
"g1025",665,"scaffold_197","RWDD1_MOUSE","J9JMP3","RWD domain","Y"
"g10250",295,"scaffold_150",NA,NA,NA,"N"
"g10251",491,"scaffold_150",NA,NA,NA,"N"
"g10252",3885,"scaffold_150","DISC_DROME","D6W8F4",NA,"Y"
"g10253",904,"scaffold_150",NA,NA,NA,"N"
"g10254",395,"scaffold_150",NA,NA,NA,"N"
"g10255",236,"scaffold_150",NA,NA,NA,"N"
"g10256",1792,"scaffold_150","RPN1_MACFA","R4FP91","Ribophorin I","Y"
"g10257",855,"scaffold_150","ACES_LEPDE","T1HG41","Carboxylesterase family","Y"
"g10258",2330,"scaffold_150",NA,NA,NA,"N"
"g10259",2055,"scaffold_150",NA,NA,NA,"N"
"g1026",901,"scaffold_197",NA,"A0A482WQ95",NA,"Y"
"g10260",377,"scaffold_150",NA,NA,NA,"N"
"g10261",1224,"scaffold_150","ACES_LEPDE","A0A482XQW1","Carboxylesterase family","Y"
"g10262",2050,"scaffold_150","CMC_DROME","J9JM75","Mitochondrial carrier protein,EF hand","Y"
"g10263",1098,"scaffold_150","AAR2_BOVIN","A0A067RAK2","AAR2 protein","Y"
"g10264",1390,"scaffold_150",NA,"D6W8Z1",NA,"Y"
"g10265",2704,"scaffold_150",NA,"A0A067R6B0",NA,"Y"
"g10266",398,"scaffold_150","RS24_SPOFR","J9K945","Ribosomal protein S24e","Y"
"g10267",631,"scaffold_150","SC11A_MOUSE","A0A0L7RHP6","Peptidase S24-like","Y"
"g10268",1055,"scaffold_150","DCUP_DROME","A0A1S3DK64","Uroporphyrinogen decarboxylase (URO-D)","Y"
"g10269",401,"scaffold_150","DNJA1_HUMAN","A0A2J7RAH7","DnaJ C terminal domain,DnaJ domain,DnaJ central domain","Y"
"g1027",373,"scaffold_197",NA,NA,NA,"N"
"g10270",912,"scaffold_150",NA,NA,NA,"N"
"g10271",350,"scaffold_150",NA,NA,NA,"N"
"g10272",1840,"scaffold_150",NA,NA,"Retrotransposon gag protein","Y"
"g10273",305,"scaffold_150",NA,NA,NA,"N"
"g10274",244,"scaffold_150",NA,NA,NA,"N"
"g10275",455,"scaffold_150",NA,"A0A0J7KA95",NA,"Y"
"g10276",6045,"scaffold_150",NA,"A0A482X5N1",NA,"Y"
"g10277",932,"scaffold_150","HOGA1_XENLA","J9LB65","Dihydrodipicolinate synthetase family","Y"
"g10278",959,"scaffold_150","HOGA1_DANRE","J9LB65","Dihydrodipicolinate synthetase family","Y"
"g10279",2259,"scaffold_150","M10B1_DANRE","A0A2J7QS54","AAA domain","Y"
"g1028",383,"scaffold_197",NA,NA,NA,"N"
"g10280",2244,"scaffold_150","M10B1_DANRE","E7FAV9","AAA domain","Y"
"g10281",2432,"scaffold_150","MOCO2_CULQU","T1HNR8","MOSC domain,Aminotransferase class-V,MOSC N-terminal beta barrel domain","Y"
